TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
MCF+CLBRS+MOM/LFM+CDL/H:2/YBET:1960-1977/FW,2,1.5,3
MCF+CLBRS+MOCL/LFM+CDM/H:2/YBET:1977-1992/FW,2,1.5,3
MCF+CLBRS+MOCL/LFM+CDM/H:2/YBET:1993-2002/FW,2,1.5,3
MCF+CBS+MOCL/LFM+CDH/H:2/YBET:2003-2006/FW,2,1.5,3
MCF+CBS+MOCL/LFM+CDH/H:2/YBET:2007-2011/FW,2,1.5,3
W+WHE/LFM+DUL,1,1,1
W+WHE/LFM+CDN/H:2/YBET:1946-1960,2,1.5,3
W+WHE/LFM+CDL/H:2/YBET:1960-1977,2,1.5,3
W+WHE/LFM+CDM/H:2/YBET:1977-1992,2,1.5,3
W+WHE/LFM+CDM/H:2/YBET:1993-2002,2,1.5,3
W+WHE/LFM+CDH/H:2/YBET:2003-2006,2,1.5,3
W+WHE/LFM+CDH/H:2/YBET:2007-2011,2,1.5,3
MUR+ADO+MOM/LFM+CDN/H:2/YPRE:1945,2,1.5,3
ER+ETC/LWAL+CDN/H:2/YPRE:1945,2,1.5,3
MUR+ADO+MOM/LFM+CDN/H:2/YBET:1946-1960,2,1.5,3
ER+ETC/LWAL+CDN/H:2/YBET:1946-1960,2,1.5,3
MUR+ADO+MOM/LFM+CDN/H:2/YBET:1960-1977,2,1.5,3
ER+ETC/LWAL+CDN/H:2/YBET:1960-1977,2,1.5,3
MCF+ADO+MOM/LFM+CDM/H:2/YBET:1977-1992,2,1.5,3
ER+ETC/LWAL+CDN/H:2/YBET:1977-1992,2,1.5,3
MCF+ADO+MOM/LFM+CDM/H:2/YBET:1993-2002,2,1.5,3
MCF+CLBRS+MOM/LFM+CDH/H:2/YBET:2003-2006,2,1.5,3
MCF+CLBRS+MOM/LFM+CDH/H:2/YBET:2007-2011,2,1.5,3
MATO/LFM+CDN/H:2/YPRE:1945,2,1.5,3
MATO/LFM+CDN/H:2/YBET:1946-1960,2,1.5,3
MATO/LFM+CDL/H:2/YBET:1960-1977,2,1.5,3
MATO/LFM+CDM/H:2/YBET:1977-1992,2,1.5,3
MATO/LFM+CDM/H:2/YBET:1993-2002,2,1.5,3
MATO/LFM+CDH/H:2/YBET:2003-2006,2,1.5,3
MATO/LFM+CDH/H:2/YBET:2007-2011,2,1.5,3
H:2,2,1.5,3
"CR+CIP/LFINF+CDN/HBET:3,5/YPRE:1945",4,4.01,16.04
"CR+CIP/LFINF+CDN/HBET:3,5/YBET:1946-1960",4,4.01,16.04
"CR+CIP/LFM+CDL/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"CR+CIP/LFINF+CDL/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"CR+PC/LFM+CDL/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"CR+PC/LWAL+CDL/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"CR+PC/LFM+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"CR+PC/LDUAL+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"CR+PC/LWAL+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"CR+CIP/LFM+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"CR+CIP/LFM+CDM/HBET:3,5/YBET:1993-2002",4,4.01,16.04
"CR+CIP/LFINF+CDM/HBET:3,5/YBET:1993-2002",4,4.01,16.04
"CR+PC/LWAL+CDM/HBET:3,5/YBET:1993-2002",4,4.01,16.04
"CR+CIP/LFM+CDH/HBET:3,5/YBET:2003-2006",4,4.01,16.04
"CR+CIP/LFINF+CDH/HBET:3,5/YBET:2003-2006",4,4.01,16.04
"CR+CIP/LFM+CDH/HBET:3,5/YBET:2007-2011",4,4.01,16.04
"CR+CIP/LFINF+CDH/HBET:3,5/YBET:2007-2011",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDN/HBET:3,5/YPRE:1945/FC",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDN/HBET:3,5/YBET:1946-1960/FC",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDL/HBET:3,5/YBET:1960-1977/FC",4,4.01,16.04
