TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDL/H:3,3,,3
CR/LWAL+CDL/HBET:4-10,6,,14
MUR+CB/LWAL+CDN/HBET:1-2,1,,2
MUR+CB/LWAL+CDN/HBET:1-4,2,,4
MUR+CL/LWAL+CDN/HBET:1-4,2,,4
W/LPB+CDL/HBET:1-3,1,,1
W/LWAL+CDL/HBET:1-3,2,,2
