TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDN/HBET:1-3,2,,3
CR/LFINF+CDN/HBET:4-7,6,,14
CR/LFM+CDL/HBET:1-3,2,,3
CR/LFM+CDL/HBET:4-7,6,,14
MUR+CL/LWAL+CDN/H:1,1,,1.4335
