LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
19.549,42.9591,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",46.188315075639025,46.188315075639025,Res,ALL,URBAN,72.0,525.0,1745918.3098591552,523775.49295774655,872959.1549295776,349183.66197183105,115.53375216729596,36.32219420886751,112.36483464597528,73.97002269010258,74.21901718164845,13,Mojkovac
19.549,42.9591,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",1.174647887323944,41.112676056338046,Res,ALL,URBAN,64.1,525.0,1383544.3309859158,415063.2992957749,691772.1654929579,276708.8661971832,102.83773544561512,32.33074429580516,100.01705061894505,65.8414487681133,66.06308122762117,13,Mojkovac
19.549,42.9591,CR/LFINF+CDL/HBET:6-/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",3.165541396527313,110.79394887845595,Res,ALL,URBAN,64.1,525.0,3728493.3646322396,1118548.0093896715,1864246.6823161198,745698.6729264478,277.13590786754816,87.12764953084701,269.53448561860307,177.43515646856628,178.03243053933883,13,Mojkovac
19.549,42.9591,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",9.694470526864894,193.88941053729786,Res,ALL,URBAN,70.0,525.0,7125435.837245696,2137630.7511737086,3562717.918622848,1425087.167449139,484.9878387682093,152.47338667898225,471.68534983255546,310.511523819991,311.55675344384287,13,Mojkovac
19.549,42.9591,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",90.34274908711531,90.34274908711531,Res,ALL,URBAN,72.0,525.0,3414955.915492959,1024486.7746478877,1707477.9577464794,682991.1830985919,225.98002906254692,71.04495741685787,219.7817358354049,144.68280968717946,145.16983431314742,13,Mojkovac
19.549,42.9591,CR/LDUAL+CDM/HBET:6-/0.0,"Concrete wall, mid rise, low/moderate code",1.979499217527387,69.28247261345854,Res,ALL,URBAN,64.1,525.0,2331528.4096244136,699458.5228873241,1165764.2048122068,466305.6819248828,173.3006282509439,54.48329131330126,168.5472519689629,110.95503403515387,111.32852577247269,13,Mojkovac
19.549,42.9591,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",238.69478351591027,238.69478351591027,Res,ALL,RURAL,72.0,328.125,5638734.609953051,1691620.3829859153,2819367.3049765257,1127746.9219906104,597.0623504492928,187.70804410835132,580.6858257699943,382.2667816257578,383.55355050136797,13,Mojkovac
19.549,42.9591,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",9.740302556077202,194.80605112154407,Res,ALL,RURAL,70.0,328.125,4474110.576108503,1342233.172832551,2237055.288054252,894822.1152217006,487.2806898045236,153.19422694488497,473.9153114042202,311.97951252458705,313.02968362456414,13,Mojkovac
19.549,42.9591,CR/LFINF+CDM/H:1/0.0,"Concrete frame with infill panels, low rise, low/moderate code",40.60584246218049,40.60584246218049,Res,ALL,RURAL,75.0,328.125,999208.2683881064,299762.4805164319,499604.1341940532,199841.6536776213,101.56996053844291,31.932173613838916,98.78404887581422,65.02976095489592,65.24866114818303,13,Mojkovac
19.549,42.9591,CR/LFINF+CDM/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",40.60584246218049,40.60584246218049,Res,ALL,RURAL,72.0,328.125,959239.9376525822,287771.98129577463,479619.9688262911,191847.9875305165,101.56996053844291,31.932173613838916,98.78404887581422,65.02976095489592,65.24866114818303,13,Mojkovac
19.549,42.9591,CR/LFINF+CDM/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",6.490878977569118,129.81757955138235,Res,ALL,RURAL,70.0,328.125,2981520.3495565983,894456.1048669795,1490760.1747782992,596304.0699113196,324.72091779676447,102.0877104624536,315.81431010297587,207.90126873570728,208.60109643371229,13,Mojkovac
19.549,42.9591,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",5.421549295774647,108.43098591549294,Res,ALL,RURAL,70.0,328.125,2490334.4535211264,747100.3360563379,1245167.2267605632,498066.89070422534,271.2252792400178,85.26943063915225,263.785976668383,173.65090013230446,174.2354358132799,13,Mojkovac
19.549,42.9591,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",406.0584246218049,406.0584246218049,Res,ALL,RURAL,75.0,328.125,9992082.683881063,2997624.8051643185,4996041.3419405315,1998416.5367762127,1015.699605384429,319.32173613838916,987.8404887581422,650.2976095489593,652.4866114818302,13,Mojkovac
19.549,42.9591,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",162.42336984872196,162.42336984872196,Res,ALL,RURAL,72.0,328.125,3836959.7506103287,1151087.9251830985,1918479.8753051644,767391.9501220657,406.27984215377165,127.72869445535565,395.1361955032569,260.1190438195837,260.99464459273213,13,Mojkovac
