LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,DWELLINGS_PER_BUILDING,NAME_2,ID_1,NAME_1
23.6206,54.1941,W/LPB+CDL/HBET:1-3,"Wood, low rise",184.3978,184.3978,Res,ALL,URBAN,58.0,890.625,9525031.47944,2857509.443832,4762515.73972,1905006.295888,250.22741718319583,57.86208749460785,238.7753840946811,133.51822196623849,143.38523118517583,9,1,Lazdiju,2,Alytaus
23.6206,54.1941,W/LWAL+CDL/HBET:1-3,"Wood, low rise",245.5554,736.6662,Res,ALL,RURAL,58.0,760.0,32472246.096,9741673.8288,16236123.048,6494449.2192,999.6544457263568,231.1580947208713,953.9037605360214,533.4031165590126,572.8216572719684,9,3,Lazdiju,2,Alytaus
23.6206,54.1941,W/LWAL+CDL/HBET:1-3,"Wood, low rise",95.1572,285.4716,Res,ALL,URBAN,53.0,890.625,13474773.368880002,4042432.0106639997,6737386.684440001,2694954.6737760007,387.384345947481,89.57798138820363,369.6551202786756,206.70344469325158,221.97884878671024,9,3,Lazdiju,2,Alytaus
24.4823,54.1684,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",2687.5163,8062.5489,Res,ALL,RURAL,56.0,840.0,379262300.256,113778690.0768,189631150.128,75852460.0512,11354.84528751854,2625.671714595213,10835.173760667325,6058.8035098538,6506.549661705446,10,3,Varenos,2,Alytaus
24.4823,54.1684,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",341.9098,1025.7294000000004,Res,ALL,URBAN,56.0,984.375,56544769.19616001,16963430.758848004,28272384.598080005,11308953.839232005,1444.5802175363206,334.0418403426637,1378.4668370104446,770.8099468246612,827.7728747259232,10,3,Varenos,2,Alytaus
24.4823,54.1684,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",143.2433,1432.433,Res,ALL,RURAL,56.0,840.0,67381648.32,20214494.496,33690824.16,13476329.664,2017.3589396445138,466.4900464855182,1925.0314817332733,1076.437513207567,1155.9863471421195,10,10,Varenos,2,Alytaus
24.4823,54.1684,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",18.2236,182.236,Res,ALL,URBAN,56.0,984.375,10046014.630400002,3013804.3891200004,5023007.315200001,2009202.926080001,256.65104317274023,59.347473921178114,244.905023205375,136.94578849893452,147.06609520849588,10,10,Varenos,2,Alytaus
24.4823,54.1684,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",886.7439,886.7439,Res,ALL,RURAL,70.0,760.0,47174775.48,14152432.644,23587387.74,9434955.096,1248.8407721968438,288.7794424812538,1191.6857009960968,666.3658255345836,715.610323003978,10,1,Varenos,2,Alytaus
24.4823,54.1684,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",112.8129,112.8129,Res,ALL,URBAN,58.0,890.625,5827327.78692,1748198.3360759998,2913663.89346,1165465.557384,158.87941168782248,36.7389573998687,151.60805709281175,84.77606808397599,91.04102752555214,10,1,Varenos,2,Alytaus
24.4823,54.1684,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",151.7696,607.0784,Res,ALL,RURAL,58.0,760.0,26760015.872,8028004.761599999,13380007.936,5352003.1744,854.9754419963016,197.70281125634082,815.8462084301777,456.2042086562016,489.91774278090674,10,4,Varenos,2,Alytaus
24.4823,54.1684,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",19.3084,77.2336,Res,ALL,URBAN,56.0,890.625,3851917.67296,1155575.3018879998,1925958.83648,770383.534592,108.77150512514619,25.152105302128557,103.79341403583621,58.03911549096394,62.3282116096429,10,4,Varenos,2,Alytaus
24.4823,54.1684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",73.3269,164.568294939,Res,ALL,RURAL,58.0,760.0,7254170.44091112,2176251.132273336,3627085.22045556,1450834.088182224,231.76883035872999,53.59376079449203,221.1615821841172,123.66895076903887,132.80809791588268,10,4,Varenos,2,Alytaus
24.4823,54.1684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",9.3288,20.936719128,Res,ALL,URBAN,56.0,890.625,1044189.5551022207,313256.8665306662,522094.77755111037,208837.91102044415,29.48611034491463,6.8183091839373695,28.136634275814096,15.733419903667135,16.896121121139533,10,4,Varenos,2,Alytaus
24.4823,54.1684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",526.9305,1182.595390455,Res,ALL,RURAL,58.0,760.0,52128804.81125641,15638641.44337692,26064402.405628204,10425760.962251283,1665.5015507997855,385.1272476038409,1589.2773740751072,888.6908087373806,954.3651434721097,10,2,Varenos,2,Alytaus
24.4823,54.1684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",67.0369,150.451585039,Res,ALL,URBAN,56.0,890.625,7503562.171601071,2251068.6514803213,3751781.0858005364,1500712.434320214,211.88764155957975,48.99647445895412,202.1902858121433,113.06059694067228,121.41578573725657,10,2,Varenos,2,Alytaus
24.4823,54.1684,W/LPB+CDL/HBET:1-3,"Wood, low rise",637.7735,637.7735,Res,ALL,RURAL,70.0,760.0,33929550.2,10178865.06,16964775.1,6785910.040000001,898.2047130255802,207.6990614306091,857.0970270268947,479.27080731153666,514.6889652563468,10,1,Varenos,2,Alytaus
24.4823,54.1684,W/LPB+CDL/HBET:1-3,"Wood, low rise",81.1385,81.1385,Res,ALL,URBAN,58.0,890.625,4191192.9898,1257357.89694,2095596.4949,838238.59796,114.27094902473371,26.423785710581374,109.04116763619324,60.9735500127351,65.47950111983657,10,1,Varenos,2,Alytaus
