LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
4.5599,50.8864,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",48.98732164800001,COM,Trade,941,2394.0,110356384.79181862,22071276.958363727,33106915.437545583,55178192.39590931,1853.4174234467982,996.356431661683,91.430934916054,193.7886922520386,427.1920196099252,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",10.041258152000001,COM,Hotels,1426,2835.0,40593894.743671924,8118778.948734385,12178168.423101576,20296947.371835962,575.7150473946339,309.4917437483125,28.40059900302468,60.19532606796443,132.69588960643387,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",585.63657357,COM,Offices,352,3150.0,649353832.774416,129870766.5548832,194806149.83232477,324676916.387208,8288.401432653827,4455.662265363179,408.8751310742459,866.6145327947025,1910.383976410709,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",9.185122809,COM,Trade,1882,2394.0,41383644.29693197,8276728.859386394,12415093.28907959,20691822.148465984,695.0315337925491,373.63366187313096,34.28660059352024,72.67075959451445,160.1970073537219,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",209.611263923,COM,Hotels,3565,2835.0,2118493881.9353783,423698776.38707566,635548164.5806135,1059246940.9676892,30045.12903590745,16151.600376865055,1482.1562604703502,3141.443579171893,6925.066738835766,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",1745.42665064,COM,Offices,879,3150.0,4832824581.624564,966564916.3249129,1449847374.4873693,2416412290.812282,61686.5384700319,33161.32597764281,3043.0586292651437,6449.790246080361,14218.058284329438,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",3.765471807,COM,Hotels,5704,2835.0,60890842.11550788,12178168.423101576,18267252.63465236,30445421.05775394,863.5725710919507,464.23761562246875,42.600898504537014,90.29298910194665,199.0438344096508,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",269.852146645,COM,Offices,1055,3150.0,896786146.3379962,179357229.26759925,269035843.90139884,448393073.1689981,11446.64619647226,6153.465169007165,564.674503518173,1196.8327096876483,2638.324127404329,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",249.77629653099999,COM,Hotels,3565,2835.0,2524432829.3720975,504886565.8744195,757329848.8116292,1262216414.6860487,35802.27950985379,19246.517814348183,1766.1622505005973,3743.396839851538,8252.025634900107,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",1607.6298098000002,COM,Offices,879,3150.0,4451285798.864731,890257159.7729462,1335385739.6594193,2225642899.4323654,56816.54859081886,30543.326558355224,2802.8171585336845,5940.596279284543,13095.579998724485,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LWAL+CDN/HBET:6-,"Concrete wall, mid rise, pre code",1.255157269,COM,Hotels,5704,2835.0,20296947.37183596,4059389.474367192,6089084.211550787,10148473.68591798,287.8575236973169,154.74587187415622,14.200299501512339,30.097663033982208,66.34794480321692,Vlaams Brabant,Vlaanderen
4.5599,50.8864,CR/LWAL+CDN/HBET:6-,"Concrete wall, mid rise, pre code",310.04289189,COM,Offices,1055,3150.0,1030350040.4734426,206070008.09468853,309105012.14203274,515175020.2367213,13151.465842755364,7069.938704816744,648.7749614889649,1375.084389853894,3031.266018719867,Vlaams Brabant,Vlaanderen
4.5599,50.8864,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",230.94893749599999,COM,Hotels,357,2295.0,189219928.72453523,37843985.744907044,56765978.61736057,94609964.36226761,3315.0043858045847,1782.073427712057,163.53248135612594,346.60857106876284,764.0714933789819,Vlaams Brabant,Vlaanderen
4.5599,50.8864,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",401.90745245000005,COM,Offices,176,2550.0,180376064.65956002,36075212.931912005,54112819.39786801,90188032.32978001,2844.059315126314,1528.9037185069735,140.30029007449616,297.36773184131954,655.523913474263,Vlaams Brabant,Vlaanderen
4.5599,50.8864,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1093.0296142710001,COM,Trade,941,1938.0,1993312200.3022234,398662440.0604447,597993660.090667,996656100.1511117,41354.37626065668,22231.2028814513,2040.0527353144544,4323.910195873611,9531.721937546454,Vlaams Brabant,Vlaanderen
4.5599,50.8864,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",106.68836786500002,COM,Hotels,1426,2295.0,349155820.8607496,69831164.17214993,104746746.25822487,174577910.4303748,6116.972378567985,3288.349777325821,301.75636440713726,639.5753394721221,1409.8938270683602,Vlaams Brabant,Vlaanderen
4.5599,50.8864,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",488.030477975,COM,Offices,352,2550.0,438056157.03036,87611231.406072,131416847.10910799,219028078.51518,6907.001193878189,3713.051887802649,340.7292758952049,722.1787773289188,1591.9866470089244,Vlaams Brabant,Vlaanderen
4.5599,50.8864,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1184.880842361,COM,Trade,1882,1938.0,4321634854.436753,864326970.8873507,1296490456.3310258,2160817427.2183766,89659.06785923886,48198.742381633914,4422.971476564112,9374.527987692367,20665.413948630132,Vlaams Brabant,Vlaanderen
4.5599,50.8864,S/LFM+CDN/HBET:3-5,"Steel, mid rise",2.5103145380000003,COM,Hotels,3565,2700.0,24163032.585519,4832606.517103801,7248909.7756557,12081516.2927595,359.8219046216461,193.43233984269528,17.750374376890424,37.622078792477765,82.93493100402115,Vlaams Brabant,Vlaanderen
4.5599,50.8864,S/LFM+CDN/HBET:3-5,"Steel, mid rise",28.707675175,COM,Offices,879,3000.0,75702139.436475,15140427.887295,22710641.830942497,37851069.7182375,1014.5812248360508,545.4165456849146,50.050306402387214,106.08207641579538,233.84964283436577,Vlaams Brabant,Vlaanderen
4.5599,50.8864,S/LFM+CDN/HBET:6-,"Steel, mid rise",1.255157269,COM,Hotels,5704,2700.0,19330426.0684152,3866085.21368304,5799127.820524559,9665213.0342076,287.8575236973169,154.74587187415622,14.200299501512339,30.097663033982208,66.34794480321692,Vlaams Brabant,Vlaanderen
4.5599,50.8864,S/LFM+CDN/HBET:6-,"Steel, mid rise",11.48307007,COM,Offices,1055,3000.0,36343916.77155,7268783.35431,10903175.031465,18171958.385775,487.09132750945787,261.8495816598794,24.028702277369067,50.92905147607014,112.26911180443953,Vlaams Brabant,Vlaanderen
4.5599,50.8864,W/LWAL+CDN/H:1,"Wood, low rise",116.729626017,COM,Hotels,357,2565.0,106889902.19189699,21377980.4383794,32066970.657569095,53444951.095948495,1675.5185210860127,900.7218955283766,82.65500416369409,175.18802776845078,386.1883091535072,Vlaams Brabant,Vlaanderen
4.5599,50.8864,W/LWAL+CDN/H:1,"Wood, low rise",434.76247962599996,COM,Trade,941,2166.0,886135494.5485909,177227098.9097182,265840648.36457726,443067747.27429545,16449.07963309033,8842.663330997433,811.4495473799789,1719.874643736842,3791.3291740380846,Vlaams Brabant,Vlaanderen
4.5599,50.8864,W/LWAL+CDN/H:2,"Wood, low rise",175.72201766000003,COM,Hotels,713,2565.0,321368333.3874028,64273666.677480556,96410500.01622082,160684166.6937014,5037.506664703047,2708.052757797735,248.505241276466,526.7091030946889,1161.0890340562967,Vlaams Brabant,Vlaanderen
