LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
14.5305,35.8147999999999,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",10.699528018039572,IND,479.42947266612634,1575.0,8079228.793857622,1211884.3190786433,2019807.1984644055,4847537.276314573,93.3078600468944,46.158092055158,3.904047518292085,8.321754806142327,19.461298126530803,Nofsinhar
14.5305,35.8147999999999,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",4.458136674183155,IND,479.42947266612634,1575.0,3366345.3307740088,504951.7996161013,841586.3326935022,2019807.1984644053,38.87827501953933,19.232538356315832,1.6266864659550353,3.467397835892635,8.108874219387834,Nofsinhar
14.5305,35.8147999999999,CR/LFM+CDL/HBET:3-5,"Concrete frame, mid rise, low/moderate code",0.5944182232244207,IND,479.42947266612634,1575.0,448846.04410320125,67326.90661548018,112211.51102580031,269307.62646192074,5.183770002605246,2.5643384475087783,0.21689152879400478,0.4623197114523515,1.0811832292517116,Nofsinhar
14.5305,35.8147999999999,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",2.377672892897683,IND,479.42947266612634,1425.0,1624395.207230633,243659.28108459493,406098.8018076582,974637.1243383797,20.735080010420983,10.257353790035113,0.8675661151760191,1.849278845809406,4.3247329170068465,Nofsinhar
14.5305,35.8147999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",3.863718450958735,IND,479.42947266612634,1500.0,2778570.7492102934,416785.612381544,694642.6873025734,1667142.449526176,33.694505016934094,16.668199908807058,1.409794937161031,3.0050781244402844,7.027690990136125,Nofsinhar
14.5305,35.8147999999999,S/LFBR+CDL/H:1,"Steel, low rise",1.7832546696732618,IND,479.42947266612634,1500.0,1282417.268866289,192362.59032994334,320604.31721657224,769450.3613197734,15.551310007815733,7.693015342526333,0.6506745863820141,1.3869591343570542,3.243549687755134,Nofsinhar
14.5305,35.8147999999999,S/LFM+CDL/H:1,"Steel, low rise",5.944182232244208,IND,479.42947266612634,1500.0,4274724.229554298,641208.6344331447,1068681.0573885746,2564834.537732579,51.83770002605246,25.64338447508778,2.168915287940048,4.623197114523515,10.811832292517115,Nofsinhar
14.5305,35.8147999999999,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",56.35263869070465,IND,479.42947266612634,1575.0,42551957.46505612,6382793.619758418,10637989.36626403,25531174.47903367,491.43701622727315,243.10701180940484,20.561970477457223,43.82930172924559,102.49942800536921,Nofsinhar
14.5305,35.8147999999999,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",23.480266121126935,IND,479.42947266612634,1575.0,17729982.277106714,2659497.341566007,4432495.569276678,10637989.366264028,204.76542342803043,101.29458825391865,8.567487698940507,18.262209053852324,42.708095002237165,Nofsinhar
14.5305,35.8147999999999,CR/LFM+CDL/HBET:3-5,"Concrete frame, mid rise, low/moderate code",3.130702149483592,IND,479.42947266612634,1575.0,2363997.6369475625,354599.64554213436,590999.4092368906,1418398.5821685374,27.30205645707073,13.50594510052249,1.142331693192068,2.4349612071803106,5.694412666964957,Nofsinhar
14.5305,35.8147999999999,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",12.522808597934368,IND,479.42947266612634,1425.0,8555420.019429272,1283313.0029143908,2138855.004857318,5133252.011657563,109.20822582828292,54.02378040208996,4.569326772768272,9.739844828721242,22.777650667859827,Nofsinhar
14.5305,35.8147999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",20.349563971643352,IND,479.42947266612634,1500.0,14634271.085865865,2195140.6628798796,3658567.771466466,8780562.651519518,177.46336697095978,87.78864315339621,7.425156005748443,15.827247846672021,37.01368233527223,Nofsinhar
14.5305,35.8147999999999,S/LFBR+CDL/H:1,"Steel, low rise",9.392106448450775,IND,479.42947266612634,1500.0,6754278.96270732,1013141.844406098,1688569.74067683,4052567.377624392,81.90616937121217,40.51783530156746,3.426995079576203,7.30488362154093,17.083238000894863,Nofsinhar
14.5305,35.8147999999999,S/LFM+CDL/H:1,"Steel, low rise",31.30702149483592,IND,479.42947266612634,1500.0,22514263.209024403,3377139.4813536606,5628565.802256101,13508557.925414642,273.0205645707073,135.0594510052249,11.423316931920679,24.349612071803104,56.94412666964956,Nofsinhar
14.5221,35.823,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",0.08236540382247562,IND,479.42947266612634,1575.0,62194.23333985371,9329.135000978056,15548.558334963427,37316.540003912225,0.7182877188242223,0.35532687847427913,0.030053517299464875,0.06406120849105709,0.14981386808826702,Nofsinhar
14.5221,35.823,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",0.03431891825936484,IND,479.42947266612634,1575.0,25914.26389160571,3887.1395837408563,6478.565972901428,15548.558334963425,0.2992865495100926,0.14805286603094964,0.01252229887477703,0.026692170204607124,0.06242244503677793,Nofsinhar
