LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
-14.175,65.0337,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.03574732885609114,Ind,776.0216283571167,2422.5,67201.84659380809,10080.276989071212,16800.461648452023,40321.107956284846,1.3178241172666325,0.7719359029627475,0.07611290862891025,0.16177674754771046,0.3366085197131228,IS002_7300,Fjardabyggd,1,Eastern Region
-14.175,65.0337,S/LFBR+CDH/H:1,"Steel, low rise",0.500462603985276,Ind,776.0216283571167,2550.0,990343.0024350665,148551.45036525998,247585.75060876663,594205.8014610399,18.449537641732853,10.807102641478462,1.0655807208047436,2.264874465667946,4.712519275983718,IS002_7300,Fjardabyggd,1,Eastern Region
-14.175,65.0337,S/LFM+CDH/H:1,"Steel, low rise",0.4289679462730936,Ind,776.0216283571167,2550.0,848865.4306586281,127329.81459879426,212216.35766465703,509319.25839517685,15.813889407199586,9.263230835552967,0.913354903546923,1.9413209705725247,4.039302236557472,IS002_7300,Fjardabyggd,1,Eastern Region
-14.175,65.0337,S/LFM+CDH/HBET:3-5,"Steel, mid rise",0.03574732885609114,Ind,776.0216283571167,2550.0,70738.78588821902,10610.817883232854,17684.69647205476,42443.271532931416,1.3178241172666325,0.7719359029627475,0.07611290862891025,0.16177674754771046,0.3366085197131228,IS002_7300,Fjardabyggd,1,Eastern Region
-14.175,65.0337,W/LWAL+CDM/H:1,"Wood, low rise",0.500462603985276,Ind,776.0216283571167,2422.5,940825.8523133132,141123.877846997,235206.4630783283,564495.511387988,18.449537641732853,10.807102641478462,1.0655807208047436,2.264874465667946,4.712519275983718,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",0.5200969796708786,Ind,776.0216283571167,2677.5,1080656.4173190705,162098.46259786058,270164.10432976764,648393.8503914423,19.17335826369107,11.231091790010133,1.1073860665568735,2.353731047129848,4.897402967898953,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.2836892616386611,Ind,776.0216283571167,2677.5,589448.9549013113,88417.34323519668,147362.23872532786,353669.3729407868,10.458195416558766,6.126050067278254,0.6040287635764764,1.2838532984344624,2.6713107097630644,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,CR/LWAL+CDH/H:1,"Concrete wall, low rise, high code",1.4657278517997492,Ind,776.0216283571167,2677.5,3045486.266990108,456822.94004851615,761371.566747527,1827291.760194065,54.03400965222031,31.651258680937648,3.1208152784784624,6.633242041911392,13.801772000442504,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,CR/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise, low/moderate code",0.4255338924579916,Ind,776.0216283571167,2677.5,884173.4323519669,132626.01485279502,221043.3580879917,530504.0594111801,15.687293124838149,9.189075100917378,0.9060431453647144,1.9257799476516937,4.006966064644596,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,MR/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.047281543606443516,Ind,776.0216283571167,2677.5,98241.49248355188,14736.22387253278,24560.37312088797,58944.89549013112,1.7430325694264608,1.0210083445463756,0.1006714605960794,0.2139755497390771,0.4452184516271774,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.047281543606443516,Ind,776.0216283571167,2422.5,88885.15986607074,13332.773979910613,22221.289966517692,53331.09591964245,1.7430325694264608,1.0210083445463756,0.1006714605960794,0.2139755497390771,0.4452184516271774,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,S/LFBR+CDH/H:1,"Steel, low rise",0.6619416104902093,Ind,776.0216283571167,2550.0,1309886.5664473583,196482.98496710372,327471.6416118396,785931.939868415,24.402455971970447,14.294116823649258,1.4094004483451117,2.9956576963470787,6.233058322780483,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,S/LFM+CDH/H:1,"Steel, low rise",0.5673785232773222,Ind,776.0216283571167,2550.0,1122759.9140977357,168413.98711466035,280689.9785244339,673655.9484586414,20.91639083311753,12.252100134556509,1.2080575271529528,2.5677065968689248,5.342621419526129,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,S/LFM+CDH/HBET:3-5,"Steel, mid rise",0.047281543606443516,Ind,776.0216283571167,2550.0,93563.32617481131,14034.498926221697,23390.83154370282,56137.99570488678,1.7430325694264608,1.0210083445463756,0.1006714605960794,0.2139755497390771,0.4452184516271774,IS002_7300,Fjardabyggd,1,Eastern Region
-14.225,65.0337,W/LWAL+CDM/H:1,"Wood, low rise",0.6619416104902093,Ind,776.0216283571167,2422.5,1244392.2381249906,186658.8357187486,311098.05953124765,746635.3428749944,24.402455971970447,14.294116823649258,1.4094004483451117,2.9956576963470787,6.233058322780483,IS002_7300,Fjardabyggd,1,Eastern Region
-14.025,65.0754,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",0.5856869049760063,Ind,776.0216283571167,2677.5,1216939.0270302792,182540.85405454188,304234.7567575698,730163.4162181675,21.59132872981405,12.647455469083893,1.2470395777835055,2.6505623105363383,5.515019119134578,IS002_7300,Fjardabyggd,1,Eastern Region
-14.025,65.0754,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.31946558453236706,Ind,776.0216283571167,2677.5,663784.9238346977,99567.73857520462,165946.23095867442,398270.9543008186,11.777088398080393,6.8986120740457615,0.6802034060637303,1.4457612602925485,3.0081922468006788,IS002_7300,Fjardabyggd,1,Eastern Region
-14.025,65.0754,CR/LWAL+CDH/H:1,"Concrete wall, low rise, high code",1.6505721867505632,Ind,776.0216283571167,2677.5,3429555.439812605,514433.3159718907,857388.8599531512,2057733.2638875628,60.8482900567487,35.64282904923642,3.5143842646626062,7.469766511511499,15.542326608470178,IS002_7300,Fjardabyggd,1,Eastern Region
-14.025,65.0754,CR/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise, low/moderate code",0.4791983767985506,Ind,776.0216283571167,2677.5,995677.3857520464,149351.60786280697,248919.3464380116,597406.4314512279,17.665632597120585,10.34791811106864,1.0203051090955957,2.1686418904388223,4.512288370201018,IS002_7300,Fjardabyggd,1,Eastern Region
-14.025,65.0754,MR/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.05324426408872784,Ind,776.0216283571167,2677.5,110630.82063911627,16594.623095867442,27657.705159779067,66378.49238346974,1.962848066346732,1.1497686790076265,0.113367234343955,0.240960210048758,0.5013653744667799,IS002_7300,Fjardabyggd,1,Eastern Region
