LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
19.0882,42.0850999999999,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",65.18046958771531,Ind,1114.1518817025515,656.25,47653862.69253255,7148079.403879883,11913465.673133135,28592317.61551953,6138.4855762118505,2395.009947871544,149.71459396101895,313.139495456507,952.6213457630233,4,Bar
19.0882,42.0850999999999,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",9.094949244797485,Ind,1114.1518817025515,656.25,6649376.1896557035,997406.4284483556,1662344.0474139259,3989625.713793423,856.532871099328,334.18743458672714,20.890408459677058,43.69388308695447,132.92390871111954,4,Bar
19.0882,42.0850999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",10.6107741189304,Ind,1114.1518817025515,656.25,7757605.554598322,1163640.8331897485,1939401.388649581,4654563.332758994,999.2883496158827,389.88534035118164,24.372143202956572,50.976196934780226,155.07789349630613,4,Bar
19.0882,42.0850999999999,CR/LWAL+CDM/H:2,"Concrete wall, low rise, low/moderate code",21.2215482378608,Ind,1114.1518817025515,656.25,15515211.109196644,2327281.666379497,3878802.777299162,9309126.665517988,1998.5766992317654,779.7706807023633,48.74428640591315,101.95239386956044,310.15578699261226,4,Bar
19.0882,42.0850999999999,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",6.0632994965316565,Ind,1114.1518817025515,656.25,4432917.45977047,664937.6189655705,1108229.3649426177,2659750.475862282,571.0219140662186,222.7916230578181,13.926938973118038,29.12925539130298,88.61593914074636,4,Bar
19.0882,42.0850999999999,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.515824874132914,Ind,1114.1518817025515,593.75,1002844.5548657819,150426.68322986725,250711.13871644548,601706.732919469,142.75547851655463,55.69790576445451,3.4817347432795094,7.282313847825741,22.15398478518659,4,Bar
19.0882,42.0850999999999,S/LFBR+CDM/H:1,"Steel, low rise",16.674073615462053,Ind,1114.1518817025515,625.0,11610906.558946194,1741635.9838419291,2902726.639736548,6966543.9353677165,1570.3102636821009,612.6769634089994,38.29908217607461,80.10545232608318,243.69383263705242,4,Bar
19.0882,42.0850999999999,S/LFBR+CDM/HBET:3-5,"Steel, mid rise",7.57912437066457,Ind,1114.1518817025515,625.0,5277684.799520998,791652.7199281497,1319421.1998802496,3166610.879712599,713.7773925827732,278.48952882227263,17.40867371639755,36.41156923912872,110.76992392593296,4,Bar
19.0882,42.0850999999999,S/LFBR+CDM/HBET:6-,"Steel, mid rise",4.5474746223987434,Ind,1114.1518817025515,625.0,3166610.8797125993,474991.63195688993,791652.7199281498,1899966.5278275597,428.266435549664,167.09371729336354,10.445204229838529,21.84694154347724,66.46195435555977,4,Bar
19.0882,42.0850999999999,S/LFINF+CDL/H:1,"Steel, low rise",3.031649748265828,Ind,1114.1518817025515,625.0,2111073.919808399,316661.08797125984,527768.4799520997,1266644.3518850394,285.51095703310926,111.39581152890902,6.963469486559019,14.564627695651483,44.30796957037318,4,Bar
19.0882,42.0850999999999,S/LFM+CDL/H:1,"Steel, low rise",4.5474746223987434,Ind,1114.1518817025515,625.0,3166610.8797125993,474991.63195688993,791652.7199281498,1899966.5278275597,428.266435549664,167.09371729336354,10.445204229838529,21.84694154347724,66.46195435555977,4,Bar
19.0882,42.0850999999999,S/LFM+CDL/HBET:3-5,"Steel, mid rise",1.515824874132914,Ind,1114.1518817025515,625.0,1055536.9599041995,158330.54398562992,263884.23997604987,633322.1759425197,142.75547851655463,55.69790576445451,3.4817347432795094,7.282313847825741,22.15398478518659,4,Bar
19.1049,42.0934999999999,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",8.924761223632084,Ind,1114.1518817025515,656.25,6524950.627154719,978742.5940732078,1631237.6567886798,3914970.3762928313,840.5051143222465,327.9339969193107,20.499499485762435,42.8762671443636,130.43658784981224,4,Bar
19.1049,42.0934999999999,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1.2453155195765702,Ind,1114.1518817025515,656.25,910458.2270448449,136568.7340567267,227614.55676121122,546274.9362269068,117.27978339380188,45.75823212827593,2.860395277083131,5.98273495037632,18.20045411857846,4,Bar
19.1049,42.0934999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",1.4528681061726652,Ind,1114.1518817025515,656.25,1062201.264885652,159330.18973284782,265550.316221413,637320.7589313913,136.8264139594355,53.384604149655246,3.3371278232636525,6.979857442105705,21.233863138341533,4,Bar
19.1049,42.0934999999999,CR/LWAL+CDM/H:2,"Concrete wall, low rise, low/moderate code",2.9057362123453303,Ind,1114.1518817025515,656.25,2124402.529771304,318660.37946569565,531100.632442826,1274641.5178627826,273.652827918871,106.76920829931049,6.674255646527305,13.95971488421141,42.46772627668307,4,Bar
19.1049,42.0934999999999,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.83021034638438,Ind,1114.1518817025515,656.25,606972.1513632297,91045.82270448444,151743.03784080743,364183.2908179378,78.18652226253458,30.505488085517282,1.9069301847220876,3.9884899669175455,12.133636079052307,4,Bar
