LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
9.5027,47.0684,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",19.572293573128807,IND,658.1196581196582,2362.5,30431152.60360508,4564672.890540762,7607788.15090127,18258691.562163047,502.20579010648294,387.87688426847666,47.48581738062344,95.47384055135336,176.94551406681782,Balzers
9.5027,47.0684,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",19.572293573128807,IND,658.1196581196582,2362.5,30431152.60360508,4564672.890540762,7607788.15090127,18258691.562163047,502.20579010648294,387.87688426847666,47.48581738062344,95.47384055135336,176.94551406681782,Balzers
9.5027,47.0684,S+SL/LFM+CDN/H:1,"Steel, low rise",7.2489976196773345,IND,658.1196581196582,2250.0,10734092.629137592,1610113.8943706388,2683523.157284398,6440455.577482555,186.00214448388255,143.65810528462097,17.58733977060127,35.36068168568643,65.5353755803029,Balzers
9.5027,47.0684,S/LFM+CDN/H:1,"Steel, low rise",25.37149166887067,IND,658.1196581196582,2250.0,37569324.201981574,5635398.630297236,9392331.050495394,22541594.521188945,651.0075056935889,502.80336849617333,61.55568919710445,123.7623858999025,229.3738145310601,Balzers
9.5027,47.0684,W/LWAL+CDN/H:1,"Wood, low rise",0.7248997619677334,IND,658.1196581196582,2137.5,1019738.7997680714,152960.8199652107,254934.69994201785,611843.2798608429,18.600214448388254,14.365810528462095,1.758733977060127,3.536068168568643,6.553537558030289,Balzers
9.5249,47.2098,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",18.589867759851888,IND,658.1196581196582,2362.5,28903669.392000485,4335550.408800073,7225917.348000121,17342201.635200292,446.1868561430942,344.6108566881222,42.18897508918219,84.82413703450749,157.2079896039373,Eschen
9.5249,47.2098,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",18.589867759851888,IND,658.1196581196582,2362.5,28903669.392000485,4335550.408800073,7225917.348000121,17342201.635200292,446.1868561430942,344.6108566881222,42.18897508918219,84.82413703450749,157.2079896039373,Eschen
9.5249,47.2098,S+SL/LFM+CDN/H:1,"Steel, low rise",6.885136207352552,IND,658.1196581196582,2250.0,10195297.84550282,1529294.676825423,2548824.461375705,6117178.707301692,165.25439116410897,127.63365062523046,15.62554632932674,31.416347049817592,58.22518133479161,Eschen
9.5249,47.2098,S/LFM+CDN/H:1,"Steel, low rise",24.09797672573393,IND,658.1196581196582,2250.0,35683542.45925986,5352531.368888979,8920885.614814965,21410125.475555915,578.3903690743813,446.71777718830657,54.689412152643584,109.95721467436155,203.78813467177056,Eschen
9.5249,47.2098,W/LWAL+CDN/H:1,"Wood, low rise",0.6885136207352552,IND,658.1196581196582,2137.5,968553.2953227679,145282.99429841517,242138.32383069198,581131.9771936607,16.525439116410897,12.763365062523047,1.562554632932674,3.141634704981759,5.82251813347916,Eschen
9.5086,47.2155,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",7.0167222956889725,IND,658.1196581196582,2362.5,10909653.800124105,1636448.0700186158,2727413.4500310263,6545792.280074463,200.44185893646238,154.8105682030704,18.952679750807732,38.10580136055193,70.62301643814335,Gamprin
9.5086,47.2155,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",7.0167222956889725,IND,658.1196581196582,2362.5,10909653.800124105,1636448.0700186158,2727413.4500310263,6545792.280074463,200.44185893646238,154.8105682030704,18.952679750807732,38.10580136055193,70.62301643814335,Gamprin
9.5086,47.2155,S+SL/LFM+CDN/H:1,"Steel, low rise",2.5987860354403605,IND,658.1196581196582,2250.0,3848202.398632842,577230.3597949262,962050.5996582105,2308921.439179705,74.23772553202312,57.337247482618686,7.0195110188176795,14.113259763167383,26.156672754867913,Gamprin
9.5086,47.2155,S/LFM+CDN/H:1,"Steel, low rise",9.095751124041259,IND,658.1196581196582,2250.0,13468708.395214943,2020306.2592822413,3367177.098803736,8081225.037128965,259.8320393620808,200.6803661891653,24.568288565861867,49.39640917108582,91.54835464203768,Gamprin
9.5086,47.2155,W/LWAL+CDN/H:1,"Wood, low rise",0.259878603544036,IND,658.1196581196582,2137.5,365579.22787011997,54836.88418051799,91394.80696752999,219347.53672207196,7.423772553202311,5.733724748261868,0.7019511018817678,1.411325976316738,2.6156672754867913,Gamprin
9.5468,47.2179,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",18.073247289076964,IND,658.1196581196582,2362.5,28100423.910036013,4215063.586505402,7025105.977509003,16860254.346021608,452.09507357731246,349.1740477446797,42.74762363456599,85.94734234270929,159.28967124065164,Mauren
9.5468,47.2179,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",18.073247289076964,IND,658.1196581196582,2362.5,28100423.910036013,4215063.586505402,7025105.977509003,16860254.346021608,452.09507357731246,349.1740477446797,42.74762363456599,85.94734234270929,159.28967124065164,Mauren
9.5468,47.2179,S+SL/LFM+CDN/H:1,"Steel, low rise",6.6937952922507264,IND,658.1196581196582,2250.0,9911966.105832808,1486794.915874921,2477991.526458202,5947179.663499684,167.44261984344905,129.3237213869184,15.832453197987402,31.832349015818252,58.996174533574695,Mauren
