LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_1,NAME_1
18.778,49.4211,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",3.4506,COM,Hotels,3089.1,2205.0,23503642.8543,4700728.57086,7051092.85629,11751821.42715,4541.409909196284,2407.7737884775047,214.697424162209,465.8056022713991,1029.4256049703708,Cadca,3,1,Zilinsky
18.778,49.4211,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",3.644800000000001,COM,Offices,401.07,2100.0,3069821.8656000006,613964.3731200001,920946.5596800002,1534910.9328000003,622.8134720495182,330.2044922381576,29.443818297877,63.881043607911,141.17645138131522,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",2.4282,COM,Hotels,308.91,1785.0,1338920.04267,267784.008534,401676.01280100003,669460.021335,319.5806973138126,169.4359332632318,15.108337255859151,32.778912752431786,72.44106109050757,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",10.0962,COM,Hotels,308.91,1785.0,5567088.598470001,1113417.7196940002,1670126.579541,2783544.2992350003,1328.7828993574315,704.4967751471216,62.818875958572264,136.29126881274271,301.2023066394789,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",18.867200000000004,COM,Offices,80.21,1700.0,2572674.7904000008,514534.9580800002,771802.4371200002,1286337.3952000004,644.7629702592744,341.8417210980026,30.481491800492332,66.13237071503839,146.1518612045111,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",45.95399999999999,COM,Trade,51.93,1275.0,3042648.8055,608529.7611,912794.6416499999,1521324.40275,1016.7302858542249,539.0520964147647,48.066432628901424,104.28450032463907,230.46767645610177,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",0.5112,COM,Hotels,1235.64,1785.0,1127511.6148800002,225502.32297600005,338253.48446400004,563755.8074400001,269.12058721163163,142.68289116903728,12.722810320723493,27.60329494941624,61.002998813059,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",27.6576,COM,Offices,160.43,1700.0,7543084.905599999,1508616.98112,2262925.4716799995,3771542.4527999996,1890.4456353367445,1002.2802478341058,89.37176263336228,193.90017314803688,428.5173945385016,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1.7871,COM,Trade,103.86,1275.0,236650.46265,47330.09253,70995.13879499999,118325.231325,79.0790222331064,41.92627416559282,3.738500315581222,8.111016691916374,17.92526372436347,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",8.0514,COM,Hotels,308.91,1785.0,4439576.98359,887915.3967180001,1331873.095077,2219788.491795,1059.6623121457994,561.8138839780843,50.09606563784875,108.68797386332642,240.1993078264198,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",18.009600000000006,COM,Offices,80.21,1700.0,2455735.027200001,491147.0054400002,736720.5081600002,1227867.5136000004,615.4555625202165,326.3034610480934,29.095969445924503,63.126353864354826,139.50859478612423,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",46.4646,COM,Trade,51.93,1275.0,3076456.0144499997,615291.20289,922936.8043349999,1538228.0072249998,1028.027289030383,545.0415641527065,48.60050410255588,105.44321699491283,233.0284284167251,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1.4697,COM,Hotels,1235.64,1785.0,3241595.8927800003,648319.1785560001,972478.767834,1620797.9463900002,773.721688233441,410.2133121109822,36.57807967208005,79.35947297957169,175.38362158754464,Cadca,3,1,Zilinsky
18.778,49.4211,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",25.0848,COM,Offices,160.43,1700.0,6841402.5888,1368280.5177600002,2052420.7766399998,3420701.2944,1714.5902273984427,909.0448759425612,81.05811029537509,175.86294773891717,388.6553113256178,Cadca,3,1,Zilinsky
18.778,49.4211,W/LFM+CDM/H:1,"Wood, low rise",0.1917,COM,Hotels,308.91,1995.0,118140.00376500002,23628.000753000004,35442.0011295,59070.00188250001,25.23005505109047,13.376521047097249,1.1927634675678278,2.5878089015077728,5.719031138724283,Cadca,3,1,Zilinsky
18.778,49.4211,W/LFM+CDM/H:1,"Wood, low rise",1.2765000000000002,COM,Trade,51.93,1425.0,94461.31912500001,18892.263825,28338.395737500003,47230.659562500005,28.242507940395143,14.973669344854578,1.3351786841361508,2.8967916756844194,6.401879901558382,Cadca,3,1,Zilinsky
18.778,49.4211,W/LFM+CDM/H:2,"Wood, low rise",0.1917,COM,Hotels,1235.64,1995.0,472560.01506000006,94512.00301200002,141768.004518,236280.00753000003,100.92022020436188,53.506084188388996,4.771053870271311,10.351235606031091,22.87612455489713,Cadca,3,1,Zilinsky
18.778,49.4211,W/LFM+CDN/H:1,"Wood, low rise",0.3834,COM,Hotels,308.91,1995.0,236280.00753000003,47256.00150600001,70884.002259,118140.00376500002,50.46011010218094,26.753042094194498,2.3855269351356556,5.1756178030155455,11.438062277448566,Cadca,3,1,Zilinsky
18.778,49.4211,W/LFM+CDN/H:1,"Wood, low rise",2.5530000000000004,COM,Trade,51.93,1425.0,188922.63825000002,37784.52765,56676.791475000005,94461.31912500001,56.485015880790286,29.947338689709156,2.6703573682723016,5.793583351368839,12.803759803116764,Cadca,3,1,Zilinsky
18.778,49.4211,W/LFM+CDN/H:2,"Wood, low rise",0.3834,COM,Hotels,1235.64,1995.0,945120.0301200001,189024.00602400003,283536.009036,472560.01506000006,201.84044040872377,107.01216837677799,9.542107740542622,20.702471212062182,45.75224910979426,Cadca,3,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise",14.152000000000001,COM,Hotels,,2205.0,,,,,,,,,,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise",35.5452,COM,Offices,,2100.0,,,,,,,,,,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDM/HBET:6-,"Concrete wall, mid rise",0.0928,COM,Hotels,,2205.0,,,,,,,,,,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDM/HBET:6-,"Concrete wall, mid rise",0.3118,COM,Offices,,2100.0,,,,,,,,,,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDN/H:2,"Concrete wall, low rise",10.0278,COM,Trade,103.86,1575.0,1640342.5100999998,328068.50202,492102.7530299999,820171.2550499999,258.9084344726854,137.2685916055973,12.240025693913442,26.555849761211633,58.688155686907464,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",2.9696,COM,Hotels,3089.1,2205.0,20227327.948799998,4045465.58976,6068198.384639999,10113663.974399999,2280.458319154917,1209.0579525661922,107.80980726720828,233.9031891082411,516.9236496472139,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",9.354,COM,Offices,401.07,2100.0,7878378.437999999,1575675.6875999998,2363513.5313999997,3939189.2189999996,932.630814146975,494.4640703060715,44.09058805420533,95.658543660834,211.40440067370358,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",0.6236,COM,Offices,80.21,2100.0,105039.8076,21007.96152,31511.94228,52519.9038,12.434457426838023,6.592525507475837,0.5878451920824811,1.2753836465846358,2.818584782047651,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",40.4826,COM,Trade,51.93,1575.0,3311061.73335,662212.34667,993318.5200049999,1655530.866675,522.611469583754,277.0791941668538,24.706718530306766,53.60347451800128,118.46312907172063,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",0.0464,COM,Hotels,1235.64,2205.0,126420.79968,25284.159936,37926.239903999995,63210.39984,14.252864494718231,7.556612203538702,0.6738112954200518,1.461894931926507,3.2307728102950866,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",7.4832,COM,Offices,160.43,2100.0,2521112.5296,504222.50592,756333.75888,1260556.2648,298.44558109776193,158.2304750775736,14.109164069187248,30.611115584825793,67.65025157719555,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",2.7855,COM,Trade,103.86,1575.0,455650.69724999997,91130.13945,136695.209175,227825.34862499998,71.91900957574596,38.13016433488814,3.400007137198179,7.376624933669899,16.302265468585407,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",22.6554,COM,Trade,51.93,1575.0,1852979.50215,370595.90043000004,555893.850645,926489.751075,292.470638941367,155.06266829521184,13.826695691272597,29.9982747302576,66.29587957224734,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",0.1857,COM,Trade,103.86,1575.0,30376.71315,6075.34263,9113.013944999999,15188.356575,4.7946006383830655,2.5420109556592103,0.22666714247987865,0.4917749955779934,1.086817697905694,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",2.2736,COM,Hotels,3089.1,2205.0,15486547.9608,3097309.59216,4645964.388239999,7743273.9804,1745.9759006029833,925.684994933491,82.54188368895635,179.0821291609971,395.7696692611482,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",2.0267000000000004,COM,Offices,401.07,2100.0,1706981.9949000003,341396.39898000006,512094.5984700001,853490.9974500001,202.07000973184464,107.13388189964886,9.552960745077822,20.72601779318071,45.8042868126358,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",0.0464,COM,Hotels,4324.75,2205.0,442473.822,88494.7644,132742.14659999998,221236.911,49.88514107954798,26.448203867836906,2.358344987106171,5.116644092817617,11.307730982586898,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",0.1559,COM,Offices,481.28,2100.0,157566.2592,31513.25184,47269.877759999996,78783.1296,18.652461259159093,9.889199215303485,0.8818044322573759,1.9131549726600594,4.228052873406973,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",6.2176,COM,Hotels,308.91,2205.0,4235096.78928,847019.3578560001,1270529.036784,2117548.39464,477.4709605730607,253.14650881854647,22.572678396571735,48.973480219537976,108.2308891448854,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",13.0956,COM,Offices,80.21,2100.0,2205835.9595999997,441167.19191999995,661750.7878799998,1102917.9797999999,261.12360596359844,138.44303565699255,12.3447490337321,26.783056578277346,59.19028042300067,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",35.283,COM,Trade,51.93,1575.0,2885787.74925,577157.54985,865736.324775,1442893.874625,455.4870606463911,241.49104078762494,21.53337853558847,46.71862457990937,103.24768130104093,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",0.8815999999999999,COM,Hotels,1235.64,2205.0,2401995.19392,480399.03878400003,720598.558176,1200997.59696,270.8044253996464,143.5756318672353,12.802414612980986,27.776003706603632,61.384683395606636,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",19.4875,COM,Offices,160.43,2100.0,6565397.2125,1313079.4425000001,1969619.16375,3282698.60625,777.202034108755,412.0585288478479,36.742614763508456,79.71644683548384,176.17253014894675,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",2.9712,COM,Trade,103.86,1575.0,486027.4104,97205.48208,145808.22311999998,243013.7052,76.71361021412905,40.672175290547365,3.6266742796780584,7.868399929247895,17.389083166491105,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",2.5056000000000003,COM,Hotels,3089.1,2205.0,17066807.956800003,3413361.591360001,5120042.38704,8533403.978400001,1924.1367067869612,1020.1426474777247,90.964524881707,197.3558158100784,436.15432938983673,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",2.6503,COM,Offices,401.07,2100.0,2232207.2241,446441.4448200001,669662.16723,1116103.61205,264.24539734164296,140.09815325338695,12.492333282024845,27.103254037236308,59.89791352421603,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",1.7632,COM,Hotels,308.91,1785.0,972236.1499200002,194447.22998400006,291670.8449760001,486118.0749600001,135.40221269982322,71.78781593361768,6.401207306490494,13.88800185330182,30.69234169780333,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",7.3312,COM,Hotels,308.91,1785.0,4042455.5707200007,808491.1141440002,1212736.671216,2021227.7853600003,562.98814754137,298.48618203977867,26.615546169092045,57.74484981109701,127.61552600665591,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",13.719200000000004,COM,Offices,80.21,1700.0,1870708.9544000006,374141.79088000016,561212.6863200002,935354.4772000003,273.55806339043653,145.03556116446842,12.932594225814585,28.05844022486199,62.00886520504833,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",33.425999999999995,COM,Trade,51.93,1275.0,2213160.5294999997,442632.10589999997,663948.1588499999,1106580.2647499999,431.5140574544757,228.7809860093288,20.400042823189068,44.25974960201939,97.81359281151242,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",0.3712,COM,Hotels,1235.64,1785.0,818725.1788800001,163745.03577600003,245617.55366400004,409362.58944000007,114.02291595774585,60.452897628309614,5.390490363360414,11.695159455412057,25.846182482360692,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",20.1111,COM,Offices,160.43,1700.0,5484920.4141,1096984.08282,1645476.12423,2742460.20705,802.0724992002351,425.2444017709791,37.918378435940724,82.26737313421933,181.81005111371306,Dolny Kubin,4,1,Zilinsky
19.2933,49.2178,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1.2998999999999998,COM,Trade,103.86,1275.0,172134.70784999998,34426.941569999995,51640.41235499999,86067.35392499999,33.56220446868145,17.79407668961447,1.5866699973591503,3.442424969045953,7.607723885339857,Dolny Kubin,4,1,Zilinsky
