LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_0,NAME_0,ID_1,NAME_1
-4.448164287,54.36904925,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.3513982043834174,Ind,300,1758.75,1768331.7485608663,265249.76228412986,442082.9371402166,1060999.0491365194,125.4238183258516,51.96910827567996,4.378670921573806,8.419199228941116,21.58899280873163,Andreas,1,110,Isle of Man,1,Ayre
-4.448164287,54.36904925,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.6756991021917087,Ind,300,1758.75,884165.8742804332,132624.88114206493,221041.4685701083,530499.5245682597,62.711909162925814,25.98455413783998,2.189335460786903,4.209599614470558,10.794496404365814,Andreas,1,110,Isle of Man,1,Ayre
-4.448164287,54.36904925,S+SL/LFM+CDN/H:1,"Steel, low rise",3.0467256403485616,Ind,300,1675.0,1530979.6342751519,229646.94514127282,382744.90856878797,918587.7805650913,114.02165302350149,47.244643886981784,3.98060992870346,7.653817480855559,19.626357098846935,Andreas,1,110,Isle of Man,1,Ayre
-4.448164287,54.36904925,S/LFBR+CDN/H:1,"Steel, low rise",1.0663539741219965,Ind,300,1675.0,535842.8719963032,80376.43079944547,133960.7179990758,321505.7231977819,39.907578558225524,16.535625360443625,1.3932134750462108,2.678836118299446,6.869224984596428,Andreas,1,110,Isle of Man,1,Ayre
-4.448164287,54.36904925,S/LFM+CDN/H:1,"Steel, low rise",6.0934512806971215,Ind,300,1675.0,3061959.2685503038,459293.8902825455,765489.8171375759,1837175.561130182,228.04330604700286,94.48928777396357,7.961219857406919,15.307634961711116,39.252714197693855,Andreas,1,110,Isle of Man,1,Ayre
-4.390820025,54.38677208,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.9164166886717721,Ind,300,1758.75,483538.1016107738,72530.71524161607,120884.52540269346,290122.8609664643,34.296276736202806,14.210593673092161,1.1973173171375762,2.3021718721943496,5.903360954141362,Bride,2,110,Isle of Man,1,Ayre
-4.390820025,54.38677208,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",0.45820834433588603,Ind,300,1758.75,241769.0508053869,36265.357620808034,60442.26270134673,145061.43048323214,17.148138368101403,7.1052968365460805,0.5986586585687881,1.1510859360971748,2.951680477070681,Bride,2,110,Isle of Man,1,Ayre
-4.390820025,54.38677208,S+SL/LFM+CDN/H:1,"Steel, low rise",0.8331060806107019,Ind,300,1675.0,418635.8055068777,62795.37082603166,104658.95137671943,251181.48330412665,31.178433396547998,12.91872152099287,1.0884702883068875,2.0928835201766813,5.3666917764921465,Bride,2,110,Isle of Man,1,Ayre
-4.390820025,54.38677208,S/LFBR+CDN/H:1,"Steel, low rise",0.2915871282137457,Ind,300,1675.0,146522.53192740722,21978.379789111084,36630.632981851806,87913.51915644434,10.912451688791805,4.521552532347505,0.3809646009074107,0.7325092320618387,1.878342121772252,Bride,2,110,Isle of Man,1,Ayre
-4.390820025,54.38677208,S/LFM+CDN/H:1,"Steel, low rise",1.6662121612214038,Ind,300,1675.0,837271.6110137554,125590.74165206333,209317.90275343886,502362.9666082533,62.356866793095996,25.83744304198574,2.176940576613775,4.1857670403533636,10.733383552984293,Bride,2,110,Isle of Man,1,Ayre
-4.455649534,54.30039518,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.0611196197517816,Ind,300,1758.75,1615169.15616583,242275.3734248745,403792.2890414575,969101.493699498,114.56033799841559,47.467846928967504,3.999415959862688,7.689977248481647,19.719080045770614,Lezayre,3,110,Isle of Man,1,Ayre
-4.455649534,54.30039518,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.5305598098758908,Ind,300,1758.75,807584.578082915,121137.68671243725,201896.1445207288,484550.746849749,57.280168999207795,23.733923464483752,1.999707979931344,3.8449886242408233,9.859540022885307,Lezayre,3,110,Isle of Man,1,Ayre
-4.455649534,54.30039518,S+SL/LFM+CDN/H:1,"Steel, low rise",2.782836017956165,Ind,300,1675.0,1398375.0990229729,209756.26485344593,349593.7747557432,839025.0594137837,104.14576181674144,43.152588117243184,3.635832690784261,6.990888407710588,17.92643640524601,Lezayre,3,110,Isle of Man,1,Ayre
-4.455649534,54.30039518,S/LFBR+CDN/H:1,"Steel, low rise",0.9739926062846578,Ind,300,1675.0,489431.2846580406,73414.69269870609,122357.82116451015,293658.77079482435,36.45101663585951,15.103405841035116,1.2725414417744916,2.446810942698705,6.274252741836102,Lezayre,3,110,Isle of Man,1,Ayre
-4.455649534,54.30039518,S/LFM+CDN/H:1,"Steel, low rise",5.56567203591233,Ind,300,1675.0,2796750.1980459457,419512.52970689186,699187.5495114864,1678050.1188275674,208.29152363348288,86.30517623448637,7.271665381568522,13.981776815421176,35.85287281049202,Lezayre,3,110,Isle of Man,1,Ayre
-4.389077047,54.32514192,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",18.820128069712165,Ind,300,1758.75,9930252.374702927,1489537.856205439,2482563.0936757317,5958151.424821756,704.3306047002902,291.8379773963558,24.58888574069184,47.278896171111676,121.23525310271981,Ramsey,4,110,Isle of Man,1,Ayre
