LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_4,NAME_4,ID_1,NAME_1,ID_2,NAME_2
4.4637,51.4544,W/LWAL+CDN/H:1,"Wood, low rise",52.09,52.09,Res,ALL,RURAL,90.0,1258.75,5901380.28,1770414.084,2950690.14,1180276.0559999999,127.80406812814644,28.85515518773445,120.83734057041308,64.00606657552953,71.2328541112257,28,Essen,2,Vlaanderen,2,Antwerpen
4.4637,51.4544,W/LWAL+CDN/H:2,"Wood, low rise",52.09,52.09,Res,ALL,RURAL,80.0,1258.75,5245671.36,1573701.408,2622835.68,1049134.272,127.80406812814644,28.85515518773445,120.83734057041308,64.00606657552953,71.2328541112257,28,Essen,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",1.0034602076124566,17.4,Res,ALL,RURAL,70.54,1391.25,1707553.3152,512265.99456,853776.6576,341510.66304,45.31739252854316,10.231602274220624,42.847096144419744,22.695584621789816,25.258094346810065,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",2.2,2.2,Res,ALL,RURAL,80.0,1391.25,244851.2,73455.36,122425.6,48970.24000000001,5.729785262229595,1.2936508622577805,5.417448937800199,2.8695566763182523,3.1935521587920768,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",18.512110726643602,321.0,Res,ALL,RURAL,70.54,1391.25,31501414.608000007,9450424.3824,15750707.304,6300282.921600001,836.0277587162273,188.7554212657943,790.455049560847,418.69440595370867,465.96829226011664,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",6.43598615916955,111.6,Res,ALL,RURAL,70.54,1391.25,10951893.6768,3285568.10304,5475946.8384,2190378.73536,290.65637966582864,65.62338010362194,274.8124097538646,145.56478412596232,162.00019132781628,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1366.82,1366.82,Res,ALL,RURAL,90.0,1258.75,154849771.44,46454931.432,77424885.72,30969954.288000006,3559.8114055093884,803.7217597959905,3365.7625259836664,1782.803389238779,1984.0958916728118,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1384.22,1384.22,Res,ALL,RURAL,80.0,1258.75,139396490.88,41818947.264,69698245.44,27879298.176,3605.128798037932,813.9533620702111,3408.6096221280873,1805.4989738605689,2009.3539860196224,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",3.1372549019607843,54.4,Res,ALL,RURAL,70.54,1258.75,4830488.9088,1449146.67264,2415244.4544,966097.7817600002,141.6819628478591,31.98845768491965,133.95873737105944,70.9563105416877,78.96783519922225,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,W/LWAL+CDN/H:1,"Wood, low rise",14.18,14.18,Res,ALL,RURAL,90.0,1258.75,1606480.56,481944.16799999995,803240.28,321296.11199999996,36.9310704629162,8.3381678303706,34.91792088091218,18.495597122814914,20.583895278032568,30,Hove,2,Vlaanderen,2,Antwerpen
4.4682,51.1486,W/LWAL+CDN/H:2,"Wood, low rise",14.18,14.18,Res,ALL,RURAL,80.0,1258.75,1427982.72,428394.816,713991.36,285596.544,36.9310704629162,8.3381678303706,34.91792088091218,18.495597122814914,20.583895278032568,30,Hove,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",2.5692041522491347,44.55,Res,ALL,RURAL,70.54,1391.25,4371925.2984,1311577.5895200002,2185962.6492,874385.05968,111.39967272135613,25.15142820817326,105.32716516164228,55.79051569427325,62.089703021362936,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",6.8500000000000005,6.8500000000000005,Res,ALL,RURAL,80.0,1391.25,762377.6000000002,228713.28000000003,381188.8000000001,152475.52000000002,17.128793673205152,3.8672790847584015,16.195086001285063,8.578339674652566,9.546901586898676,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",49.524221453287204,858.75,Res,ALL,RURAL,70.54,1391.25,84273644.22,25282093.266,42136822.11,16854728.844,2147.350593702909,484.82130131916483,2030.2963654895693,1075.4232402347286,1196.8469690144875,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",17.750865051903116,307.8,Res,ALL,RURAL,70.54,1391.25,30206029.3344,9061808.80032,15103014.6672,6041205.8668800015,769.6704660748242,173.77350398374256,727.7149592986195,385.461744796797,428.98340269305305,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3008.94,3008.94,Res,ALL,RURAL,90.0,1258.75,340888830.48,102266649.144,170444415.24,68177766.096,7524.016413876483,1698.7460918675836,7113.874755139663,3768.132756299137,4193.584534435461,31,Kalmthout,2,Vlaanderen,2,Antwerpen
