LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2
5.9819,50.068999999999996,CR+PC/LFM+CDN/H:2,"Concrete frame, low rise",13.912209885340165,Ind,2402.0244285714284,1968.75,65792310.99839997,9868846.649759997,16448077.749599993,39475386.59903998,1310.3844728830945,667.2648085902192,56.644644801553966,123.4428036912426,282.45075236100524,1,Diekirch,1,Clervaux
5.9819,50.068999999999996,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",3.974917110097192,Ind,2402.0244285714284,1968.75,18797803.1424,2819670.47136,4699450.7856,11278681.88544,374.39556368088427,190.64708816863416,16.184184229015422,35.26937248321218,80.70021496028724,1,Diekirch,1,Clervaux
5.9819,50.068999999999996,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3.974917110097192,Ind,2402.0244285714284,1781.25,17006626.8576,2550994.02864,4251656.7144,10203976.11456,374.39556368088427,190.64708816863416,16.184184229015422,35.26937248321218,80.70021496028724,1,Diekirch,1,Clervaux
5.9819,50.068999999999996,S+SL/LFM+CDN/H:1,"Steel, low rise",3.974917110097192,Ind,2402.0244285714284,1875.0,17902215.0,2685332.25,4475553.75,10741329.0,374.39556368088427,190.64708816863416,16.184184229015422,35.26937248321218,80.70021496028724,1,Diekirch,1,Clervaux
5.9819,50.068999999999996,S/LFM+CDN/H:1,"Steel, low rise",13.912209885340165,Ind,2402.0244285714284,1875.0,62657752.49999997,9398662.874999994,15664438.124999993,37594651.49999998,1310.3844728830945,667.2648085902192,56.644644801553966,123.4428036912426,282.45075236100524,1,Diekirch,1,Clervaux
6.0236,50.1691,CR+PC/LFM+CDN/H:2,"Concrete frame, low rise",2.3532845597918555,Ind,2402.0244285714284,1968.75,11128931.413599994,1669339.712039999,2782232.8533999985,6677358.848159996,221.65476030347972,112.86948545841585,9.58158115101867,20.880654212248853,47.777240273894456,1,Diekirch,1,Clervaux
6.0236,50.1691,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",0.6723670170833874,Ind,2402.0244285714284,1968.75,3179694.6895999988,476954.2034399998,794923.6723999998,1907816.8137599996,63.32993151527994,32.24842441669025,2.737594614576763,5.965901203499674,13.650640078255565,1,Diekirch,1,Clervaux
6.0236,50.1691,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.6723670170833874,Ind,2402.0244285714284,1781.25,2876712.810399999,431506.92155999976,719178.2025999997,1726027.686239999,63.32993151527994,32.24842441669025,2.737594614576763,5.965901203499674,13.650640078255565,1,Diekirch,1,Clervaux
6.0236,50.1691,S+SL/LFM+CDN/H:1,"Steel, low rise",0.6723670170833874,Ind,2402.0244285714284,1875.0,3028203.7499999986,454230.56249999977,757050.9374999999,1816922.2499999998,63.32993151527994,32.24842441669025,2.737594614576763,5.965901203499674,13.650640078255565,1,Diekirch,1,Clervaux
6.0236,50.1691,S/LFM+CDN/H:1,"Steel, low rise",2.3532845597918555,Ind,2402.0244285714284,1875.0,10598713.124999994,1589806.968749999,2649678.2812499986,6359227.874999996,221.65476030347972,112.86948545841585,9.58158115101867,20.880654212248853,47.777240273894456,1,Diekirch,1,Clervaux
5.9819,50.0606999999999,CR+PC/LFM+CDN/H:2,"Concrete frame, low rise",2.4544687930198865,Ind,2402.0244285714284,1968.75,11607442.347199993,1741116.3520799992,2901860.5867999983,6964465.408319997,231.18525540205562,117.72253745904696,9.993560627892355,21.77846020726755,49.83151943140229,1,Diekirch,1,Clervaux
5.9819,50.0606999999999,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",0.7012767980056821,Ind,2402.0244285714284,1968.75,3316412.0991999987,497461.8148799999,829103.0247999999,1989847.2595199996,66.05293011487306,33.63501070258486,2.8553030365406746,6.2224172020764446,14.23757698040066,1,Diekirch,1,Clervaux
5.9819,50.0606999999999,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.7012767980056821,Ind,2402.0244285714284,1781.25,3000402.9007999985,450060.4351199999,750100.7251999999,1800241.7404799997,66.05293011487306,33.63501070258486,2.8553030365406746,6.2224172020764446,14.23757698040066,1,Diekirch,1,Clervaux
5.9819,50.0606999999999,S+SL/LFM+CDN/H:1,"Steel, low rise",0.7012767980056821,Ind,2402.0244285714284,1875.0,3158407.4999999986,473761.12499999977,789601.8749999999,1895044.4999999998,66.05293011487306,33.63501070258486,2.8553030365406746,6.2224172020764446,14.23757698040066,1,Diekirch,1,Clervaux
5.9819,50.0606999999999,S/LFM+CDN/H:1,"Steel, low rise",2.4544687930198865,Ind,2402.0244285714284,1875.0,11054426.249999993,1658163.9374999988,2763606.562499998,6632655.749999995,231.18525540205562,117.72253745904696,9.993560627892355,21.77846020726755,49.83151943140229,1,Diekirch,1,Clervaux
5.9902,50.1191,CR+PC/LFM+CDN/H:2,"Concrete frame, low rise",0.08122190502285243,Ind,2402.0244285714284,1968.75,384106.9735999999,57616.04603999997,96026.74339999996,230464.1841599999,7.650252841001391,3.895608199924841,0.3307013046843876,0.7206805935072745,1.6489966993721676,1,Diekirch,1,Clervaux
