LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
28.8583,47.0197,CR+PC/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise",93.13229273285587,1341.1050153531246,RES,ALL,BIG_CITY,56.0,682.5,51257033.68679642,15377110.106038924,25628516.84339821,10251406.737359285,2423.47123507102,685.0304966613498,2371.055187463287,1553.3481228311211,1536.4779356519193,Mun. Chisinau
28.8583,47.0197,CR+PC/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise",102.44552200614145,1475.215516888437,RES,ALL,BIG_CITY,56.0,682.5,56382737.05547606,16914821.116642818,28191368.52773803,11276547.411095213,2665.8183585781217,753.5335463274848,2608.160706209615,1708.6829351142328,1690.125729217111,Mun. Chisinau
28.8583,47.0197,CR/LDUAL+CDH/HBET:3-5,"Concrete wall, mid rise, high code",130.3852098259982,1877.5470214943743,RES,ALL,BIG_CITY,56.0,682.5,71759847.16151498,21527954.148454495,35879923.58075749,14351969.432302997,3392.8597290994285,959.0426953258899,3319.4772624486013,2174.68737196357,2151.069109912687,Mun. Chisinau
28.8583,47.0197,CR/LDUAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",139.6984390992838,2011.657523029687,RES,ALL,BIG_CITY,56.0,682.5,76885550.53019464,23065665.159058392,38442775.26509732,15377110.106038928,3635.2068526065304,1027.545744992025,3556.5827811949302,2330.0221842466817,2304.716903477879,Mun. Chisinau
28.8583,47.0197,CR/LDUAL+CDM/HBET:3-5,"Concrete wall, mid rise, low/moderate code",139.6984390992838,2011.657523029687,RES,ALL,BIG_CITY,56.0,682.5,76885550.53019464,23065665.159058392,38442775.26509732,15377110.106038928,3635.2068526065304,1027.545744992025,3556.5827811949302,2330.0221842466817,2304.716903477879,Mun. Chisinau
28.8583,47.0197,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",186.26458546571175,2682.210030706249,RES,ALL,BIG_CITY,56.0,682.5,102514067.37359284,30754220.21207785,51257033.68679642,20502813.47471857,4846.94247014204,1370.0609933226997,4742.110374926574,3106.6962456622423,3072.9558713038386,Mun. Chisinau
28.8583,47.0197,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",113.36135278062119,1632.4034800409452,RES,ALL,BIG_CITY,56.0,682.5,62390461.007164925,18717138.30214948,31195230.503582463,12478092.201432986,2949.8680808880504,833.8244610842208,2886.0668591005633,1890.7474451260048,1870.212921770263,Mun. Chisinau
28.8583,47.0197,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",1185.9185465711384,1185.9185465711384,RES,ALL,BIG_CITY,72.0,682.5,58276037.378505744,17482811.213551722,29138018.689252872,11655207.47570115,2143.0383540811877,605.7619363563589,2096.6876490399427,1373.6018634318782,1358.6838162760598,Mun. Chisinau
28.8583,47.0197,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1394.3412163982146,1589.5489866939645,RES,ALL,BIG_CITY,70.0,682.5,75940702.83930415,22782210.851791244,37970351.419652075,15188140.56786083,2872.426992583266,811.9345758585489,2810.300705374179,1841.1108051661702,1821.115362132966,Mun. Chisinau
28.8583,47.0197,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1102.6860798362356,1102.6860798362356,RES,ALL,BIG_CITY,72.0,617.5,49025423.109519035,14707626.93285571,24512711.554759517,9805084.621903807,1992.6314234927354,563.2471613215741,1949.5337947497228,1277.1970372019036,1263.3259977577334,Mun. Chisinau
28.8583,47.0197,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",722.709799062653,823.8891709314244,RES,ALL,BIG_CITY,70.0,617.5,35612609.413510814,10683782.824053245,17806304.706755407,7122521.882702163,1488.8257696307824,420.8389361726851,1456.6247014723233,954.2777653025463,943.9138009825183,Mun. Chisinau
28.8583,47.0197,MUR+CL/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",46.56614636642794,670.5525076765623,RES,ALL,BIG_CITY,56.0,617.5,23187705.715455525,6956311.714636657,11593852.857727762,4637541.143091105,1211.73561753551,342.5152483306749,1185.5275937316435,776.6740614155606,768.2389678259597,Mun. Chisinau
28.8583,47.0197,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",624.167656090073,624.167656090073,RES,ALL,BIG_CITY,72.0,617.5,27750493.989764646,8325148.196929393,13875246.994882323,5550098.7979529295,1127.9149232006255,318.8220717665048,1103.5198152841808,722.9483491746729,715.0967454084529,Mun. Chisinau
28.8583,47.0197,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",547.5154877983097,624.167656090073,RES,ALL,BIG_CITY,70.0,617.5,26979646.934493408,8093894.080348022,13489823.467246704,5395929.3868986815,1127.9149232006255,318.8220717665048,1103.5198152841808,722.9483491746729,715.0967454084529,Mun. Chisinau
