LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
24.2447,59.0763,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",4.327127530658433,Ind,1783.7485595959595,1050.0,8104432.875000001,1215664.93125,2026108.21875,4862659.7250000015,229.94900884238697,121.60462419314604,11.067675744592929,23.679459083562485,52.117253007100494,1,Harju
24.2447,59.0763,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.3846808098106984,Ind,1783.7485595959595,1050.0,2593418.52,389012.778,648354.63,1556051.112,73.58368282956383,38.913479741806725,3.5416562382697365,7.577426906739995,16.677520962272155,1,Harju
24.2447,59.0763,CR/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",1.7308510122633731,Ind,1783.7485595959595,1050.0,3241773.150000001,486265.9725,810443.2875000002,1945063.89,91.9796035369548,48.641849677258435,4.427070297837172,9.471783633424996,20.846901202840204,1,Harju
24.2447,59.0763,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.2115957085843612,Ind,1783.7485595959595,950.0,2053122.995,307968.44925,513280.74875,1231873.797,64.38572247586836,34.0492947740809,3.0989492084860206,6.630248543397497,14.59283084198814,1,Harju
24.2447,59.0763,S+SL/LFM+CDN/H:1,"Steel, low rise",3.4617020245267462,Ind,1783.7485595959595,1000.0,6174806.0,926220.9,1543701.5,3704883.6,183.9592070739096,97.28369935451687,8.854140595674345,18.943567266849996,41.69380240568041,1,Harju
24.2447,59.0763,S/LFM+CDN/H:1,"Steel, low rise",4.327127530658433,Ind,1783.7485595959595,1000.0,7718507.5,1157776.125,1929626.875,4631104.5,229.94900884238697,121.60462419314604,11.067675744592929,23.679459083562485,52.117253007100494,1,Harju
24.2447,59.0763,W/LWAL+CDN/H:1,"Wood, low rise",0.8654255061316866,Ind,1783.7485595959595,950.0,1466516.425,219977.46375,366629.10625,879909.855,45.9898017684774,24.320924838629217,2.213535148918586,4.735891816712498,10.423450601420102,1,Harju
24.3197,59.1013,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.7552616168712003,Ind,1783.7485595959595,1050.0,7033364.624999997,1055004.6937499996,1758341.156249999,4220018.774999999,199.55933367464112,105.5335611051615,9.604990289094156,20.550021503813518,45.22952429935639,1,Harju
24.3197,59.1013,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.2016837173987842,Ind,1783.7485595959595,1050.0,2250676.6799999992,337601.50199999986,562669.1699999998,1350406.0079999994,63.85898677588517,33.77073955365169,3.0735968925101287,6.576006881220327,14.473447775794051,1,Harju
24.3197,59.1013,CR/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",1.5021046467484802,Ind,1783.7485595959595,1050.0,2813345.849999999,422001.87749999994,703336.4624999998,1688007.5099999998,79.82373346985645,42.2134244420646,3.841996115637661,8.220008601525407,18.091809719742557,1,Harju
24.3197,59.1013,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.051473252723936,Ind,1783.7485595959595,950.0,1781785.7049999991,267267.8557499998,445446.42624999967,1069071.4229999993,55.876613428899496,29.54939710944521,2.689397280946362,5.7540060210677835,12.664266803819785,1,Harju
24.3197,59.1013,S+SL/LFM+CDN/H:1,"Steel, low rise",3.0042092934969604,Ind,1783.7485595959595,1000.0,5358753.999999998,803813.0999999997,1339688.4999999995,3215252.399999999,159.6474669397129,84.4268488841292,7.683992231275322,16.440017203050814,36.18361943948511,1,Harju
24.3197,59.1013,S/LFM+CDN/H:1,"Steel, low rise",3.7552616168712003,Ind,1783.7485595959595,1000.0,6698442.499999996,1004766.3749999994,1674610.624999999,4019065.4999999977,199.55933367464112,105.5335611051615,9.604990289094156,20.550021503813518,45.22952429935639,1,Harju
24.3197,59.1013,W/LWAL+CDN/H:1,"Wood, low rise",0.7510523233742401,Ind,1783.7485595959595,950.0,1272704.0749999995,190905.61124999996,318176.0187499999,763622.4449999997,39.911866734928225,21.1067122210323,1.9209980578188304,4.110004300762704,9.045904859871278,1,Harju
24.1029,59.1263,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.782035670047562,Ind,1783.7485595959595,1050.0,1464702.7499999998,219705.41249999995,366175.6875,878821.6499999998,41.558360813892044,21.977432624292973,2.0002454643334384,4.279555321532162,9.419077803386193,1,Harju
24.1029,59.1263,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",0.25025141441521986,Ind,1783.7485595959595,1050.0,468704.88,70305.732,117176.22,281222.928,13.29867546044546,7.032778439773754,0.6400785485867004,1.369457702890292,3.014104897083582,1,Harju
24.1029,59.1263,CR/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",0.31281426801902484,Ind,1783.7485595959595,1050.0,585881.1,87882.165,146470.275,351528.66,16.623344325556822,8.790973049717191,0.8000981857333754,1.711822128612865,3.7676311213544778,1,Harju
24.1029,59.1263,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.2189699876133174,Ind,1783.7485595959595,950.0,371058.03,55658.70449999999,92764.5075,222634.818,11.636341027889776,6.153681134802035,0.5600687300133629,1.1982754900290056,2.637341784948134,1,Harju
