LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
-2.5794,53.2352,W/LPB+CDL/HBET:1-3,"Wood, low rise",769.2323,769.2323,Res,ALL,RURAL,120.0,1484.375,137021811.1344,41106543.34032,68510905.5672,27404362.226880006,836.1858527347594,176.027574323826,787.3705769308832,400.1901872603285,454.5294461716791,15,Cheshire,1,England
-2.5794,53.2352,W/LPB+CDL/HBET:1-3,"Wood, low rise",7876.4453,7876.4453,Res,ALL,URBAN,93.0,1781.25,1304745766.2574801,391423729.87724406,652372883.1287402,260949153.25149605,8562.006730215551,1802.4094417945014,8062.169620315662,4097.6908010138595,4654.0899543746755,15,Cheshire,1,England
-4.9215,50.3447,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",10749.5905,21499.181,Res,ALL,RURAL,75.0,1640.625,2645366726.145,793610017.8435,1322683363.0725,529073345.229,57076.704699138536,12015.359797977402,53744.65229385989,27316.34010196072,31025.450731266003,16,Cornwall,1,England
-4.9215,50.3447,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",17875.2041,35750.4082,Res,ALL,URBAN,75.0,1968.75,5278905274.811999,1583671582.4435995,2639452637.406,1055781054.9624,94911.31274745123,19980.017724747824,89370.53267622415,45423.605167802685,51591.385189591565,16,Cornwall,1,England
-4.9215,50.3447,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",3847.1389,7694.2778,Res,ALL,RURAL,75.0,1640.625,946742411.901,284022723.5703,473371205.9505,189348482.38020003,20427.011701689356,4300.141300851879,19234.51339906228,9776.163530311507,11103.60607674189,16,Cornwall,1,England
-4.9215,50.3447,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",6397.3035,12794.607,Res,ALL,URBAN,75.0,1968.75,1889251669.62,566775500.8859999,944625834.81,377850333.924,33967.52673883396,7150.588972608784,31984.55347911094,16256.518621938545,18463.887024552758,16,Cornwall,1,England
-4.9215,50.3447,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",10729.878,21459.756,Res,ALL,RURAL,93.0,1484.375,2962502147.995201,888750644.3985602,1481251073.9976006,592500429.5990403,56972.037964030664,11993.326141903002,53646.09584574749,27266.247649205434,30968.556545618638,16,Cornwall,1,England
-4.9215,50.3447,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",17842.4247,35684.8494,Res,ALL,URBAN,75.0,1781.25,4767139031.346,1430141709.4037998,2383569515.673,953427806.2692,94737.2651747539,19943.378535100383,89206.64573974953,45340.30773998547,51496.777338278465,16,Cornwall,1,England
-4.9215,50.3447,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",12615.9937,25231.9874,Res,ALL,RURAL,93.0,1484.375,3483255674.980081,1044976702.4940243,1741627837.4900405,696651134.9960161,66986.67701817035,14101.532845787586,63076.09529386508,32059.153754126142,36412.260631259596,16,Cornwall,1,England
-4.9215,50.3447,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",20978.7957,41957.5914,Res,ALL,URBAN,75.0,1781.25,5605114635.125999,1681534390.5377998,2802557317.563,1121022927.0252,111390.33874010897,23449.058684027194,104887.53784996949,53310.30221762875,60548.966250541824,16,Cornwall,1,England
-4.9215,50.3447,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",6307.9969,6307.9969,Res,ALL,RURAL,93.0,1484.375,870813925.6474801,261244177.69424403,435406962.82374007,174162785.12949604,16746.669387284164,3525.383239390657,15769.023948458596,8014.78850206033,9103.06522996986,16,Cornwall,1,England
-4.9215,50.3447,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",10489.3978,10489.3978,Res,ALL,URBAN,75.0,1781.25,1401278652.1020002,420383595.6306,700639326.0510001,280255730.4204,27847.58455228567,5862.2646430630375,26221.884337500054,13327.575490878398,15137.241490480495,16,Cornwall,1,England
-4.9215,50.3447,W/LPB+CDL/HBET:1-3,"Wood, low rise",2153.3431,2153.3431,Res,ALL,RURAL,120.0,1484.375,383570699.7168,115071209.91503999,191785349.8584,76714139.94336002,5716.763268081123,1203.450127471927,5383.027203635449,2735.985732470945,3107.4876878594405,16,Cornwall,1,England
-4.9215,50.3447,W/LPB+CDL/HBET:1-3,"Wood, low rise",3580.7362,3580.7362,Res,ALL,URBAN,93.0,1781.25,593154680.7079201,177946404.21237597,296577340.35396004,118630936.14158401,9506.251549438812,2001.1847793012375,8951.290843359899,4549.596929045921,5167.357517235686,16,Cornwall,1,England
-0.0836,51.3633,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",17361.0072,34722.0144,Res,ALL,URBAN,75.0,1968.75,5127052646.304,1538115793.8911998,2563526323.152,1025410529.2608,103880.97369966254,21868.24347595021,97816.5582765368,49716.39520292151,56467.06565180282,17,Croydon,1,England
-0.0836,51.3633,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",6213.2791,12426.5582,Res,ALL,URBAN,75.0,1968.75,1834905583.812,550471675.1436,917452791.906,366981116.7624,37177.651926540464,7826.360451185846,35007.27637354691,17792.852435522997,20208.829753418588,17,Croydon,1,England
-0.0836,51.3633,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",17329.1708,34658.3416,Res,ALL,URBAN,75.0,1781.25,4630007854.344,1389002356.3032,2315003927.172,926001570.8688,103690.47805658188,21828.141761886192,97637.18348335571,49625.22589309952,56363.5170461138,17,Croydon,1,England
