LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
1.6319,42.5704,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",246.28071666666665,738.84215,RES,ALL,URBAN,60.0,1181.25,52363220.85479999,15708966.256439997,26181610.427399997,10472644.17096,2088.1216667605167,378.85417836536084,1945.928933740793,898.2932360670401,1074.358782724398,Canillo
1.589,42.5343,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",6.964133333333333,20.8924,RES,ALL,RURAL,60.0,1050.0,1316221.2,394866.36,658110.6,263244.24,59.04619972427342,10.712929154574098,55.02538970784931,25.40120275178463,30.379840538069345,Encamp
1.589,42.5343,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",258.8726666666667,776.618,RES,ALL,URBAN,60.0,1181.25,55040470.896000005,16512141.268800002,27520235.448000003,11008094.179200001,2194.884151160169,398.2244161974429,2045.4213200027664,944.2216027558954,1129.289112985368,Encamp
1.589,42.5343,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",12.6454,25.2908,RES,ALL,RURAL,100.0,1050.0,2655534.0,796660.2,1327767.0,531106.8,71.47704059184223,12.968293905699712,66.60974003570014,30.74885104628579,36.775628329228546,Encamp
1.589,42.5343,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",253.245,506.49,RES,ALL,URBAN,100.0,1181.25,59826598.800000004,17947979.64,29913299.400000002,11965319.760000002,1431.446147139674,259.71156881399247,1333.9703903040509,615.7966809303106,736.492880016118,Encamp
1.589,42.5343,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",19.7928,39.5856,RES,ALL,RURAL,100.0,1050.0,4156488.0,1246946.4,2078244.0,831297.6000000001,111.87697901476244,20.298175933585394,104.25860425177319,48.12858135631868,57.561787180559094,Encamp
1.589,42.5343,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",523.373,1046.746,RES,ALL,URBAN,100.0,1181.25,123641637.52000001,37092491.256000005,61820818.760000005,24728327.504000004,2958.322155180664,536.7372635808935,2756.872249701482,1272.6465245814802,1522.0853459546186,Encamp
1.589,42.5343,S/LFM+CDL/H:1,"Steel, low rise",2.1992,2.1992,RES,ALL,RURAL,60.0,1000.0,131952.0,39585.6,65976.0,26390.4,6.215420433784406,1.127682375562806,5.792175163925424,2.673824147250581,3.1978938955796035,Encamp
1.589,42.5343,S/LFM+CDL/H:1,"Steel, low rise",168.83,168.83,RES,ALL,URBAN,60.0,1125.0,11396025.0,3418807.5,5698012.5,2279205.0,477.1487157132246,86.57052293799748,444.6567967680169,205.2655603101035,245.49762667203927,Encamp
1.589,42.5343,S/LWAL+CDL/H:1,"Steel, low rise",67.532,67.532,RES,ALL,URBAN,60.0,1125.0,4558410.0,1367523.0,2279205.0,911682.0,190.85948628528985,34.628209175199,177.86271870720677,82.1062241240414,98.19905066881573,Encamp
