LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
20.9714,42.8099,MCF/LWAL+CDN/H:3,"Confined or reinforced masonry, low rise",16.6054,COM,Offices,278.8576,840.0,3889655.2724735998,777931.05449472,1166896.58174208,1944827.6362367999,659.2608305752757,241.07223754687632,14.994557961019357,29.4214923469134,95.1627626182697,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,MCF/LWAL+CDN/H:3,"Confined or reinforced masonry, low rise",5.821999999999999,COM,Hotels,545.6434,756.0,2401612.3213488,480322.46426976,720483.69640464,1200806.1606744,452.2791360906227,165.38513783382604,10.286862810813169,20.184313285452312,65.28543797669717,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",16.5623,COM,Trade,128.4775,630.0,1340566.2258975,268113.2451795,402169.86776925,670283.11294875,302.9515442429128,110.78044265907803,6.89048139803293,13.520121516472711,43.73034852452789,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",7.730100000000001,COM,Offices,185.9051,840.0,1207134.6113484004,241426.92226968007,362140.3834045201,603567.3056742002,204.59822548428946,74.81553541195287,4.653484339527421,9.13080960691287,29.53327645279772,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",3.834000000000001,COM,Hotels,363.7623,756.0,1054366.4815992003,210873.29631984007,316309.9444797601,527183.2407996001,198.56159013740228,72.60811594633896,4.516184086880146,8.861406644651987,28.661902225957032,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,CR/LFINF+CDM/H:3/2.5,"Concrete frame with infill panels, low rise, low/moderate code",24.708000000000002,COM,Hotels,545.6434,756.0,10192208.388163202,2038441.6776326403,3057662.51644896,5096104.194081601,1919.428528774838,701.8783898313592,43.656442172719295,85.66025638216347,277.06502946208064,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,CR/LFINF+CDM/H:3/2.5,"Concrete frame with infill panels, low rise, low/moderate code",48.3847,COM,Offices,278.8576,840.0,11333650.7077248,2266730.14154496,3400095.21231744,5666825.3538624,1920.949661503821,702.434623196933,43.691039576073656,85.72814149359252,277.2846014221997,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,CR/LFINF+CDM/H:4/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",7.81,COM,Hotels,727.5246,756.0,4295567.147256,859113.4294512001,1288670.1441768,2147783.573628,808.9546264857129,295.8108427443438,18.399268502104295,36.10202707080439,116.7707127724175,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,CR/LFINF+CDM/H:4/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",15.7465,COM,Offices,371.8101,840.0,4917954.501306,983590.9002612,1475386.3503918,2458977.250653,833.548101860591,304.8039511814132,18.95863480276821,37.19958468983445,120.32072355800528,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,CR/LFINF+CDM/H:5/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",5.254,COM,Hotels,909.4057,756.0,3612181.2661368,722436.2532273601,1083654.37984104,1806090.6330684,680.2572621436055,248.75001317668327,15.472111298825235,30.358521094944827,98.19354852348444,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,CR/LFINF+CDM/H:5/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",10.593100000000002,COM,Offices,464.7626,840.0,4135552.426370401,827110.4852740802,1240665.7279111203,2067776.2131852005,700.9381388604925,256.31239970618566,15.94248749931247,31.281467261066055,101.17878482218805,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",8.235999999999999,COM,Hotels,90.9406,756.0,566234.0068896,113246.80137792,169870.20206687998,283117.0034448,106.63495735120594,38.993258172094144,2.4253587874745035,4.758904876669619,15.392507278746088,Vushtrri,Kosovska Mitrovica
20.9714,42.8099,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",7.730100000000001,COM,Offices,92.9525,840.0,603566.9810100001,120713.39620200003,181070.09430300002,301783.49050500005,102.29905771454584,37.40774758400683,2.326740918188488,4.565402347684752,14.766630283293358,Vushtrri,Kosovska Mitrovica
