LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,NAME_2,NAME_3
18.7513,44.8537,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",5.775103385540218,IND,1604.1704433505386,656.25,6079200.95392715,911880.1430890724,1519800.2384817875,3647520.5723562897,509.0302205176926,174.9844831202723,8.639006387516021,18.41391371211727,67.34580107330187,Brcko,Brcko,Brcko
18.7513,44.8537,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",4.620082708432175,IND,1604.1704433505386,656.25,4863360.763141721,729504.114471258,1215840.1907854301,2918016.457885032,407.2241764141542,139.9875864962179,6.911205110012819,14.73113096969382,53.87664085864151,Brcko,Brcko,Brcko
18.7513,44.8537,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",1.92503446184674,IND,1604.1704433505386,656.25,2026400.3179757176,303960.04769635765,506600.0794939294,1215840.1907854306,169.67674017256428,58.32816104009079,2.8796687958386746,6.137971237372426,22.448600357767294,Brcko,Brcko,Brcko
18.7513,44.8537,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",5.775103385540218,IND,1604.1704433505386,656.25,6079200.95392715,911880.1430890724,1519800.2384817875,3647520.5723562897,509.0302205176926,174.9844831202723,8.639006387516021,18.41391371211727,67.34580107330187,Brcko,Brcko,Brcko
18.7513,44.8537,CR/LFM+CDL/HBET:3-5,"Concrete frame, mid rise, low/moderate code",1.92503446184674,IND,1604.1704433505386,656.25,2026400.3179757176,303960.04769635765,506600.0794939294,1215840.1907854306,169.67674017256428,58.32816104009079,2.8796687958386746,6.137971237372426,22.448600357767294,Brcko,Brcko,Brcko
18.7513,44.8537,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",3.85006892369348,IND,1604.1704433505386,656.25,4052800.635951435,607920.0953927153,1013200.1589878588,2431680.381570861,339.35348034512856,116.65632208018158,5.759337591677349,12.275942474744852,44.89720071553459,Brcko,Brcko,Brcko
18.7513,44.8537,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",2.695048246585436,IND,1604.1704433505386,593.75,2567185.4805540587,385077.82208310877,641796.3701385147,1540311.288332435,237.54743624158996,81.6594254561271,4.0315363141741445,8.593159732321395,31.428040500874214,Brcko,Brcko,Brcko
18.7513,44.8537,S+SL/LFM+CDL/H:1,"Steel, low rise",2.695048246585436,IND,1604.1704433505386,625.0,2702072.9628600315,405310.94442900474,675518.2407150079,1621243.777716019,237.54743624158996,81.6594254561271,4.0315363141741445,8.593159732321395,31.428040500874214,Brcko,Brcko,Brcko
18.7513,44.8537,S+SL/LFM+CDM/H:1,"Steel, low rise",1.1550206771080438,IND,1604.1704433505386,625.0,1158031.269797156,173704.6904695734,289507.817449289,694818.7618782936,101.80604410353855,34.99689662405447,1.7278012775032048,3.682782742423455,13.469160214660377,Brcko,Brcko,Brcko
18.7513,44.8537,S/LFM+CDL/H:1,"Steel, low rise",3.85006892369348,IND,1604.1704433505386,625.0,3860104.232657188,579015.6348985782,965026.058164297,2316062.5395943127,339.35348034512856,116.65632208018158,5.759337591677349,12.275942474744852,44.89720071553459,Brcko,Brcko,Brcko
18.7513,44.8537,S/LFM+CDM/H:1,"Steel, low rise",4.235075816062826,IND,1604.1704433505386,625.0,4246114.655922906,636917.1983884358,1061528.6639807264,2547668.793553743,373.28882837964125,128.3219542881997,6.335271350845082,13.503536722219332,49.38692078708804,Brcko,Brcko,Brcko
18.8431,44.8537,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",4.150930334152257,IND,1604.1704433505386,656.25,4369504.398872863,655425.6598309294,1092376.0997182156,2621702.6393237174,365.8720618989321,125.77236293440787,6.209397698517726,13.235238903162918,48.405666512029505,Brcko,Brcko,Brcko
18.8431,44.8537,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",3.320744267321805,IND,1604.1704433505386,656.25,3495603.51909829,524340.5278647435,873900.8797745724,2097362.111458974,292.6976495191456,100.61789034752628,4.96751815881418,10.588191122530331,38.724533209623594,Brcko,Brcko,Brcko
18.8431,44.8537,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",1.3836434447174188,IND,1604.1704433505386,656.25,1456501.466290954,218475.2199436431,364125.3665727385,873900.8797745724,121.95735396631069,41.92412097813595,2.0697992328392423,4.411746301054306,16.135222170676503,Brcko,Brcko,Brcko
18.8431,44.8537,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",4.150930334152257,IND,1604.1704433505386,656.25,4369504.398872863,655425.6598309294,1092376.0997182156,2621702.6393237174,365.8720618989321,125.77236293440787,6.209397698517726,13.235238903162918,48.405666512029505,Brcko,Brcko,Brcko
18.8431,44.8537,CR/LFM+CDL/HBET:3-5,"Concrete frame, mid rise, low/moderate code",1.3836434447174188,IND,1604.1704433505386,656.25,1456501.466290954,218475.2199436431,364125.3665727385,873900.8797745724,121.95735396631069,41.92412097813595,2.0697992328392423,4.411746301054306,16.135222170676503,Brcko,Brcko,Brcko
