LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2,NAME_3,ID_3
19.9436,40.7218999999999,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",33.29010190499999,Ind,315,525.0,5505350.602539374,825802.5903809059,1376337.6506348434,3303210.3615236236,563.7187595754208,179.42999001657773,8.076962387196629,17.116756415748082,68.20790293984082,1,Berat,1,Beratit,Otllak,4115
19.9436,40.7218999999999,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",55.483503175,Ind,315,525.0,9175584.337565623,1376337.6506348436,2293896.0843914063,5505350.602539375,939.5312659590351,299.04998336096287,13.461603978661053,28.527927359580136,113.67983823306804,1,Berat,1,Beratit,Otllak,4115
19.9436,40.7218999999999,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",19.974061143,Ind,315,525.0,3303210.361523625,495481.55422854365,825802.5903809062,1981926.2169141746,338.2312557452526,107.65799400994665,4.846177432317979,10.27005384944885,40.9247417639045,1,Berat,1,Beratit,Otllak,4115
19.9436,40.7218999999999,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",33.29010190499999,Ind,315,525.0,5505350.602539374,825802.5903809059,1376337.6506348434,3303210.3615236236,563.7187595754208,179.42999001657773,8.076962387196629,17.116756415748082,68.20790293984082,1,Berat,1,Beratit,Otllak,4115
19.9436,40.7218999999999,S+SL/LFM+CDM/H:1,"Steel, low rise",35.509442031999995,Ind,315,500.0,5592737.12004,838910.5680059999,1398184.28001,3355642.272024,601.3000102137822,191.39198935101624,8.61542654634307,18.257873510131287,72.75509646916352,1,Berat,1,Beratit,Otllak,4115
19.9436,40.7218999999999,S/LFM+CDM/H:1,"Steel, low rise",44.38680254,Ind,315,500.0,6990921.400049998,1048638.2100075001,1747730.3500124996,4194552.840030001,751.625012767228,239.23998668877036,10.769283182928838,22.822341887664102,90.94387058645442,1,Berat,1,Beratit,Otllak,4115
19.9102,40.821999999999996,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",15.864716789999996,Ind,315,525.0,2623627.539146249,393544.13087193744,655906.8847865623,1574176.5234877497,550.6929301341573,175.28390758291192,7.890328302962207,16.721240130593554,66.63182533882255,1,Berat,2,Kucoves,Perondi,41215
19.9102,40.821999999999996,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",26.44119465,Ind,315,525.0,4372712.56524375,655906.8847865624,1093178.1413109377,2623627.5391462496,917.8215502235961,292.1398459715199,13.15054717160368,27.868733550989266,111.05304223137094,1,Berat,2,Kucoves,Perondi,41215
19.9102,40.821999999999996,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",9.518830073999998,Ind,315,525.0,1574176.5234877497,236126.4785231625,393544.13087193744,944505.9140926498,330.4157580804945,105.17034454974716,4.734196981777324,10.032744078356133,39.97909520329354,1,Berat,2,Kucoves,Perondi,41215
19.9102,40.821999999999996,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",15.864716789999996,Ind,315,525.0,2623627.539146249,393544.13087193744,655906.8847865623,1574176.5234877497,550.6929301341573,175.28390758291192,7.890328302962207,16.721240130593554,66.63182533882255,1,Berat,2,Kucoves,Perondi,41215
19.9102,40.821999999999996,S+SL/LFM+CDM/H:1,"Steel, low rise",16.922364576,Ind,315,500.0,2665272.4207200003,399790.863108,666318.1051800001,1599163.4524319996,587.4057921431014,186.96950142177272,8.416350189826357,17.835989472633127,71.0739470280774,1,Berat,2,Kucoves,Perondi,41215
19.9102,40.821999999999996,S/LFM+CDM/H:1,"Steel, low rise",21.15295572,Ind,315,500.0,3331590.5259,499738.578885,832897.6314750002,1998954.31554,734.2572401788768,233.7118767772159,10.520437737282943,22.294986840791417,88.84243378509676,1,Berat,2,Kucoves,Perondi,41215
19.9102,40.8053,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",39.002801985,Ind,315,525.0,6450088.378269373,967513.2567404063,1612522.0945673438,3870053.026961625,773.844346242935,246.31233387608745,11.087641792968775,23.497009729320478,93.63232846612557,1,Berat,2,Kucoves,Kucove,41214
19.9102,40.8053,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",65.004669975,Ind,315,525.0,10750147.297115624,1612522.0945673438,2687536.824278906,6450088.378269373,1289.7405770715586,410.5205564601459,18.479402988281286,39.161682882200815,156.05388077687599,1,Berat,2,Kucoves,Kucove,41214
19.9102,40.8053,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",23.401681190999998,Ind,315,525.0,3870053.026961625,580507.9540442437,967513.2567404063,2322031.8161769747,464.306607745761,147.7874003256525,6.652585075781263,14.098205837592287,56.17939707967535,1,Berat,2,Kucoves,Kucove,41214
