LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
1.5521,42.5084,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",7.2,Ind,683.7606837606837,1425.0,7015384.615384618,1052307.6923076923,1753846.153846154,4209230.76923077,330.1578032141266,203.04176645183648,20.402431607420173,43.74921050390393,89.06446952105352,Escaldes-Engordany,4
1.5521,42.5084,S+SL/LFM+CDN/H:1,"Steel, low rise",23.4,Ind,683.7606837606837,1500.0,24000000.0,3600000.0,6000000.0,14400000.0,1073.0128604459117,659.8857409684687,66.30790272411556,142.18493413768775,289.459525943424,Escaldes-Engordany,4
1.5521,42.5084,S/LFBR+CDN/H:1,"Steel, low rise",9.0,Ind,683.7606837606837,1500.0,9230769.230769232,1384615.3846153847,2307692.307692308,5538461.538461539,412.69725401765834,253.80220806479562,25.50303950927521,54.686513129879906,111.3305869013169,Escaldes-Engordany,4
1.5521,42.5084,S/LFM+CDN/H:1,"Steel, low rise",72.0,Ind,683.7606837606837,1500.0,73846153.84615386,11076923.076923078,18461538.461538464,44307692.30769231,3301.5780321412667,2030.4176645183645,204.0243160742017,437.49210503903925,890.6446952105352,Escaldes-Engordany,4
1.5022,42.5493,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",41.6,Ind,683.7606837606837,1575.0,44800000.00000001,6720000.000000001,11200000.000000002,26880000.000000004,1393.1129676063024,856.7421852703943,86.08880894619908,184.60139933751114,375.8107978513682,La Massana,5
1.5022,42.5493,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",7.8,Ind,683.7606837606837,1575.0,8400000.0,1260000.0,2100000.0,5040000.0,261.20868142618167,160.63915973819897,16.14165167741233,34.612762375783355,70.46452459713157,La Massana,5
1.5022,42.5493,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",5.2,Ind,683.7606837606837,1425.0,5066666.666666668,760000.0000000001,1266666.666666667,3040000.0000000005,174.1391209507878,107.09277315879929,10.761101118274881,23.075174917188892,46.976349731421024,La Massana,5
1.5022,42.5493,S+SL/LFM+CDN/H:1,"Steel, low rise",16.9,Ind,683.7606837606837,1500.0,17333333.333333332,2599999.9999999995,4333333.333333333,10399999.999999998,565.9521430900603,348.05151276609763,34.97357863439337,74.99431848086391,152.6731366271183,La Massana,5
1.5022,42.5493,S/LFBR+CDN/H:1,"Steel, low rise",6.5,Ind,683.7606837606837,1500.0,6666666.666666668,1000000.0,1666666.666666667,4000000.0,217.6739011884848,133.86596644849914,13.451376397843607,28.843968646486122,58.720437164276284,La Massana,5
1.5022,42.5493,S/LFM+CDN/H:1,"Steel, low rise",52.0,Ind,683.7606837606837,1500.0,53333333.33333334,8000000.0,13333333.333333336,32000000.0,1741.391209507878,1070.927731587993,107.61101118274885,230.75174917188892,469.76349731421027,La Massana,5
