LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_3,NAME_3,ID_1,NAME_1,ID_2,NAME_2
18.9948,44.6102,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",453.31,453.31,Res,ALL,URBAN,74.0,427.5,14340461.85,4302138.555,7170230.925,2868092.37,780.467093427079,246.0461535383538,765.3326657848877,520.4267746700309,510.6018646644241,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",1.22,4.88,Res,ALL,URBAN,71.4,472.5,164634.12,49390.236,82317.06,32926.824,8.4019311639367,2.6487508090868648,8.239005115771223,5.602529528114869,5.496761817657652,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",168.48000000000005,168.48000000000005,Res,ALL,URBAN,74.0,472.5,5890903.200000002,1767270.960000001,2945451.600000001,1178180.6400000004,290.0732300205032,91.44703613011373,284.4482749805606,193.42503583950685,189.77344898339373,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDM+LFC:0.0/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",127.08,508.32,Res,ALL,URBAN,71.4,472.5,17148937.68,5144681.304,8574468.84,3429787.536000001,875.1782068139964,275.9043055891465,858.2071886165628,583.5815183875717,572.5643375310938,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LDUAL+CDM+LFC:0.0/HBET:6-,"Concrete wall, mid rise, low/moderate code",1.26,28.492128000000005,Res,ALL,URBAN,70.0,472.5,942377.1336,282713.14008000004,471188.5668,188475.42672,49.05510208403145,15.464866207501336,48.103850071968964,32.710653368612384,32.09312321602756,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",265.21,265.21,Res,ALL,URBAN,80.0,427.5,9070182.0,2721054.6,4535091.0,1814036.4,456.61396803025656,143.94983649137853,447.75953826919783,304.4768147851115,298.72872984856264,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDM+LFC:0.0/H:2,"Concrete frame with infill panels, low rise, low/moderate code",459.86,459.86,Res,ALL,URBAN,74.0,472.5,16079004.9,4823701.47,8039502.45,3215800.9800000004,791.744275624576,249.6013416120257,776.3911665038021,527.9465632784638,517.9796904647638,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,MUR+ADO/LWAL+CDN/H:2,"Adobe, low rise",12.3,12.3,Res,ALL,URBAN,74.0,427.5,389110.5,116733.15,194555.25,77822.1,21.176998630414218,6.676154703231235,20.766344861472547,14.121129753240345,13.854543105981374,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDL+LFC:0.0/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",13.62,307.986336,Res,ALL,URBAN,70.0,472.5,10186648.0632,3055994.41896,5093324.0316,2037329.61264,530.262293955959,167.16783948108588,519.979712682712,353.5865864130958,346.91137952563116,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDM+LFC:0.0/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",41.1,929.3860800000001,Res,ALL,URBAN,70.0,472.5,30739444.596,9221833.3788,15369722.298,6147888.9192,1600.1307108362635,504.4492072446863,1569.1017761570824,1066.9903598809278,1046.8471144275657,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",28.7,28.7,Res,ALL,URBAN,80.0,427.5,981540.0,294462.0,490770.0,196308.0,49.41299680429985,15.57769430753955,48.45480467676928,32.9493027575608,32.327267247289875,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",508.32,508.32,Res,ALL,URBAN,80.0,472.5,19214496.0,5764348.8,9607248.0,3842899.2,875.1782068139964,275.9043055891465,858.2071886165628,583.5815183875717,572.5643375310938,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDL+LFC:0.0/H:2,"Concrete frame with infill panels, low rise, low/moderate code",42.56,42.56,Res,ALL,URBAN,74.0,472.5,1488110.4,446433.12000000005,744055.2000000002,297622.08,73.27585867564466,23.100580826790363,71.85492986213589,48.86140506487065,47.93897191793229,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9948,44.6102,CR/LFINF+CDL+LFC:0.0/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",13.62,54.48,Res,ALL,URBAN,71.4,472.5,1837964.52,551389.3559999999,918982.26,367592.904,93.79860856788349,29.57048034406811,91.97971284983936,62.546272272888935,61.36548848893213,55,Teocak,2,Federacija Bosna i Hercegovina,8,Tuzla
18.9924,44.6908,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1515.8000000000006,1515.8000000000006,Res,ALL,RURAL,74.0,332.5,37296259.00000001,11188877.7,18648129.500000004,7459251.800000003,2823.539984324169,890.1350977581159,2768.787308718147,1882.7774028771287,1847.233269784464,104,Ugljevik,3,Repuplika Srpska,13,Bijeljina
18.9924,44.6908,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",659.05,659.05,Res,ALL,RURAL,80.0,332.5,17530730.0,5259219.0,8765365.0,3506146.0,1227.638228439664,387.0190897067463,1203.8324817328764,818.6069714778804,803.1528476391678,104,Ugljevik,3,Repuplika Srpska,13,Bijeljina
18.9924,44.6908,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",1307.0,1307.0,Res,ALL,RURAL,80.0,367.5,38425800.0,11527740.0,19212900.0,7685160.0,2434.6000524552633,767.5198395367837,2387.389505538077,1623.4266166779296,1592.7786539175968,104,Ugljevik,3,Repuplika Srpska,13,Bijeljina
18.9924,44.6908,CR/LFINF+CDM+LFC:0.0/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",20.4,81.6,Res,ALL,RURAL,71.4,367.5,2141143.2,642342.9600000001,1070571.6,428228.6400000001,151.9995136039399,47.91860666121008,149.0520150358891,101.35547966405441,99.4420337870512,104,Ugljevik,3,Repuplika Srpska,13,Bijeljina
