LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3
-8.6354,40.7669,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",12.419516831999998,Ind,586.4194207994318,1391.25,10132173.410490695,1519826.0115736043,2533043.3526226743,6079304.046294417,112.27573704621996,60.56282373370709,5.745317878260645,11.979203626277915,26.095781746081887,2,Aveiro,25,Murtosa,202,Bunheiro
-8.6354,40.7669,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",39.32846996799999,Ind,586.4194207994318,1391.25,32085215.79988721,4812782.369983082,8021303.949971802,19251129.479932327,355.53983397969665,191.78227515673916,18.193506614492048,37.93414481654674,82.63664219592597,2,Aveiro,25,Murtosa,202,Bunheiro
-8.6354,40.7669,S+SL/LFM+CDL/H:1,"Steel, low rise",5.174798679999999,Ind,586.4194207994318,1325.0,4020848.239200023,603127.2358800034,1005212.0598000058,2412508.9435200137,46.78155710259165,25.234509889044613,2.3938824492752686,4.9913348442824645,10.873242394200783,2,Aveiro,25,Murtosa,202,Bunheiro
-8.6354,40.7669,S/LFBR+CDH/H:2,"Steel, low rise",25.873993399999996,Ind,586.4194207994318,1325.0,20104241.19600012,3015636.179400018,5026060.29900003,12062544.717600072,233.9077855129583,126.1725494452231,11.969412246376345,24.956674221412328,54.366211971003935,2,Aveiro,25,Murtosa,202,Bunheiro
-8.6354,40.7669,S/LFM+CDM/H:1,"Steel, low rise",20.69919472,Ind,586.4194207994318,1325.0,16083392.956800098,2412508.943520014,4020848.239200024,9650035.77408006,187.12622841036662,100.9380395561785,9.575529797101078,19.96533937712986,43.49296957680315,2,Aveiro,25,Murtosa,202,Bunheiro
-8.3687,40.9001999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",6.9246341124,Ind,586.4194207994318,1391.25,5649301.384274348,847395.2076411521,1412325.346068587,3389580.8305646083,60.020876575655,32.375951064988925,3.0713582856911303,6.403897415801223,13.950402255493762,2,Aveiro,19,Arouca,145,Chave
-8.3687,40.9001999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",21.928008022600004,Ind,586.4194207994318,1391.25,17889454.383535434,2683418.1575303148,4472363.595883858,10733672.63012126,190.06610915624088,102.5238450391316,9.72596790468858,20.279008483370546,44.17627380906358,2,Aveiro,19,Arouca,145,Chave
-8.3687,40.9001999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",2.8852642135,Ind,586.4194207994318,1325.0,2241866.8338375473,336280.0250756321,560466.7084593868,1345120.1003025284,25.008698573189587,13.489979610412052,1.279732619037971,2.6682905899171767,5.812667606455733,2,Aveiro,19,Arouca,145,Chave
-8.3687,40.9001999999999,S/LFBR+CDH/H:2,"Steel, low rise",14.4263210675,Ind,586.4194207994318,1325.0,11209334.169187736,1681400.1253781603,2802333.542296934,6725600.501512641,125.04349286594791,67.44989805206026,6.398663095189854,13.34145294958588,29.063338032278672,2,Aveiro,19,Arouca,145,Chave
-8.3687,40.9001999999999,S/LFM+CDM/H:1,"Steel, low rise",11.541056854,Ind,586.4194207994318,1325.0,8967467.33535019,1345120.1003025284,2241866.8338375473,5380480.401210113,100.0347942927583,53.959918441648206,5.118930476151884,10.673162359668707,23.250670425822932,2,Aveiro,19,Arouca,145,Chave
-8.5687,40.8752,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",6.435079394400001,Ind,586.4194207994318,1391.25,5249909.575092259,787486.4362638388,1312477.393773065,3149945.745055355,224.94655737622142,121.3387599341437,11.510852760777318,24.000560465977262,52.28339105363275,2,Aveiro,30,Santa Maria da Feira,267,Souto
-8.5687,40.8752,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",20.3777514156,Ind,586.4194207994318,1391.25,16624713.65445882,2493707.0481688227,4156178.413614705,9974828.19267529,712.3307650247009,384.2394064581215,36.45103374246149,76.00177480892796,165.56407166983695,2,Aveiro,30,Santa Maria da Feira,267,Souto
-8.5687,40.8752,S+SL/LFM+CDL/H:1,"Steel, low rise",2.681283081,Ind,586.4194207994318,1325.0,2083372.32455112,312505.84868266794,520843.0811377799,1250023.3947306718,93.72773224009224,50.55781663922652,4.796188650323881,10.000233527490522,21.784746272346972,2,Aveiro,30,Santa Maria da Feira,267,Souto
-8.5687,40.8752,S/LFBR+CDH/H:2,"Steel, low rise",13.406415405,Ind,586.4194207994318,1325.0,10416861.622755598,1562529.2434133396,2604215.4056889,6250116.9736533575,468.6386612004612,252.7890831961326,23.980943251619404,50.001167637452625,108.92373136173487,2,Aveiro,30,Santa Maria da Feira,267,Souto
-8.5687,40.8752,S/LFM+CDM/H:1,"Steel, low rise",10.725132324,Ind,586.4194207994318,1325.0,8333489.298204479,1250023.3947306718,2083372.32455112,5000093.578922687,374.910928960369,202.2312665569061,19.184754601295523,40.00093410996209,87.13898508938792,2,Aveiro,30,Santa Maria da Feira,267,Souto
-8.4437,40.3502999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",20.26885086,Ind,586.4194207994318,1391.25,16535869.673749765,2480380.4510624646,4133967.4184374404,9921521.804249857,169.79351271290042,91.58857338273472,8.688588735788185,18.116033942146558,39.46439868688981,2,Aveiro,24,Mealhada,199,Pampilhosa
-8.4437,40.3502999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",64.18469439,Ind,586.4194207994318,1391.25,52363587.30020759,7854538.095031138,13090896.825051898,31418152.380124554,537.6794569241848,290.0304823786599,27.51386432999593,57.36744081679744,124.97059584181774,2,Aveiro,24,Mealhada,199,Pampilhosa
-8.4437,40.3502999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",8.445354525,Ind,586.4194207994318,1325.0,6562088.879420177,984313.3319130264,1640522.2198550443,3937253.327652106,70.74729696370855,38.16190557613947,3.620245306578412,7.548347475894401,16.44349945287076,2,Aveiro,24,Mealhada,199,Pampilhosa
-8.4437,40.3502999999999,S/LFBR+CDH/H:2,"Steel, low rise",42.226772625,Ind,586.4194207994318,1325.0,32810444.39710088,4921566.659565132,8202611.09927522,19686266.63826053,353.73648481854264,190.80952788069732,18.10122653289205,37.741737379472,82.21749726435378,2,Aveiro,24,Mealhada,199,Pampilhosa
-8.4437,40.3502999999999,S/LFM+CDM/H:1,"Steel, low rise",33.7814181,Ind,586.4194207994318,1325.0,26248355.51768071,3937253.327652106,6562088.879420177,15749013.310608424,282.98918785483414,152.64762230455787,14.480981226313649,30.193389903577604,65.77399781148304,2,Aveiro,24,Mealhada,199,Pampilhosa
-8.4853,40.3669,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",0.48353036196000004,Ind,586.4194207994318,1391.25,394476.9786850961,59171.54680276442,98619.24467127402,236686.18721105767,3.019890128452636,1.628963464023829,0.15453230770811408,0.3222056673101898,0.7019004796807109,2,Aveiro,24,Mealhada,196,Casal Comba
-8.4853,40.3669,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",1.5311794795400002,Ind,586.4194207994318,1391.25,1249177.0991694708,187376.56487542068,312294.2747923677,749506.2595016827,9.562985406766682,5.158384302742125,0.4893523077423613,1.020317946482268,2.2226848523222515,2,Aveiro,24,Mealhada,196,Casal Comba
-8.4853,40.3669,S+SL/LFM+CDL/H:1,"Steel, low rise",0.2014709841500001,Ind,586.4194207994318,1325.0,156544.1096289032,23481.616444335483,39136.0274072258,93926.46577734193,1.2582875535219322,0.6787347766765958,0.06438846154504757,0.13425236137924582,0.2924585332002964,2,Aveiro,24,Mealhada,196,Casal Comba
-8.4853,40.3669,S/LFBR+CDH/H:2,"Steel, low rise",1.00735492075,Ind,586.4194207994318,1325.0,782720.548144516,117408.0822216774,195680.137036129,469632.3288867096,6.2914377676096604,3.393673883382978,0.3219423077252377,0.6712618068962288,1.4622926660014814,2,Aveiro,24,Mealhada,196,Casal Comba
-8.4853,40.3669,S/LFM+CDM/H:1,"Steel, low rise",0.8058839366000001,Ind,586.4194207994318,1325.0,626176.4385156129,93926.46577734193,156544.1096289032,375705.8631093677,5.033150214087728,2.714939106706382,0.25755384618019017,0.5370094455169832,1.1698341328011852,2,Aveiro,24,Mealhada,196,Casal Comba
-8.552,40.5503,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",26.891317632,Ind,586.4194207994318,1391.25,21938654.87439682,3290798.2311595227,5484663.718599205,13163192.92463809,218.84624297890247,118.04818019461423,11.198690522594907,23.349690471512517,50.865520396240555,2,Aveiro,27,Oliveira do Bairro,227,Oia
-8.552,40.5503,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",85.155839168,Ind,586.4194207994318,1391.25,69472407.10225661,10420861.065338487,17368101.77556415,41683444.26135396,693.0131027665242,373.8192372829449,35.4625199882172,73.94068649312294,161.07414792142842,2,Aveiro,27,Oliveira do Bairro,227,Oia
-8.552,40.5503,S+SL/LFM+CDL/H:1,"Steel, low rise",11.20471568,Ind,586.4194207994318,1325.0,8706128.31505648,1305919.247258472,2176532.07876412,5223676.989033888,91.1859345745427,49.18674174775593,4.666121051081213,9.729037696463546,21.193966831766893,2,Aveiro,27,Oliveira do Bairro,227,Oia
-8.552,40.5503,S/LFBR+CDH/H:2,"Steel, low rise",56.0235784,Ind,586.4194207994318,1325.0,43530641.575282395,6529596.23629236,10882660.393820599,26118384.94516944,455.9296728727134,245.93370873877964,23.33060525540606,48.64518848231772,105.96983415883447,2,Aveiro,27,Oliveira do Bairro,227,Oia
-8.552,40.5503,S/LFM+CDM/H:1,"Steel, low rise",44.81886272,Ind,586.4194207994318,1325.0,34824513.26022592,5223676.989033888,8706128.31505648,20894707.956135552,364.7437382981708,196.74696699102373,18.66448420432485,38.916150785854185,84.7758673270676,2,Aveiro,27,Oliveira do Bairro,227,Oia
-8.4603,40.5835999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",7.2586994412,Ind,586.4194207994318,1391.25,5921840.79845775,888276.1197686625,1480460.1996144375,3553104.47907465,57.06917726120406,30.783770510231967,2.920315404221703,6.088967333295537,13.26435108258307,2,Aveiro,15,Agueda,93,Agueda
-8.4603,40.5835999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",22.9858815638,Ind,586.4194207994318,1391.25,18752495.861782875,2812874.3792674313,4688123.965445719,11251497.517069723,180.71906132714614,97.48193994906792,9.247665446702063,19.2817298887692,42.003778428179714,2,Aveiro,15,Agueda,93,Agueda
-8.4603,40.5835999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",3.0244581005000004,Ind,586.4194207994318,1325.0,2350021.2819737517,352503.19229606265,587505.3204934378,1410012.7691842506,23.778823858835025,12.826571045929988,1.2167980850923763,2.5370697222064744,5.52681295107628,2,Aveiro,15,Agueda,93,Agueda
-8.4603,40.5835999999999,S/LFBR+CDH/H:2,"Steel, low rise",15.1222905025,Ind,586.4194207994318,1325.0,11750106.409868754,1762515.9614803132,2937526.6024671886,7050063.845921253,118.89411929417513,64.13285522964992,6.083990425461883,12.685348611032367,27.634064755381388,2,Aveiro,15,Agueda,93,Agueda
