LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
31.9385,36.7583,CR+PC/LFM+CDL/HBET:1-3,"Concrete frame, low rise",32.0,IND,878,577.5,16225440.0,2433816.0,4056360.0,9735264.0,10722.4728068975,4082.7316358455196,261.8159797624197,551.5747236596143,1632.0407797558512,Antalya
31.9385,36.7583,CR/LDUAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",1.0,IND,878,577.5,507045.0,76056.75,126761.25,304227.0,335.0772752155469,127.58536362017249,8.181749367575616,17.236710114362946,51.00127436737035,Antalya
31.9385,36.7583,CR/LFM+CDL/HBET:1-3,"Concrete frame, low rise, low/moderate code",1504.7999999999995,IND,878,577.5,763001315.9999998,114450197.39999996,190750328.99999994,457800789.59999985,504224.28374435473,191990.4551756355,12311.89644832778,25937.801380093348,76746.71766801887,Antalya
31.9385,36.7583,CR/LFM+CDL/HBET:4-6,"Concrete frame, mid rise, low/moderate code",411.2,IND,878,577.5,208496904.0,31274535.599999998,52124226.0,125098142.39999999,137783.77556863287,52463.10152061493,3364.335339947093,7087.735199026044,20971.72401986269,Antalya
31.9385,36.7583,CR/LWAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",893.0,IND,878,577.5,452791185.0,67918677.75,113197796.25,271674711.0,299224.00676748337,113933.72971281403,7306.302185245025,15392.382132126111,45544.138010061724,Antalya
31.9385,36.7583,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",31.0,IND,878,522.5,14221405.0,2133210.75,3555351.25,8532843.0,10387.395531681954,3955.1462722253473,253.63423039484408,534.3380135452513,1581.039505388481,Antalya
31.9385,36.7583,MUR+STRUB/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",3.0,IND,878,522.5,1376265.0,206439.75,344066.25,825759.0,1005.2318256466405,382.7560908605174,24.54524810272684,51.71013034308883,153.00382310211103,Antalya
31.9385,36.7583,S/LFM+CDL/HBET:1-3,"Steel, low rise",16.0,IND,878,550.0,7726400.0,1158960.0,1931600.0,4635840.0,5361.23640344875,2041.3658179227598,130.90798988120986,275.78736182980714,816.0203898779256,Antalya
31.9385,36.7583,W/LFM+CDL/HBET:1-3,"Wood, low rise",8.0,IND,878,522.5,3670040.0,550506.0,917510.0,2202024.0,2680.618201724375,1020.6829089613799,65.45399494060493,137.89368091490357,408.0101949389628,Antalya
31.9385,36.7583,W/LWAL+CDL/HBET:1-3,"Wood, low rise",14.0,IND,878,522.5,6422570.0,963385.5,1605642.5,3853542.0,4691.081853017657,1786.195090682415,114.54449114605863,241.31394160108127,714.0178411431849,Antalya
42.7353,41.1394,CR+PC/LFM+CDL/HBET:1-3,"Concrete frame, low rise",1.0,IND,878,577.5,507045.0,76056.75,126761.25,304227.0,351.73111944332294,133.9265479637174,8.588394609007336,18.093400515283975,53.53611436266957,Ardahan
42.7353,41.1394,CR/LFM+CDL/HBET:1-3,"Concrete frame, low rise, low/moderate code",45.8,IND,878,577.5,23222661.0,3483399.15,5805665.25,13933596.6,16109.285270504188,6133.835896738256,393.348473092536,828.6777436000059,2451.954037810266,Ardahan
42.7353,41.1394,CR/LFM+CDL/HBET:4-6,"Concrete frame, mid rise, low/moderate code",19.2,IND,878,577.5,9735264.0,1460289.5999999999,2433816.0,5841158.399999999,6753.237493311801,2571.3897209033744,164.8971764929409,347.39328989345233,1027.893395763256,Ardahan
42.7353,41.1394,CR/LWAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",9.0,IND,878,577.5,4563405.0,684510.75,1140851.25,2738043.0,3165.5800749899063,1205.3389316734567,77.29555148106603,162.84060463755577,481.82502926402617,Ardahan
42.7353,41.1394,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",22.0,IND,878,522.5,10092610.0,1513891.5,2523152.5,6055566.0,7738.084627753104,2946.3840552017828,188.9446813981614,398.0548113362474,1177.7945159787305,Ardahan
42.7353,41.1394,MUR+STRUB/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",9.0,IND,878,522.5,4128795.0,619319.25,1032198.75,2477277.0,3165.5800749899063,1205.3389316734567,77.29555148106603,162.84060463755577,481.82502926402617,Ardahan
