LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
18.7894,49.3072,W/LFM+CDN/H:2,"Wood, low rise",6.6400000000000015,6.6400000000000015,RES,ALL,BIG_CITY,100.0,1306.25,867316.8000000002,260195.04000000004,433658.4000000001,173463.36000000004,5.560841457483433,1.228253637342382,5.269639653300127,2.801145984853757,3.0996797584987554,Kysucke Nove Mesto,Zilinsky
18.7894,49.3072,W/LFM+CDN/HBET:3-5,"Wood, mid rise",0.16348773841961856,1.2000000000000002,RES,ALL,BIG_CITY,69.0,1306.25,108153.36000000002,32446.008,54076.68000000001,21630.672000000006,1.0049713477379698,0.22197354891729795,0.9523445156566495,0.5062312020820043,0.5601830888853173,Kysucke Nove Mesto,Zilinsky
19.6656,49.074,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",633.1062670299727,4647.0,RES,ALL,URBAN,69.0,984.375,315640969.2,94692290.75999999,157820484.6,63128193.84,17552.135357931038,3876.836673250697,16632.991461709942,8841.484487444528,9783.770874135056,Liptovsky Mikulas,Zilinsky
19.6656,49.074,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",18.6,18.6,RES,ALL,URBAN,105.0,984.375,1922533.2000000002,576759.9600000001,961266.6000000001,384506.6400000001,70.25386650688989,15.51735789164256,66.57491740645685,35.38876941391612,39.16034823733851,Liptovsky Mikulas,Zilinsky
19.6656,49.074,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",12.4,12.4,RES,ALL,URBAN,100.0,984.375,1220656.0,366196.8,610328.0,244131.2,46.83591100459326,10.34490526109504,44.383278270971225,23.592512942610746,26.10689882489234,Liptovsky Mikulas,Zilinsky
19.6656,49.074,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",82.76566757493188,607.5,RES,ALL,URBAN,69.0,984.375,41263586.99999999,12379076.099999998,20631793.499999996,8252717.3999999985,2294.5819302653554,506.8169311383255,2174.422705614115,1155.8428719867768,1279.0275029130723,Liptovsky Mikulas,Zilinsky
19.6656,49.074,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",28.977777777777778,521.6,RES,ALL,URBAN,62.5,984.375,32091440.0,9627432.0,16045720.0,6418288.0,1970.1299338706326,435.1534342086429,1866.961124688596,992.4076411988522,1098.174066698697,Liptovsky Mikulas,Zilinsky
19.6656,49.074,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",11.70299727520436,85.9,RES,ALL,URBAN,69.0,984.375,5834637.239999999,1750391.1719999998,2917318.6199999996,1166927.4479999999,324.4519963947227,71.66349692968258,307.4615809255185,163.4352307879245,180.8534362143752,Liptovsky Mikulas,Zilinsky
19.6656,49.074,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",10.233333333333333,184.2,RES,ALL,URBAN,62.5,984.375,11332905.0,3399871.5,5666452.5,2266581.0,695.7399037940385,153.67189912046015,659.3064401220079,350.4629745184596,387.8137712536425,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",1780.8,1780.8,RES,ALL,URBAN,105.0,984.375,184067049.6,55220114.879999995,92033524.8,36813409.92,6726.2411545951345,1485.6618781417776,6374.0114471730285,3388.1892780807434,3749.2875344651834,Liptovsky Mikulas,Zilinsky
