LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_3,NAME_3,ID_1,NAME_1,ID_2,NAME_2
20.7753,40.589,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",887.535,887.535,Res,ALL,RURAL,63.6,356.25,20106501.9012,6031950.57036,10053250.9506,4021300.38024,2270.990879506829,646.0446724294643,2233.580846748713,1497.7343819709101,1459.119967049696,47l215,Drenove,7,Korce,21,Korces
20.7781,40.6172,CR/LFINF+CDL+LFC:9.0/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",81.45,1059.5016,Res,ALL,URBAN,57.0,393.75,23782208.614560004,7134662.584368002,11891104.307280002,4756441.722912001,3288.89391901107,935.6146753985123,3234.7159694832008,2169.048561845234,2113.126402242316,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",3141.965,3141.965,Res,ALL,URBAN,63.6,393.75,78692649.9612,23607794.98836,39346324.9806,15738529.992239999,9753.255287434788,2774.5768044035863,9592.589913084874,6432.340134850254,6266.502284112907,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,CR/LFINF+CDM+LFC:9.0/HBET:3-5/SOS,"Concrete frame with infill panels, mid rise, low/moderate code",135.75,1765.8359999999998,Res,ALL,URBAN,57.0,393.75,39637014.3576,11891104.307279997,19818507.1788,7927402.87152,5481.48986501845,1559.3577923308535,5391.193282472,3615.0809364087227,3521.877337070525,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,CR/LFINF+CDM+LFC:9.0/H:2,"Concrete frame with infill panels, low rise, low/moderate code",201.24,201.24,Res,ALL,URBAN,60.0,393.75,4754898.720000002,1426469.6160000004,2377449.3600000003,950979.7440000002,624.6871286100821,177.70912028561034,614.3966575404883,411.98553412824936,401.3637706514493,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,CR/LFINF+CDM+LFC:9.0/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",108.6,1412.6688,Res,ALL,URBAN,57.0,393.75,31709611.48608,9512883.445824,15854805.74304,6341922.297216001,4385.191892014759,1247.4862338646824,4312.9546259776,2892.064749126977,2817.50186965642,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,W/LWAL+CDL/H:2,"Wood, low rise",5.59,5.59,Res,ALL,URBAN,60.0,356.25,119469.48,35840.844,59734.74,23893.896,17.352420239168943,4.936364452378063,17.06657382056911,11.44404261467359,11.148993629206922,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,W/LWAL+CDL/H:1,"Wood, low rise",55.61,55.61,Res,ALL,URBAN,63.6,356.25,1259806.7352,377942.02056,629903.3676,251961.34704,172.62398738822628,49.10755406024045,169.78035244398004,113.84672805044693,110.9115448515558,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",128.57,128.57,Res,ALL,URBAN,60.0,356.25,2747798.04,824339.412,1373899.02,549559.608,399.1056655008857,113.53638240469549,392.5311978730896,263.21298013749265,256.42685347175916,47l217,Korce,7,Korce,21,Korces
20.7781,40.6172,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",54.3,706.3344,Res,ALL,URBAN,57.0,393.75,15854805.74304,4756441.7229120005,7927402.87152,3170961.1486080005,2192.59594600738,623.7431169323412,2156.4773129888,1446.0323745634887,1408.75093482821,47l217,Korce,7,Korce,21,Korces
