LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_1,NAME_1
20.424,42.3898,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",48.97358460390233,Ind,683.760683760684,525.0,17580261.13986238,2637039.170979357,4395065.284965595,10548156.683917427,5850.018156998546,2139.179064478737,133.05573797185346,261.07461031053106,844.4364709203737,Gjakove,1,1,Gjakova
20.424,42.3898,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",29.384150762341395,Ind,683.760683760684,525.0,10548156.683917426,1582223.502587614,2637039.1709793564,6328894.010350456,3510.010894199127,1283.5074386872418,79.83344278311205,156.64476618631863,506.6618825522242,Gjakove,1,1,Gjakova
20.424,42.3898,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",65.2981128052031,Ind,683.760683760684,525.0,23440348.18648317,3516052.227972476,5860087.046620793,14064208.9118899,7800.0242093313955,2852.238752638316,177.40765062913792,348.0994804140415,1125.9152945604985,Gjakove,1,1,Gjakova
20.424,42.3898,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",48.97358460390233,Ind,683.760683760684,525.0,17580261.13986238,2637039.170979357,4395065.284965595,10548156.683917427,5850.018156998546,2139.179064478737,133.05573797185346,261.07461031053106,844.4364709203737,Gjakove,1,1,Gjakova
20.424,42.3898,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",16.324528201300776,Ind,683.760683760684,475.0,5301983.518371194,795297.5277556791,1325495.8795927984,3181190.1110227164,1950.0060523328489,713.059688159579,44.35191265728447,87.02487010351038,281.47882364012463,Gjakove,1,1,Gjakova
20.424,42.3898,S+SL/LFM+CDL/H:1,"Steel, low rise",32.64905640260155,Ind,683.760683760684,500.0,11162070.564991986,1674310.5847487978,2790517.641247997,6697242.338995191,3900.0121046656977,1426.119376319158,88.70382531456896,174.04974020702073,562.9576472802493,Gjakove,1,1,Gjakova
20.424,42.3898,S/LFM+CDM/H:1,"Steel, low rise",84.88754664676405,Ind,683.760683760684,500.0,29021383.46897917,4353207.520346875,7255345.867244792,17412830.0813875,10140.031472130815,3707.910378429811,230.6299458178793,452.5293245382541,1463.689882928648,Gjakove,1,1,Gjakova
20.293,42.5311,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",18.96059014820343,Ind,683.760683760684,525.0,6806365.694226874,1020954.8541340312,1701591.4235567185,4083819.416536125,2475.9071515813384,905.3662060723236,56.31327020914175,110.49478436077196,357.3914202140791,Decan,2,1,Gjakova
20.293,42.5311,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",11.376354088922055,Ind,683.760683760684,525.0,4083819.416536124,612572.9124804186,1020954.854134031,2450291.6499216743,1485.5442909488029,543.2197236433942,33.787962125485045,66.29687061646318,214.43485212844746,Decan,2,1,Gjakova
20.293,42.5311,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",25.28078686427124,Ind,683.760683760684,525.0,9075154.258969164,1361273.1388453748,2268788.5647422913,5445092.555381498,3301.2095354417847,1207.154941429765,75.08436027885566,147.32637914769597,476.5218936187722,Decan,2,1,Gjakova
