REGION,POPULATION,ID
Deçan,40019,2
Gjakovë,94556,1
Gllogoc,58531,16
Gjilan,90178,4
Dragash,33997,23
Istog,39289,13
Kaçanik,33409,29
Klinë,38496,14
Fushë Kosova,34827,17
Kamenicë,36085,5
Mitrovicë,71909,7
Leposaviq,0,8
Lipjan,57605,18
Novobërdë,6729,19
Obiliq,21549,20
Rahovec,56208,3
Pejë,96450,15
Podujevë,88499,21
Prishtinë,198897,22
Prizren,177781,25
Skenderaj,50858,9
Shtime,27324,27
Shtërpcë,6949,28
Suharekë,59722,26
Ferizaj,108610,30
Viti,46987,6
Vushtrri,69870,10
Zubin Potok,0,11
Zveqan,0,12
Malishevë,54613,24
Junik,6084,31
Mamushë,5507,32
Hani i Elezit,9403,33
Graçanicë,10675,34
Ranillug,3866,35
Partesh,1787,36
Kllokot,2556,37
