ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,DWELLINGS,DWELLINGS_PER_BUILDING
5,MUR+CB/LWAL+CDN/HBET:1-2,556.2847,RURAL,556.2847,1
5,MUR+CB/LWAL+CDN/HBET:1-2,143.1554,URBAN,143.1554,1
5,MUR+CB/LWAL+CDN/HBET:1-4,95.2103,RURAL,380.8412,4
5,MUR+CB/LWAL+CDN/HBET:1-4,24.5016,URBAN,98.0064,4
5,MUR+CL/LWAL+CDN/HBET:1-4,46.0005,RURAL,184.002,4
5,MUR+CL/LWAL+CDN/HBET:1-4,11.8378,URBAN,47.3512,4
5,MUR+CL/LWAL+CDN/HBET:1-4,330.5615,RURAL,661.123,2
5,MUR+CL/LWAL+CDN/HBET:1-4,85.0673,URBAN,170.1346,2
5,W/LPB+CDL/HBET:1-3,400.0971,RURAL,400.0971,1
5,W/LPB+CDL/HBET:1-3,102.9618,URBAN,102.9618,1
5,W/LWAL+CDL/HBET:1-3,206.4672,RURAL,619.4016,3
5,W/LWAL+CDL/HBET:1-3,53.1327,URBAN,159.3981,3
6,CR/LFINF+CDN/H:3,2233.3018,RURAL,6699.9054,3
6,CR/LFINF+CDN/H:3,1454.9484,URBAN,4364.8452,3
6,CR/LWAL+CDN/HBET:4-10,119.0339,RURAL,1190.339,10
6,CR/LWAL+CDN/HBET:4-10,77.548,URBAN,775.48,10
6,MUR+CB/LWAL+CDN/HBET:1-2,736.8762,RURAL,736.8762,1
6,MUR+CB/LWAL+CDN/HBET:1-2,480.0591,URBAN,480.0591,1
6,MUR+CB/LWAL+CDN/HBET:1-4,126.1192,RURAL,504.4768,4
6,MUR+CB/LWAL+CDN/HBET:1-4,82.164,URBAN,328.656,4
6,MUR+CL/LWAL+CDN/HBET:1-4,60.934,RURAL,243.736,4
6,MUR+CL/LWAL+CDN/HBET:1-4,39.6972,URBAN,158.7888,4
6,MUR+CL/LWAL+CDN/HBET:1-4,437.8745,RURAL,875.749,2
6,MUR+CL/LWAL+CDN/HBET:1-4,285.2659,URBAN,570.5318,2
6,W/LPB+CDL/HBET:1-3,529.9841,RURAL,529.9841,1
6,W/LPB+CDL/HBET:1-3,345.2733,URBAN,345.2733,1
6,W/LWAL+CDL/HBET:1-3,273.4944,RURAL,820.4832,3
6,W/LWAL+CDL/HBET:1-3,178.1758,URBAN,534.5274,3
7,CR/LFINF+CDN/H:3,2277.085,RURAL,6831.255,3
7,CR/LFINF+CDN/H:3,5286.0963,URBAN,15858.2889,3
7,CR/LWAL+CDN/HBET:4-10,121.3675,RURAL,1213.675,10
7,CR/LWAL+CDN/HBET:4-10,281.7462,URBAN,2817.462,10
7,MUR+CB/LWAL+CDN/HBET:1-2,751.3225,RURAL,751.3225,1
7,MUR+CB/LWAL+CDN/HBET:1-2,1744.1434,URBAN,1744.1434,1
7,MUR+CB/LWAL+CDN/HBET:1-4,128.5917,RURAL,514.3668,4
7,MUR+CB/LWAL+CDN/HBET:1-4,298.5169,URBAN,1194.0676,4
7,MUR+CL/LWAL+CDN/HBET:1-4,62.1286,RURAL,248.5144,4
7,MUR+CL/LWAL+CDN/HBET:1-4,144.2272,URBAN,576.9088,4
7,MUR+CL/LWAL+CDN/HBET:1-4,446.4589,RURAL,892.9178,2
7,MUR+CL/LWAL+CDN/HBET:1-4,1036.4237,URBAN,2072.8474,2
7,W/LPB+CDL/HBET:1-3,540.3742,RURAL,540.3742,1
7,W/LPB+CDL/HBET:1-3,1254.4416,URBAN,1254.4416,1
7,W/LWAL+CDL/HBET:1-3,278.8562,RURAL,836.5686,3
7,W/LWAL+CDL/HBET:1-3,647.3455,URBAN,1942.0365,3
8,CR/LFINF+CDN/H:3,546.5098,URBAN,1639.5294,3
8,CR/LWAL+CDN/HBET:4-10,29.1287,URBAN,291.287,10
8,MUR+CB/LWAL+CDN/HBET:1-2,180.3205,URBAN,180.3205,1
8,MUR+CB/LWAL+CDN/HBET:1-4,30.8625,URBAN,123.45,4
8,MUR+CL/LWAL+CDN/HBET:1-4,14.9111,URBAN,59.6444,4
8,MUR+CL/LWAL+CDN/HBET:1-4,107.152,URBAN,214.304,2
8,W/LPB+CDL/HBET:1-3,129.692,URBAN,129.692,1
8,W/LWAL+CDL/HBET:1-3,66.9266,URBAN,200.7798,3
9,CR/LFINF+CDN/H:3,2005.1568,RURAL,6015.4704,3
9,CR/LFINF+CDN/H:3,777.0346,URBAN,2331.1038,3
9,CR/LWAL+CDN/HBET:4-10,106.8738,RURAL,1068.738,10
9,CR/LWAL+CDN/HBET:4-10,41.4155,URBAN,414.155,10
9,MUR+CB/LWAL+CDN/HBET:1-2,661.6,RURAL,661.6,1
9,MUR+CB/LWAL+CDN/HBET:1-2,256.382,URBAN,256.382,1
9,MUR+CB/LWAL+CDN/HBET:1-4,113.2354,RURAL,452.9416,4
9,MUR+CB/LWAL+CDN/HBET:1-4,43.8808,URBAN,175.5232,4
9,MUR+CL/LWAL+CDN/HBET:1-4,54.7092,RURAL,218.8368,4
9,MUR+CL/LWAL+CDN/HBET:1-4,21.2008,URBAN,84.8032,4
9,MUR+CL/LWAL+CDN/HBET:1-4,393.1431,RURAL,786.2862,2
9,MUR+CL/LWAL+CDN/HBET:1-4,152.3501,URBAN,304.7002,2
9,W/LPB+CDL/HBET:1-3,475.8431,RURAL,475.8431,1
9,W/LPB+CDL/HBET:1-3,184.3978,URBAN,184.3978,1
9,W/LWAL+CDL/HBET:1-3,245.5554,RURAL,736.6662,3
9,W/LWAL+CDL/HBET:1-3,95.1572,URBAN,285.4716,3
10,CR/LFINF+CDN/H:3,2687.5163,RURAL,8062.5489,3
10,CR/LFINF+CDN/H:3,341.9098,URBAN,1025.7294,3
10,CR/LWAL+CDN/HBET:4-10,143.2433,RURAL,1432.433,10
10,CR/LWAL+CDN/HBET:4-10,18.2236,URBAN,182.236,10
10,MUR+CB/LWAL+CDN/HBET:1-2,886.7439,RURAL,886.7439,1
10,MUR+CB/LWAL+CDN/HBET:1-2,112.8129,URBAN,112.8129,1
10,MUR+CB/LWAL+CDN/HBET:1-4,151.7696,RURAL,607.0784,4
