ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
6,W/LWAL+CDL/HBET:1-3,861.9185,RURAL
6,W/LWAL+CDL/HBET:1-3,320.83,URBAN
7,CR/LFINF+CDL/H:3,18523.4634,RURAL
7,CR/LFINF+CDL/H:3,22413.6293,URBAN
7,CR/LWAL+CDL/HBET:4-10,1093.1522,RURAL
7,CR/LWAL+CDL/HBET:4-10,1322.7282,URBAN
7,MUR+CB/LWAL+CDN/HBET:1-2,10423.2059,RURAL
7,MUR+CB/LWAL+CDN/HBET:1-2,12612.2133,URBAN
7,MUR+CB/LWAL+CDN/HBET:1-4,890.919,RURAL
7,MUR+CB/LWAL+CDN/HBET:1-4,1078.0235,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,377.1375,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,456.3412,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,2164.4413,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,2619.0018,URBAN
7,W/LPB+CDL/HBET:1-3,5050.363,RURAL
7,W/LPB+CDL/HBET:1-3,6111.0043,URBAN
7,W/LWAL+CDL/HBET:1-3,2202.7016,RURAL
7,W/LWAL+CDL/HBET:1-3,2665.2973,URBAN
8,CR/LFINF+CDL/H:3,5699.5987,RURAL
8,CR/LFINF+CDL/H:3,3963.8188,URBAN
8,CR/LWAL+CDL/HBET:4-10,336.3587,RURAL
8,CR/LWAL+CDL/HBET:4-10,233.9226,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-2,3207.1805,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-2,2230.4522,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-4,274.1324,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-4,190.6469,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,116.0438,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,80.7033,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,665.9903,RURAL
