REGION,POPULATION,ID
"Burgen-
land ",284581,AUT.1_1
Karnten ,556718,AUT.2_1
"Nieder-
osterreich ",1609474,AUT.3_1
"Ober-
osterreich  ",1410222,AUT.4_1
Salzburg  ,527886,AUT.5_1
"Steier-
mark  ",1206611,AUT.6_1
Tirol ,707517,AUT.7_1
"Vor-
arlberg ",369300,AUT.8_1
Wien  ,1702855,AUT.9_1
