ID,REGION,POPULATION
1,Harju ,582556
2,Hiiu ,9335
3,Ida-Viru ,143880
4,J‰rva ,30378
5,Jıgeva ,30840
6,L‰‰ne-Viru ,58856
7,L‰‰ne ,24301
8,P‰rnu ,82535
9,Pılva ,27963
10,Peipsi,1172
11,Rapla ,34085
12,Saare ,33307
13,Tartu ,145550
14,Vıru ,33505
15,Valga ,30084
16,Viljandi ,47288
