ID_1,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
7,MUR+CB/LWAL+CDN/HBET:1-4,28.0016,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,24.2623,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,17.6852,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,177.9234,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,129.6915,URBAN
7,W/LPB+CDL/HBET:1-3,260.8195,RURAL
7,W/LPB+CDL/HBET:1-3,190.1159,URBAN
7,W/LWAL+CDL/HBET:1-3,90.9835,RURAL
7,W/LWAL+CDL/HBET:1-3,66.3195,URBAN
8,CR/LFINF+CDL/H:3,3313.3378,RURAL
8,CR/LFINF+CDL/H:3,4776.762,URBAN
8,CR/LWAL+CDL/HBET:4-10,170.9812,RURAL
8,CR/LWAL+CDL/HBET:4-10,246.4996,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-2,924.2225,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-2,1332.4301,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-4,87.8011,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-4,126.5809,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,55.4534,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,79.9458,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,406.6579,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,586.2693,URBAN
8,W/LPB+CDL/HBET:1-3,596.1235,RURAL
8,W/LPB+CDL/HBET:1-3,859.4174,URBAN
8,W/LWAL+CDL/HBET:1-3,207.9501,RURAL
8,W/LWAL+CDL/HBET:1-3,299.7968,URBAN
9,CR/LFINF+CDL/H:3,2153.0154,RURAL
9,CR/LFINF+CDL/H:3,797.212,URBAN
9,CR/LWAL+CDL/HBET:4-10,111.104,RURAL
9,CR/LWAL+CDL/HBET:4-10,41.1393,URBAN
9,MUR+CB/LWAL+CDN/HBET:1-2,600.5622,RURAL
9,MUR+CB/LWAL+CDN/HBET:1-2,222.3743,URBAN
9,MUR+CB/LWAL+CDN/HBET:1-4,57.0534,RURAL
9,MUR+CB/LWAL+CDN/HBET:1-4,21.1256,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,36.0337,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,13.3425,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,264.2474,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,97.8447,URBAN
9,W/LPB+CDL/HBET:1-3,387.3626,RURAL
9,W/LPB+CDL/HBET:1-3,143.4314,URBAN
9,W/LWAL+CDL/HBET:1-3,135.1265,RURAL
9,W/LWAL+CDL/HBET:1-3,50.0342,URBAN
10,CR/LFINF+CDL/H:3,71.0413,RURAL
10,CR/LWAL+CDL/HBET:4-10,3.666,RURAL
10,MUR+CB/LWAL+CDN/HBET:1-2,19.8163,RURAL
10,MUR+CB/LWAL+CDN/HBET:1-4,1.8825,RURAL
10,MUR+CL/LWAL+CDN/HBET:1-4,1.189,RURAL
10,MUR+CL/LWAL+CDN/HBET:1-4,8.7192,RURAL
10,W/LPB+CDL/HBET:1-3,12.7815,RURAL
10,W/LWAL+CDL/HBET:1-3,4.4587,RURAL
11,CR/LFINF+CDL/H:3,2648.9246,RURAL
11,CR/LFINF+CDL/H:3,752.5773,URBAN
11,CR/LWAL+CDL/HBET:4-10,136.6949,RURAL
11,CR/LWAL+CDL/HBET:4-10,38.8359,URBAN
11,MUR+CB/LWAL+CDN/HBET:1-2,738.8911,RURAL
11,MUR+CB/LWAL+CDN/HBET:1-2,209.9239,URBAN
11,MUR+CB/LWAL+CDN/HBET:1-4,70.1947,RURAL
11,MUR+CB/LWAL+CDN/HBET:1-4,19.9428,URBAN
11,MUR+CL/LWAL+CDN/HBET:1-4,44.3335,RURAL
11,MUR+CL/LWAL+CDN/HBET:1-4,12.5954,URBAN
11,MUR+CL/LWAL+CDN/HBET:1-4,325.1121,RURAL
11,MUR+CL/LWAL+CDN/HBET:1-4,92.3665,URBAN
11,W/LPB+CDL/HBET:1-3,476.5848,RURAL
11,W/LPB+CDL/HBET:1-3,135.4009,URBAN
11,W/LWAL+CDL/HBET:1-3,166.2505,RURAL
11,W/LWAL+CDL/HBET:1-3,47.2329,URBAN
12,CR/LFINF+CDL/H:3,1816.0354,RURAL
12,CR/LFINF+CDL/H:3,1331.8732,URBAN
12,CR/LWAL+CDL/HBET:4-10,93.7145,RURAL
12,CR/LWAL+CDL/HBET:4-10,68.7299,URBAN
12,MUR+CB/LWAL+CDN/HBET:1-2,506.565,RURAL
12,MUR+CB/LWAL+CDN/HBET:1-2,371.5128,URBAN
12,MUR+CB/LWAL+CDN/HBET:1-4,48.1237,RURAL
12,MUR+CB/LWAL+CDN/HBET:1-4,35.2937,URBAN
12,MUR+CL/LWAL+CDN/HBET:1-4,30.3939,RURAL
12,MUR+CL/LWAL+CDN/HBET:1-4,22.2908,URBAN
12,MUR+CL/LWAL+CDN/HBET:1-4,222.8886,RURAL
12,MUR+CL/LWAL+CDN/HBET:1-4,163.4656,URBAN
12,W/LPB+CDL/HBET:1-3,326.7344,RURAL
12,W/LPB+CDL/HBET:1-3,239.6257,URBAN
12,W/LWAL+CDL/HBET:1-3,113.9771,RURAL
12,W/LWAL+CDL/HBET:1-3,83.5904,URBAN
13,CR/LFINF+CDL/H:3,2383.5374,RURAL
13,CR/LFINF+CDL/H:3,11125.4021,URBAN
13,CR/LWAL+CDL/HBET:4-10,122.9998,RURAL
13,CR/LWAL+CDL/HBET:4-10,574.1142,URBAN
13,MUR+CB/LWAL+CDN/HBET:1-2,664.864,RURAL
13,MUR+CB/LWAL+CDN/HBET:1-2,3103.32,URBAN
13,MUR+CB/LWAL+CDN/HBET:1-4,63.1621,RURAL
13,MUR+CB/LWAL+CDN/HBET:1-4,294.8154,URBAN
13,MUR+CL/LWAL+CDN/HBET:1-4,39.8918,RURAL
13,MUR+CL/LWAL+CDN/HBET:1-4,186.1992,URBAN
13,MUR+CL/LWAL+CDN/HBET:1-4,292.5402,RURAL
13,MUR+CL/LWAL+CDN/HBET:1-4,1365.4608,URBAN
13,W/LPB+CDL/HBET:1-3,428.8373,RURAL
13,W/LPB+CDL/HBET:1-3,2001.6414,URBAN
13,W/LWAL+CDL/HBET:1-3,149.5944,RURAL
13,W/LWAL+CDL/HBET:1-3,698.247,URBAN
14,CR/LFINF+CDL/H:3,1897.0792,RURAL
14,CR/LFINF+CDL/H:3,1700.4786,URBAN
14,CR/LWAL+CDL/HBET:4-10,97.8967,RURAL
14,CR/LWAL+CDL/HBET:4-10,87.7513,URBAN
14,MUR+CB/LWAL+CDN/HBET:1-2,529.1713,RURAL
14,MUR+CB/LWAL+CDN/HBET:1-2,474.3315,URBAN
14,MUR+CB/LWAL+CDN/HBET:1-4,50.2713,RURAL
14,MUR+CB/LWAL+CDN/HBET:1-4,45.0615,URBAN
14,MUR+CL/LWAL+CDN/HBET:1-4,31.7503,RURAL
14,MUR+CL/LWAL+CDN/HBET:1-4,28.4599,URBAN
14,MUR+CL/LWAL+CDN/HBET:1-4,232.8354,RURAL
14,MUR+CL/LWAL+CDN/HBET:1-4,208.7059,URBAN
14,W/LPB+CDL/HBET:1-3,341.3155,RURAL
14,W/LPB+CDL/HBET:1-3,305.9438,URBAN
14,W/LWAL+CDL/HBET:1-3,119.0635,RURAL
14,W/LWAL+CDL/HBET:1-3,106.7246,URBAN
15,CR/LFINF+CDL/H:3,1921.8985,RURAL
15,CR/LFINF+CDL/H:3,1213.3175,URBAN
15,CR/LWAL+CDL/HBET:4-10,99.1775,RURAL
15,CR/LWAL+CDL/HBET:4-10,62.6119,URBAN
15,MUR+CB/LWAL+CDN/HBET:1-2,536.0944,RURAL
15,MUR+CB/LWAL+CDN/HBET:1-2,338.4428,URBAN
15,MUR+CB/LWAL+CDN/HBET:1-4,50.929,RURAL
15,MUR+CB/LWAL+CDN/HBET:1-4,32.1521,URBAN
15,MUR+CL/LWAL+CDN/HBET:1-4,32.1657,RURAL
15,MUR+CL/LWAL+CDN/HBET:1-4,20.3066,URBAN
15,MUR+CL/LWAL+CDN/HBET:1-4,235.8815,RURAL
15,MUR+CL/LWAL+CDN/HBET:1-4,148.9148,URBAN
15,W/LPB+CDL/HBET:1-3,345.7809,RURAL
15,W/LPB+CDL/HBET:1-3,218.2956,URBAN
15,W/LWAL+CDL/HBET:1-3,120.6212,RURAL
15,W/LWAL+CDL/HBET:1-3,76.1496,URBAN
16,CR/LFINF+CDL/H:3,2911.4158,RURAL
16,CR/LFINF+CDL/H:3,2302.656,URBAN
16,CR/LWAL+CDL/HBET:4-10,150.2404,RURAL
16,CR/LWAL+CDL/HBET:4-10,118.826,URBAN
16,MUR+CB/LWAL+CDN/HBET:1-2,812.1104,RURAL
16,MUR+CB/LWAL+CDN/HBET:1-2,642.3029,URBAN
16,MUR+CB/LWAL+CDN/HBET:1-4,77.1505,RURAL
16,MUR+CB/LWAL+CDN/HBET:1-4,61.0188,URBAN
16,MUR+CL/LWAL+CDN/HBET:1-4,48.7266,RURAL
16,MUR+CL/LWAL+CDN/HBET:1-4,38.5382,URBAN
16,MUR+CL/LWAL+CDN/HBET:1-4,357.3286,RURAL
16,MUR+CL/LWAL+CDN/HBET:1-4,282.6133,URBAN
16,W/LPB+CDL/HBET:1-3,523.8112,RURAL
16,W/LPB+CDL/HBET:1-3,414.2854,URBAN
16,W/LWAL+CDL/HBET:1-3,182.7248,RURAL
16,W/LWAL+CDL/HBET:1-3,144.5182,URBAN
