REGION,POPULATION,ID
Vari-Voula-Vouliagmeni,48399,3514902
Dionysos,40193,3514903
Kropia,30307,3514904
Lavreotiki,25102,3514905
Marathon,33423,3514906
Markopoulo Mesogaias,20040,3514907
Paiania,26668,3514908
Pallini,54415,3514909
Rafina-Pikermi,20266,3514910
Saronikos,29002,3514911
Spata-Artemida,33821,3514912
Oropos,33769,3514913
Elefsina,29902,3515001
Aspropyrgos,30251,3515002
Mandra-Eidyllia,17885,3515003
Megara,36924,3515004
Fyli,45965,3515005
Piraeus,163688,3515101
Keratsini-Drapetsona,91045,3515102
Korydallos,63445,3515103
Nikaia-Agios Ioannis Rentis,105430,3515104
Perama,25389,3515105
Salamis Island,39283,3515201
Hydra,1966,3515202
Angistri,1142,3515203
Aegina,13056,3515204
Cythera,4041,3515205
Poros,3993,3515206
Spetses,4027,3515207
Troizinia-Methana,7143,3515208
Lesbos,86436,4615301
Icaria,8423,4615401
Fournoi Korseon,1459,4615402
Lemnos,16992,4615501
Agios Efstratios,270,4615502
Samos,32977,4615601
Chios,51390,4615701
Oinousses,834,4615702
Psara,450,4615703
Syros-Ermoupoli,21507,4625801
Andros,9221,4625901
Santorini,15550,4626001
Anafi,271,4626002
Ios,2024,4626003
Sikinos,273,4626004
Folegandros,765,4626005
Kalymnos,16179,4626101
Agathonisi,185,4626102
Astypalaia,1334,4626103
Leipsoi,790,4626104
Leros,7917,4626105
Patmos,3047,4626106
Karpathos,6226,4626201
Kasos,1084,4626202
Kea,2455,4626301
Kythnos,1456,4626302
Kos,33388,4626401
Nisyros,1008,4626402
Milos,4977,4626501
Kimolos,910,4626502
Serifos,1420,4626503
Sifnos,2625,4626504
Mykonos,10134,4626601
Amorgos,1973,4626701
Naxos and Lesser Cyclades,18904,4626702
Paros,13715,4626801
Antiparos,1211,4626802
Rhodes,115490,4626901
Megistis,492,4626902
Symi,2590,4626903
Tilos,780,4626904
Chalki,478,4626905
Tinos,8636,4627001
Heraklion,173993,4717101
Archanes-Asterousia,16692,4717102
Viannos,5563,4717103
Gortyna,15632,4717104
Malevizi,24864,4717105
Minoa Pediada,17563,4717106
Faistos,24466,4717107
Chersonisos,26717,4717108
Agios Nikolaos,27074,4717201
Ierapetra,27602,4717202
Oropedio Lasithiou,2387,4717203
Sitia,18318,4717204
Rethymno,55525,4717301
Agios Vasileios,7427,4717302
Amari,5915,4717303
Anogeia,2379,4717304
Mylopotamos,14363,4717305
Chania,108642,4717401
Apokoronas,12807,4717402
Gavdos,152,4717403
Kantanos-Selino,5431,4717404
Kissamos,10790,4717405
Platanias,16874,4717406
Sfakia,1889,4717407
Agio Oros,1811,1129901
