REGION,POPULATION,ID
Barajevo,27110,21
Vozdovac,158213,33
Vra?ar,56333,34
Grocka,83907,22
Zvezdara,151808,36
Zemun,168170,35
Lazarevac,58622,23
Mladenovac,53096,24
Novi Beograd,214506,25
Obrenovac,72524,26
Kruševac,128752,116
Trstenik,42966,117
?i?evac,9476,113
Vrnja?ka Banja,27527,112
Kraljevo,125488,108
Novi Pazar,100410,109
Raška,24678,110
Tutin,31155,111
Aran?elovac,46225,1
Bato?ina,11760,2
Palilula,173521,27
Kni?,14237,3
Kragujevac,179417,4
Lapovo,7837,5
Ra?a,11503,6
Topola,22329,7
Bor,48615,8
Kladovo,20635,9
Majdanpek,18686,10
Negotin,37056,11
Grad Pozarevac,75334,18
Rakovica,108641,28
Veliko Gradište,17610,19
Golubac,8331,14
zabari,11380,12
zagubica,12737,13
Ku?evo,15516,15
Malo Crni?e,11458,16
Petrovac na Mlavi,31259,17
Boljevac,12994,144
Zaje?ar,59461,147
Knjazevac,31491,145
Savski venac,39122,29
Sokobanja,16021,146
Bojnik,11104,37
Vlasotince,29893,42
Lebane,22000,39
Leskovac,144206,40
Medve?a,7438,41
Crna Trava,1663,38
Grad Niš,260237,85
Aleksinac,51863,81
Gadzin Han,8389,83
Sopot,20367,30
Doljevac,18463,82
Merošina,13968,84
Razanj,9150,86
Svrljig,14249,87
Babušnica,12307,95
Bela Palanka,12126,96
Dimitrovgrad,10118,97
Pirot,57928,98
Velika Plana,40902,101
Smederevo,108209,99
Stari Grad,48450,31
Smederevska Palanka,50284,100
Grad Vranje,83524,94
Bosilegrad,8129,88
Bujanovac,18067,89
Vladi?in Han,20871,93
Preševo,3080,90
Surdulica,20319,91
Trgovište,5091,92
Blace,11754,141
zitora?a,16368,140
Sur?in,43819,32
Kuršumlija,19213,142
Prokuplje,44419,143
?ukarica,181231,20
Apatin,28929,148
Kula,43101,149
Odzaci,30154,150
Sombor,85903,151
Alibunar,20151,55
Bela Crkva,17367,56
Vršac,52026,62
Kova?ica,25274,57
Kovin,33722,58
Opovo,10440,59
Pan?evo,123414,60
Plandište,11336,61
Grad Novi Sad,341625,49
Ba?,14405,46
Ba?ka Palanka,55528,44
Ba?ki Petrovac,13418,45
Beo?in,15726,48
Be?ej,37351,47
Vrbas,42092,54
zabalj,26134,43
Srbobran,16317,50
Sremski Karlovci,8750,51
Temerin,28287,52
Titel,15738,53
Ada,16991,122
Kanjiza,25343,124
Kikinda,59453,125
Novi Knezevac,11269,126
Senta,23316,127
?oka,11398,123
Ba?ka Topola,33321,119
Mali I?oš,12031,120
Subotica,141554,121
zitište,16841,128
Zrenjanin,123362,132
Nova Crnja,10272,130
Novi Be?ej,23925,129
Se?anj,13267,131
In?ija,47433,134
Irig,10866,135
Pe?inci,19720,136
Ruma,54339,137
Sremska Mitrovica,79940,138
Stara Pazova,65792,139
Šid,34188,133
Arilje,18792,153
Bajina Bašta,26022,154
Kosjeri?,12090,155
Nova Varoš,16638,156
Pozega,29638,157
Priboj,27133,158
Prijepolje,37059,159
Sjenica,26392,160
Uzice,78040,161
?ajetina,14745,152
Valjevo,90312,68
Lajkovac,15475,63
Ljig,12754,64
Mionica,14335,65
Ose?ina,12536,66
Ub,29101,67
Bogati?,28883,70
Vladimirci,17462,76
Koceljeva,13129,71
Krupanj,17295,72
Loznica,79327,74
Ljubovija,14469,73
Mali Zvornik,12482,75
Šabac,115884,69
Gornji Milanovac,44406,78
Ivanjica,31963,79
Lu?ani,20897,80
?a?ak,115337,77
Despotovac,23191,103
Jagodina,71852,104
Para?in,54242,105
Rekovac,11055,106
Svilajnac,23551,107
?uprija,30645,102
Aleksandrovac,26522,114
Brus,16317,115
Varvarin,17966,118
