ID,REGION,POPULATION
1,Carlow,56932
2,Cavan,76176
3,Clare,118817
4,Cork,542868
5,Donegal,159192
6,Dublin,1347359
7,Galway,258058
8,Kerry,147707
9,Kildare,222504
10,Kilkenny,99232
11,Laoighis,84697
12,Leitrim,32044
13,Limerick,194899
14,Longford,40873
15,Louth,128884
16,Mayo,130507
17,Meath,195044
18,Monaghan,61386
19,Offaly,77961
20,Roscommon,64544
21,Sligo,65535
22,Tipperary,159553
23,Waterford,116176
24,Westmeath,88770
25,Wexford,149722
26,Wicklow,142425
