ID,POPULATION
1,68061
2,728892
3,50859
4,52447
5,81130
6,112983
7,30959
8,102234
9,78650
10,119930
11,52933
12,76717
13,91417
14,42154
15,117593
16,49774
17,120835
18,48622
19,38262
20,121206
21,78197
22,42434
23,68161
24,164227
25,74512
26,88751
27,35739
28,202196
29,205500
30,84528
31,55663
32,116281
33,41311
34,81192
35,79470
36,94456
37,74289
38,46839
39,60365
40,56210
41,47837
42,88304
43,143953
44,76239
45,50432
46,71429
47,105386
48,82120
49,56437
50,89549
51,78806
52,78525
53,127462
54,77940
55,64630
56,52607
57,37063
58,73504
59,58353
60,160617
61,55395
62,138455
63,63215
64,554696
65,332115
66,60400
67,59805
68,88609
69,84711
70,69444
71,56464
72,76093
73,70271
74,71001
75,56259
76,99855
77,77529
78,363926
79,106359
80,52707
81,45347
82,98726
83,40157
84,165206
85,67621
86,47024
87,86866
88,42423
89,44892
90,41711
91,204954
92,97665
93,48107
94,116783
95,87245
96,35271
97,103357
98,92225
99,127948
100,59495
101,109155
102,757611
103,259706
104,126816
105,50484
106,121797
107,84290
108,207753
109,187982
110,154998
111,114832
112,43978
113,83829
114,114053
115,197791
116,67373
117,158017
118,113981
119,51596
120,162185
121,90470
122,106019
123,90313
124,36817
125,52734
126,83860
127,65134
128,167393
129,45959
130,157865
131,56860
132,146666
133,48019
134,37506
135,74800
136,105309
137,62977
138,44720
139,81586
140,179712
141,47873
142,749496
143,45672
144,68993
145,94497
146,57671
147,110057
148,73391
149,103927
150,58009
151,114260
152,66362
153,52707
154,68620
155,47885
156,99823
157,67665
158,90459
159,349103
160,106873
161,62899
162,36430
163,117135
164,61446
165,59137
166,88417
167,40088
168,65966
169,109858
170,82711
171,99896
172,56777
173,124534
174,68917
175,57062
176,58938
177,88083
178,47535
179,50709
180,35975
181,39349
182,137479
183,74878
184,40551
185,76496
186,32674
187,33897
188,91571
189,108411
190,47007
191,98561
192,85623
193,62592
194,107072
195,36320
196,74895
197,47166
198,147378
199,77784
200,75493
201,53572
202,87420
203,120583
204,89253
205,124553
206,110140
207,163879
208,154284
209,54131
210,43704
211,51287
212,221287
213,149646
214,76333
215,81806
216,53864
217,85118
218,56891
219,40829
220,107214
221,1700612
222,68233
223,219647
224,73599
225,37284
226,92505
227,48453
228,98701
229,68040
230,65871
231,43185
232,142581
233,66288
234,131867
235,123895
236,57838
237,76989
238,63203
239,52201
240,60044
241,294001
242,142828
243,58813
244,49659
245,46967
246,40124
247,42951
248,21139
249,48067
250,72120
251,69239
252,36207
253,59661
254,45141
255,78144
256,95605
257,57628
258,460276
259,99000
260,249139
261,119954
262,70474
263,83377
264,66143
265,64827
266,36522
267,79347
268,95882
269,96648
270,38690
271,126558
272,42758
273,115640
274,199564
275,62094
276,152932
277,53150
278,152134
279,174534
280,157327
281,57695
282,176902
283,111692
284,176062
285,236796
286,136084
287,125905
288,187474
289,115030
290,92465
291,94732
292,85714
293,310764
294,77215
295,94205
296,75446
297,72084
298,57917
299,107815
300,110099
301,142510
302,140924
303,76094
304,70170
305,216420
306,138259
307,129378
308,158193
309,181128
310,123021
311,79373
312,22465
313,66539
314,134876
315,122780
316,115734
317,62833
318,47471
319,111681
320,70152
321,26924
322,57761
323,135980
324,67812
325,65000
326,73629
327,79402
328,73001
329,179952
330,162438
331,96249
332,109760
333,62360
334,48821
335,54292
336,61288
337,43544
338,66825
339,88552
340,182994
341,57789
342,27565
343,92915
344,66637
345,43182
346,51429
347,34364
348,44272
349,35067
350,174645
351,119962
352,107433
353,58504
354,71365
355,23815
356,38483
357,49343
358,41480
359,49408
360,50545
361,58932
362,81722
363,61948
364,84346
365,48512
366,79378
367,109248
368,65439
369,68100
370,71347
371,40847
372,58127
373,120900
374,79565
375,410131
376,55082
