ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
9,MUR+CB/LWAL+CDN/HBET:1-2,2.0032,RURAL
9,MUR+CB/LWAL+CDN/HBET:1-2,64.1738,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,35.2567,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,1129.458,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,168.2706,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,5390.5952,URBAN
9,MUR+ST/LWAL+CDN/HBET:1-4,14.0226,RURAL
9,MUR+ST/LWAL+CDN/HBET:1-4,449.2163,URBAN
9,W/LPB+CDL/HBET:1-3,8.9143,RURAL
9,W/LPB+CDL/HBET:1-3,285.5732,URBAN
10,CR/LFINF+CDN/HBET:4-10,17.4283,RURAL
10,CR/LFINF+CDN/HBET:4-10,5985.865,URBAN
10,CR/LWAL+CDN/HBET:4-10,3.1653,RURAL
10,CR/LWAL+CDN/HBET:4-10,1087.1483,URBAN
10,MUR+CB/LWAL+CDN/HBET:1-2,261.9635,URBAN
10,MUR+CL/LWAL+CDN/HBET:1-4,13.424,RURAL
10,MUR+CL/LWAL+CDN/HBET:1-4,4610.5568,URBAN
10,MUR+CL/LWAL+CDN/HBET:1-4,64.0689,RURAL
10,MUR+CL/LWAL+CDN/HBET:1-4,22004.9304,URBAN
10,MUR+ST/LWAL+CDN/HBET:1-4,5.3391,RURAL
10,MUR+ST/LWAL+CDN/HBET:1-4,1833.7442,URBAN
10,W/LPB+CDL/HBET:1-3,3.3941,RURAL
10,W/LPB+CDL/HBET:1-3,1165.7374,URBAN
11,CR/LFINF+CDN/HBET:4-10,12.117,RURAL
11,CR/LFINF+CDN/HBET:4-10,5528.7382,URBAN
11,CR/LWAL+CDN/HBET:4-10,2.2007,RURAL
11,CR/LWAL+CDN/HBET:4-10,1004.1253,URBAN
11,MUR+CB/LWAL+CDN/HBET:1-2,241.9579,URBAN
11,MUR+CL/LWAL+CDN/HBET:1-4,9.333,RURAL
11,MUR+CL/LWAL+CDN/HBET:1-4,4258.4592,URBAN
11,MUR+CL/LWAL+CDN/HBET:1-4,44.5438,RURAL
11,MUR+CL/LWAL+CDN/HBET:1-4,20324.4644,URBAN
11,MUR+ST/LWAL+CDN/HBET:1-4,3.712,RURAL
11,MUR+ST/LWAL+CDN/HBET:1-4,1693.7054,URBAN
11,W/LPB+CDL/HBET:1-3,2.3598,RURAL
11,W/LPB+CDL/HBET:1-3,1076.7127,URBAN
12,CR/LFINF+CDN/HBET:4-10,516.504,RURAL
12,CR/LFINF+CDN/HBET:4-10,529.2429,URBAN
12,CR/LWAL+CDN/HBET:4-10,93.8071,RURAL
12,CR/LWAL+CDN/HBET:4-10,96.1207,URBAN
12,MUR+CB/LWAL+CDN/HBET:1-2,22.6041,RURAL
12,MUR+CB/LWAL+CDN/HBET:1-2,23.1616,URBAN
12,MUR+CL/LWAL+CDN/HBET:1-4,397.8324,RURAL
12,MUR+CL/LWAL+CDN/HBET:1-4,407.6445,URBAN
12,MUR+CL/LWAL+CDN/HBET:1-4,1898.7455,RURAL
12,MUR+CL/LWAL+CDN/HBET:1-4,1945.5758,URBAN
12,MUR+ST/LWAL+CDN/HBET:1-4,158.2288,RURAL
12,MUR+ST/LWAL+CDN/HBET:1-4,162.1313,URBAN
12,W/LPB+CDL/HBET:1-3,100.5883,RURAL
12,W/LPB+CDL/HBET:1-3,103.0692,URBAN
