REGION,POPULATION,ID
Gornja Vrba,2512,51
Gornji Bogi?evci,1975,52
Gundinci,2027,53
Klakar,2319,67
Nova Kapela,4227,55
Oku?ani,3447,56
Oprisavci,2508,57
Oriovac,5824,58
Podcrkavlje,2553,59
Rešetari,4753,60
Sibinj,6895,61
Sikirevci,2476,62
Slavonski Šamac,2169,63
Stara Gradiška,1363,65
Staro Petrovo Selo,5186,66
Velika Kopanica,3308,68
Vrbje,2215,69
Vrpolje,3521,70
Benkovac,11026,502
Biograd na Moru,5569,504
Nin,2744,511
Obrovac,4323,513
Pag,3846,515
Zadar,75062,531
Bibinje,3985,503
Galovac,1234,505
Gra?ac,4690,506
Jasenice,1398,507
Kali,1638,508
Kolan,791,564
Kukljica,714,509
Lišane Ostrovi?ke,698,510
Novigrad,2375,512
Pakoštane,4123,516
Pašman,2082,514
Pola?a,1468,517
Poli?nik,4469,518
Posedarje,3607,519
Povljana,759,520
Preko,3805,521
Privlaka,2253,522
Ražanac,2940,523
Sali,1698,524
Stankovci,2003,525
Starigrad,1876,526
Sukošan,4583,527
Sveti Filip i Jakov,4606,528
Škabrnja,1776,501
Tkon,763,529
Vir,3000,530
Vrsi,2053,561
Zemunik Donji,2060,532
Beli Manastir,10068,260
Beliš?e,10825,261
Donji Miholjac,9491,266
?akovo,27745,255
Našice,16224,279
Osijek,108048,280
Valpovo,11563,295
Antunovac,3703,257
Bilje,5642,262
Bizovac,4507,263
?eminac,2909,258
?epin,11599,259
Darda,6908,264
Donja Moti?ina,1652,265
Draž,2767,267
Drenje,2700,268
?ur?enovac,6750,256
Erdut,7308,269
Ernestinovo,2189,270
Feri?anci,2134,271
Gorjani,1591,272
Jagodnjak,2023,273
Kneževi Vinogradi,4614,274
Koška,3980,275
Levanjska Varoš,1194,276
Magadenovac,1936,277
Marijanci,2405,278
Petlovac,2405,282
Petrijevci,2870,283
Podgora?,2877,284
Podravska Moslavina,1202,285
Popovac,2084,286
Punitovci,1803,287
Satnica ?akova?ka,2123,288
Semeljci,4362,289
Strizivojna,2525,290
Šodolovci,1653,293
Trnava,1600,291
Viljevo,2065,297
Viškovci,1906,296
Vladislavci,1882,298
Vuka,1200,299
Drniš,7498,5
Knin,15407,9
Skradin,3825,16
Šibenik,46332,1
Vodice,8875,19
Bilice,2307,2
Biskupija,1699,3
Civljane,239,4
Ervenik,1105,6
Kijevo,417,7
