ID,REGION,POPULATION
1,Clervaux,17631
2,Diekirch,32244
3,Redange,18351
4,Vianden,5162
5,Wiltz,16449
6,Echternach,18702
7,Grevenmacher,29525
8,Remich,21987
9,Capellen,47209
10,Esch-sur-Alzette,172687
11,Luxembourg,179369
12,Mersch,31351
