ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
7,MUR+CB/LWAL+CDN/HBET:1-4,109.8671,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,4.2434,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,35.557,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,83.057,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,695.958,URBAN
7,W/LPB+CDL/HBET:1-3,117.2429,RURAL
7,W/LPB+CDL/HBET:1-3,982.4114,URBAN
7,W/LWAL+CDL/HBET:1-3,73.0921,RURAL
7,W/LWAL+CDL/HBET:1-3,612.459,URBAN
8,CR/LFINF+CDN/H:3,753.4185,RURAL
8,CR/LFINF+CDN/H:3,2199.4295,URBAN
8,CR/LWAL+CDN/HBET:4-10,53.0034,RURAL
8,CR/LWAL+CDN/HBET:4-10,154.7309,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-2,565.3048,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-2,1650.2755,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-4,53.0034,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-4,154.7309,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,17.1538,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,50.0765,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,335.7521,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,980.15,URBAN
8,W/LPB+CDL/HBET:1-3,473.9463,RURAL
8,W/LPB+CDL/HBET:1-3,1383.5756,URBAN
8,W/LWAL+CDL/HBET:1-3,295.4696,RURAL
8,W/LWAL+CDL/HBET:1-3,862.5545,URBAN
9,CR/LFINF+CDN/H:3,2320.2479,RURAL
9,CR/LFINF+CDN/H:3,5949.2831,URBAN
9,CR/LWAL+CDN/HBET:4-10,163.2305,RURAL
9,CR/LWAL+CDN/HBET:4-10,418.5349,URBAN
9,MUR+CB/LWAL+CDN/HBET:1-2,1740.9279,RURAL
