ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,POPULATION
13,MUR+CB/LWAL+CDN/H:1,511.4205,RURAL,3134.4855
13,MUR+CB/LWAL+CDN/H:1,1065.2806,URBAN,6529.0816
13,MUR/LWAL+CDN/H:1,3579.9438,RURAL,21941.3984
13,MUR/LWAL+CDN/H:1,7456.964,URBAN,45703.5716
13,MUR/LWAL+CDN/H:1,409.1364,RURAL,2507.5884
13,MUR/LWAL+CDN/H:1,852.2245,URBAN,5223.2653
13,W/LFM+CDL/H:1,2454.8186,RURAL,15045.5303
13,W/LFM+CDL/H:1,5113.3468,URBAN,31339.5919
14,CR/LWAL+CDL/HBET:3-5,3313.654,RURAL,20309.3137
14,MUR+CB/LWAL+CDN/H:1,517.7584,RURAL,3173.3303
14,MUR/LWAL+CDN/H:1,3624.309,RURAL,22213.3119
14,MUR/LWAL+CDN/H:1,414.2067,RURAL,2538.6642
14,W/LFM+CDL/H:1,2485.2405,RURAL,15231.9853
15,CR/LWAL+CDL/HBET:3-5,4521.3968,RURAL,27711.5435
15,MUR+CB/LWAL+CDN/H:1,706.4683,RURAL,4329.9287
15,MUR/LWAL+CDN/H:1,4945.2778,RURAL,30309.5007
15,MUR/LWAL+CDN/H:1,565.1746,RURAL,3463.9429
15,W/LFM+CDL/H:1,3391.0476,RURAL,20783.6576
16,CR/LWAL+CDL/HBET:3-5,1275.2025,RURAL,7815.6884
16,MUR+CB/LWAL+CDN/H:1,199.2504,RURAL,1221.2013
16,MUR/LWAL+CDN/H:1,1394.7527,RURAL,8548.4092
16,MUR/LWAL+CDN/H:1,159.4003,RURAL,976.9611
16,W/LFM+CDL/H:1,956.4019,RURAL,5861.7663
17,CR/LWAL+CDL/HBET:3-5,1076.222,RURAL,6596.1416
17,MUR+CB/LWAL+CDN/H:1,168.1597,RURAL,1030.6471
17,MUR/LWAL+CDN/H:1,1177.1178,RURAL,7214.5298
17,MUR/LWAL+CDN/H:1,134.5278,RURAL,824.5177
17,W/LFM+CDL/H:1,807.1665,RURAL,4947.1062
18,CR/LWAL+CDL/HBET:3-5,865.9337,RURAL,5307.2891
18,MUR+CB/LWAL+CDN/H:1,135.3021,RURAL,829.2639
18,MUR/LWAL+CDN/H:1,947.115,RURAL,5804.8474
18,MUR/LWAL+CDN/H:1,108.2417,RURAL,663.4111
18,W/LFM+CDL/H:1,649.4503,RURAL,3980.4668
19,CR/LWAL+CDL/HBET:3-5,1417.4271,RURAL,8687.3798
19,CR/LWAL+CDL/HBET:3-5,949.5594,URBAN,5819.8288
19,MUR+CB/LWAL+CDN/H:1,221.473,RURAL,1357.4031
19,MUR+CB/LWAL+CDN/H:1,148.3686,URBAN,909.3483
19,MUR/LWAL+CDN/H:1,1550.3108,RURAL,9501.8217
19,MUR/LWAL+CDN/H:1,1038.5805,URBAN,6365.4378
19,MUR/LWAL+CDN/H:1,177.1784,RURAL,1085.9225
19,MUR/LWAL+CDN/H:1,118.6949,URBAN,727.4786
19,W/LFM+CDL/H:1,1063.0703,RURAL,6515.5349
19,W/LFM+CDL/H:1,712.1695,URBAN,4364.8716
20,CR/LWAL+CDL/HBET:3-5,888.5033,RURAL,5445.6176
20,MUR+CB/LWAL+CDN/H:1,138.8286,RURAL,850.8778
20,MUR/LWAL+CDN/H:1,971.8005,RURAL,5956.1443
20,MUR/LWAL+CDN/H:1,111.0629,RURAL,680.7022
20,W/LFM+CDL/H:1,666.3775,RURAL,4084.2132
21,CR/LWAL+CDL/HBET:3-5,2685.2525,RURAL,16457.8548
21,MUR+CB/LWAL+CDN/H:1,419.5707,RURAL,2571.5398
21,MUR/LWAL+CDN/H:1,2936.995,RURAL,18000.7786
21,MUR/LWAL+CDN/H:1,335.6566,RURAL,2057.2318
21,W/LFM+CDL/H:1,2013.9394,RURAL,12343.3911
22,CR/LWAL+CDL/HBET:3-5,5288.3257,RURAL,32412.0342
22,CR/LWAL+CDL/HBET:3-5,22697.1497,URBAN,139110.3405
22,MUR+CB/LWAL+CDN/H:1,826.3009,RURAL,5064.3803
22,MUR+CB/LWAL+CDN/H:1,3546.4296,URBAN,21735.9907
22,MUR/LWAL+CDN/H:1,5784.1063,RURAL,35450.6624
22,MUR/LWAL+CDN/H:1,24825.0075,URBAN,152151.9349
22,MUR/LWAL+CDN/H:1,661.0407,RURAL,4051.5043
22,MUR/LWAL+CDN/H:1,2837.1437,URBAN,17388.7926
22,W/LFM+CDL/H:1,3966.2443,RURAL,24309.0257
22,W/LFM+CDL/H:1,17022.8623,URBAN,104332.7554
23,CR/LWAL+CDL/HBET:3-5,2429.5911,RURAL,14890.9112
23,CR/LWAL+CDL/HBET:3-5,1169.292,URBAN,7166.5654
23,MUR+CB/LWAL+CDN/H:1,379.6236,RURAL,2326.7049
23,MUR+CB/LWAL+CDN/H:1,182.7019,URBAN,1119.7759
23,MUR/LWAL+CDN/H:1,2657.3652,RURAL,16286.9341
23,MUR/LWAL+CDN/H:1,1278.9131,URBAN,7838.431
23,MUR/LWAL+CDN/H:1,303.6989,RURAL,1861.3639
23,MUR/LWAL+CDN/H:1,146.1615,URBAN,895.8207
23,W/LFM+CDL/H:1,1822.1933,RURAL,11168.1834
23,W/LFM+CDL/H:1,876.969,URBAN,5374.9241
24,CR/LWAL+CDL/HBET:3-5,920.5148,RURAL,5641.8154
24,MUR+CB/LWAL+CDN/H:1,143.8304,RURAL,881.5337
24,MUR/LWAL+CDN/H:1,1006.8131,RURAL,6170.7356
24,MUR/LWAL+CDN/H:1,115.0644,RURAL,705.2269
24,W/LFM+CDL/H:1,690.3861,RURAL,4231.3616
25,CR/LWAL+CDL/HBET:3-5,1285.0101,RURAL,7875.7989
25,MUR+CB/LWAL+CDN/H:1,200.7828,RURAL,1230.5936
25,MUR/LWAL+CDN/H:1,1405.4797,RURAL,8614.155
25,MUR/LWAL+CDN/H:1,160.6263,RURAL,984.4749
25,W/LFM+CDL/H:1,963.7575,RURAL,5906.8492
26,CR/LWAL+CDL/HBET:3-5,902.6727,RURAL,5532.4614
26,MUR+CB/LWAL+CDN/H:1,141.0426,RURAL,864.4471
26,MUR/LWAL+CDN/H:1,987.2982,RURAL,6051.1296
26,MUR/LWAL+CDN/H:1,112.8341,RURAL,691.5577
26,W/LFM+CDL/H:1,677.0045,RURAL,4149.346
27,CR/LWAL+CDL/HBET:3-5,1729.7302,RURAL,10601.4792
27,MUR+CB/LWAL+CDN/H:1,270.2703,RURAL,1656.4811
27,MUR/LWAL+CDN/H:1,1891.8924,RURAL,11595.3679
27,MUR/LWAL+CDN/H:1,216.2163,RURAL,1325.1849
27,W/LFM+CDL/H:1,1297.2977,RURAL,7951.1094
28,CR/LWAL+CDL/HBET:3-5,1235.7723,RURAL,7574.022
28,CR/LWAL+CDL/HBET:3-5,5733.8112,URBAN,35142.4052
28,MUR+CB/LWAL+CDN/H:1,193.0894,RURAL,1183.4409
28,MUR+CB/LWAL+CDN/H:1,895.908,URBAN,5491.0008
28,MUR/LWAL+CDN/H:1,1351.626,RURAL,8284.0866
28,MUR/LWAL+CDN/H:1,6271.356,URBAN,38437.0056
28,MUR/LWAL+CDN/H:1,154.4715,RURAL,946.7527
28,MUR/LWAL+CDN/H:1,716.7264,URBAN,4392.8006
28,W/LFM+CDL/H:1,926.8293,RURAL,5680.5165
28,W/LFM+CDL/H:1,4300.3584,URBAN,26356.8039
29,CR/LWAL+CDL/HBET:3-5,607.5123,RURAL,3723.43
29,MUR+CB/LWAL+CDN/H:1,94.9238,RURAL,581.7859
29,MUR/LWAL+CDN/H:1,664.4666,RURAL,4072.5016
29,MUR/LWAL+CDN/H:1,75.939,RURAL,465.4288
29,W/LFM+CDL/H:1,455.6343,RURAL,2792.5725
30,CR/LWAL+CDL/HBET:3-5,2268.5338,RURAL,13903.7946
30,MUR+CB/LWAL+CDN/H:1,354.4584,RURAL,2172.4679
30,MUR/LWAL+CDN/H:1,2481.2088,RURAL,15207.2754
30,MUR/LWAL+CDN/H:1,283.5667,RURAL,1737.9743
30,W/LFM+CDL/H:1,1701.4003,RURAL,10427.846
31,CR/LWAL+CDL/HBET:3-5,1824.1693,RURAL,11180.2943
31,CR/LWAL+CDL/HBET:3-5,1830.1889,URBAN,11217.1882
31,MUR+CB/LWAL+CDN/H:1,285.0265,RURAL,1746.921
31,MUR+CB/LWAL+CDN/H:1,285.967,URBAN,1752.6856
31,MUR/LWAL+CDN/H:1,1995.1852,RURAL,12228.4469
31,MUR/LWAL+CDN/H:1,2001.7691,URBAN,12268.7995
31,MUR/LWAL+CDN/H:1,228.0212,RURAL,1397.5368
31,MUR/LWAL+CDN/H:1,228.7736,URBAN,1402.1485
31,W/LFM+CDL/H:1,1368.127,RURAL,8385.2207
31,W/LFM+CDL/H:1,1372.6417,URBAN,8412.8911
32,CR/LWAL+CDL/HBET:3-5,2403.1668,RURAL,14728.9574
32,CR/LWAL+CDL/HBET:3-5,3473.9066,URBAN,21291.4986
32,MUR+CB/LWAL+CDN/H:1,375.4948,RURAL,2301.3996
32,MUR+CB/LWAL+CDN/H:1,542.7979,URBAN,3326.7966
32,MUR/LWAL+CDN/H:1,2628.4637,RURAL,16109.7971
32,MUR/LWAL+CDN/H:1,3799.5853,URBAN,23287.5765
32,MUR/LWAL+CDN/H:1,300.3958,RURAL,1841.1197
32,MUR/LWAL+CDN/H:1,434.2383,URBAN,2661.4373
32,W/LFM+CDL/H:1,1802.3751,RURAL,11046.718
32,W/LFM+CDL/H:1,2605.43,URBAN,15968.6239
33,CR/LWAL+CDL/HBET:3-5,2108.5335,RURAL,12923.1564
33,CR/LWAL+CDL/HBET:3-5,3090.3648,URBAN,18940.7792
33,MUR+CB/LWAL+CDN/H:1,329.4584,RURAL,2019.2432
33,MUR+CB/LWAL+CDN/H:1,482.8695,URBAN,2959.4967
33,MUR/LWAL+CDN/H:1,2306.2085,RURAL,14134.7023
33,MUR/LWAL+CDN/H:1,3380.0865,URBAN,20716.4772
33,MUR/LWAL+CDN/H:1,263.5667,RURAL,1615.3945
33,MUR/LWAL+CDN/H:1,386.2956,URBAN,2367.5974
33,W/LFM+CDL/H:1,1581.4001,RURAL,9692.3673
33,W/LFM+CDL/H:1,2317.7736,URBAN,14205.5844
34,CR/LWAL+CDL/HBET:3-5,1179.3137,RURAL,7227.9883
34,CR/LWAL+CDL/HBET:3-5,453.4632,URBAN,2779.2665
34,MUR+CB/LWAL+CDN/H:1,184.2678,RURAL,1129.3732
34,MUR+CB/LWAL+CDN/H:1,70.8536,URBAN,434.2604
34,MUR/LWAL+CDN/H:1,1289.8744,RURAL,7905.6122
34,MUR/LWAL+CDN/H:1,495.9754,URBAN,3039.8227
34,MUR/LWAL+CDN/H:1,147.4142,RURAL,903.4985
34,MUR/LWAL+CDN/H:1,56.6829,URBAN,347.4083
34,W/LFM+CDL/H:1,884.4853,RURAL,5420.9912
34,W/LFM+CDL/H:1,340.0974,URBAN,2084.4498
35,CR/LWAL+CDL/HBET:3-5,1104.3243,RURAL,6768.3795
35,CR/LWAL+CDL/HBET:3-5,18.4935,URBAN,113.3462
35,MUR+CB/LWAL+CDN/H:1,172.5507,RURAL,1057.5593
35,MUR+CB/LWAL+CDN/H:1,2.8896,URBAN,17.7103
35,MUR/LWAL+CDN/H:1,1207.8547,RURAL,7402.9151
35,MUR/LWAL+CDN/H:1,20.2273,URBAN,123.9725
35,MUR/LWAL+CDN/H:1,138.0405,RURAL,846.0474
35,MUR/LWAL+CDN/H:1,2.3117,URBAN,14.1683
35,W/LFM+CDL/H:1,828.2432,RURAL,5076.2847
35,W/LFM+CDL/H:1,13.8701,URBAN,85.0097
36,CR/LWAL+CDL/HBET:3-5,1771.965,RURAL,10860.3352
36,CR/LWAL+CDL/HBET:3-5,3759.1469,URBAN,23039.7299
36,MUR+CB/LWAL+CDN/H:1,276.8695,RURAL,1696.9274
36,MUR+CB/LWAL+CDN/H:1,587.3667,URBAN,3599.9578
36,MUR/LWAL+CDN/H:1,1938.0867,RURAL,11878.4916
36,MUR/LWAL+CDN/H:1,4111.5669,URBAN,25199.7046
36,MUR/LWAL+CDN/H:1,221.4956,RURAL,1357.5419
36,MUR/LWAL+CDN/H:1,469.8934,URBAN,2879.9662
36,W/LFM+CDL/H:1,1328.9737,RURAL,8145.2514
36,W/LFM+CDL/H:1,2819.3601,URBAN,17279.7974
37,CR/LWAL+CDL/HBET:3-5,2613.7999,RURAL,16019.9229
37,MUR+CB/LWAL+CDN/H:1,408.4062,RURAL,2503.113
37,MUR/LWAL+CDN/H:1,2858.8436,RURAL,17521.7907
37,MUR/LWAL+CDN/H:1,326.725,RURAL,2002.4904
37,W/LFM+CDL/H:1,1960.3499,RURAL,12014.9422
38,CR/LWAL+CDL/HBET:3-5,1873.2403,RURAL,11481.0495
38,MUR+CB/LWAL+CDN/H:1,292.6938,RURAL,1793.914
38,MUR/LWAL+CDN/H:1,2048.8566,RURAL,12557.3979
38,MUR/LWAL+CDN/H:1,234.155,RURAL,1435.1312
38,W/LFM+CDL/H:1,1404.9302,RURAL,8610.7871
39,CR/LWAL+CDL/HBET:3-5,1510.3601,RURAL,9256.9645
39,MUR+CB/LWAL+CDN/H:1,235.9938,RURAL,1446.4007
39,MUR/LWAL+CDN/H:1,1651.9564,RURAL,10124.8049
39,MUR/LWAL+CDN/H:1,188.795,RURAL,1157.1206
39,W/LFM+CDL/H:1,1132.7701,RURAL,6942.7234
40,CR/LWAL+CDL/HBET:3-5,1077.6102,RURAL,6604.6497
40,MUR+CB/LWAL+CDN/H:1,168.3766,RURAL,1031.9765
40,MUR/LWAL+CDN/H:1,1178.6362,RURAL,7223.8356
40,MUR/LWAL+CDN/H:1,134.7013,RURAL,825.5812
40,W/LFM+CDL/H:1,808.2077,RURAL,4953.4872
41,CR/LWAL+CDL/HBET:3-5,1946.9246,RURAL,11932.6588
41,MUR+CB/LWAL+CDN/H:1,304.207,RURAL,1864.4779
41,MUR/LWAL+CDN/H:1,2129.4488,RURAL,13051.3456
41,MUR/LWAL+CDN/H:1,243.3656,RURAL,1491.5824
41,W/LFM+CDL/H:1,1460.1934,RURAL,8949.4941
42,CR/LWAL+CDL/HBET:3-5,3482.4505,RURAL,21343.8637
42,CR/LWAL+CDL/HBET:3-5,15890.9219,URBAN,97395.1174
42,MUR+CB/LWAL+CDN/H:1,544.1329,RURAL,3334.9787
42,MUR+CB/LWAL+CDN/H:1,2482.9566,URBAN,15217.9871
42,MUR/LWAL+CDN/H:1,3808.9302,RURAL,23344.8509
42,MUR/LWAL+CDN/H:1,17380.6959,URBAN,106525.9097
42,MUR/LWAL+CDN/H:1,435.3063,RURAL,2667.983
42,MUR/LWAL+CDN/H:1,1986.3652,URBAN,12174.3897
42,W/LFM+CDL/H:1,2611.8378,RURAL,16007.8977
42,W/LFM+CDL/H:1,11918.1915,URBAN,73046.3381
43,CR/LWAL+CDL/HBET:3-5,1985.4023,RURAL,12168.488
43,MUR+CB/LWAL+CDN/H:1,310.2191,RURAL,1901.3262
43,MUR/LWAL+CDN/H:1,2171.5338,RURAL,13309.2838
43,MUR/LWAL+CDN/H:1,248.1753,RURAL,1521.061
43,W/LFM+CDL/H:1,1489.0517,RURAL,9126.366
44,CR/LWAL+CDL/HBET:3-5,1625.7163,RURAL,9963.9803
44,MUR+CB/LWAL+CDN/H:1,254.0182,RURAL,1556.8719
44,MUR/LWAL+CDN/H:1,1778.1272,RURAL,10898.1035
44,MUR/LWAL+CDN/H:1,203.2145,RURAL,1245.4975
44,W/LFM+CDL/H:1,1219.2873,RURAL,7472.9853
45,CR/LWAL+CDL/HBET:3-5,2359.6197,RURAL,14462.0581
45,CR/LWAL+CDL/HBET:3-5,5307.6971,URBAN,32530.7606
45,MUR+CB/LWAL+CDN/H:1,368.6906,RURAL,2259.6966
45,MUR+CB/LWAL+CDN/H:1,829.3277,URBAN,5082.9313
45,MUR/LWAL+CDN/H:1,2580.834,RURAL,15817.876
45,MUR/LWAL+CDN/H:1,5805.2937,URBAN,35580.5194
45,MUR/LWAL+CDN/H:1,294.9525,RURAL,1807.7573
45,MUR/LWAL+CDN/H:1,663.4621,URBAN,4066.3451
45,W/LFM+CDL/H:1,1769.7148,RURAL,10846.5436
45,W/LFM+CDL/H:1,3980.7728,URBAN,24398.0705
46,CR/LWAL+CDL/HBET:3-5,2128.3954,RURAL,13044.8892
46,MUR+CB/LWAL+CDN/H:1,332.5618,RURAL,2038.2639
46,MUR/LWAL+CDN/H:1,2327.9324,RURAL,14267.8475
46,MUR/LWAL+CDN/H:1,266.0494,RURAL,1630.6111
46,W/LFM+CDL/H:1,1596.2965,RURAL,9783.6669
47,CR/LWAL+CDL/HBET:3-5,1486.7627,RURAL,9112.3366
47,CR/LWAL+CDL/HBET:3-5,1571.6095,URBAN,9632.361
47,MUR+CB/LWAL+CDN/H:1,232.3067,RURAL,1423.8026
47,MUR+CB/LWAL+CDN/H:1,245.564,URBAN,1505.0564
47,MUR/LWAL+CDN/H:1,1626.1467,RURAL,9966.6181
47,MUR/LWAL+CDN/H:1,1718.9479,URBAN,10535.3948
47,MUR/LWAL+CDN/H:1,185.8453,RURAL,1139.0421
