TAXONOMY,AREA_PER_BUILDING
CR/LFM+CDL/H:2/Offices,132
CR/LFM+CDL/HBET:3-5/Offices,396
MR/LWAL+CDL/H:1/Offices,66
MR/LWAL+CDL/H:2/Offices,132
MR/LWAL+CDL/HBET:3-5/Offices,330
S/LFM+CDL/HBET:3-5/Offices,396
S/LWAL+CDL/HBET:3-5/Offices,396
CR/LFM+CDL/H:2/Trade,482
MR/LWAL+CDL/H:1/Trade,241
MR/LWAL+CDL/H:2/Trade,482
CR/LFM+CDL/H:1/Trade,241
S/LFM+CDL/H:1/Trade,241
S/LFM+CDL/H:2/Trade,482
S/LWAL+CDL/H:1/Trade,241
S/LWAL+CDL/H:2/Trade,482
W/LFM+CDL/H:1/Trade,241
W/LFM+CDL/H:2/Trade,482
CR/LFM+CDL/H:2/Hotels,496
CR/LFM+CDL/HBET:3-5/Hotels,1240
MR/LWAL+CDL/H:1/Hotels,248
MR/LWAL+CDL/H:2/Hotels,496
MR/LWAL+CDL/HBET:3-5/Hotels,1240
S/LFM+CDL/HBET:3-5/Hotels,1240
S/LWAL+CDL/HBET:3-5/Hotels,1240
CR/LFM+CDL/H:1/Hotels,248
W/LFM+CDL/H:1/Hotels,248
W/LFM+CDL/H:2/Hotels,496
CR/LFM+CDN/H:2/Offices,132
CR/LFM+CDN/HBET:3-5/Offices,396
CR/LFM+CDN/H:2/Trade,482
CR/LFM+CDN/H:1/Trade,241
CR/LFM+CDN/H:2/Hotels,496
CR/LFM+CDN/HBET:3-5/Hotels,1240
CR/LFM+CDN/H:1/Hotels,248
