TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDN/H:9/Hotels,4244
CR/LFLS+CDL/H:2/Hotels,943
CR/LFLS+CDL/H:3/Hotels,1415
CR/LFLS+CDL/H:5/Hotels,2358
CR/LFLS+CDL/H:6/Hotels,2829
CR/LFLS+CDL/H:7/Hotels,3301
CR/LFLS+CDL/H:8/Hotels,3772
CR/LFLS+CDL/H:9/Hotels,4244
CR/LFLS+CDM/H:3/Hotels,1415
CR/LFLS+CDM/H:4/Hotels,1886
CR/LFLS+CDM/H:5/Hotels,2358
CR/LFLS+CDM/H:7/Hotels,3301
CR/LFLS+CDM/H:8/Hotels,3772
CR/LFLS+CDM/H:9/Hotels,4244
CR/LFLS+CDN/H:2/Hotels,943
CR/LFLS+CDN/H:3/Hotels,1415
CR/LFINF+CDL/H:5/Hotels,2358
CR/LFINF+CDL/H:6/Hotels,2829
CR/LFINF+CDL/H:7/Hotels,3301
CR/LFINF+CDL/H:8/Hotels,3772
CR/LFINF+CDL/H:9/Hotels,4244
CR/LFINF+CDM/H:10/Hotels,4715
CR/LFINF+CDM/H:3/Hotels,1415
CR/LFINF+CDL/H:4/Hotels,1886
CR/LFINF+CDL/H:3/Hotels,1415
