TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDN/H:2,97,97
CR+PC/LWAL+CDN/HBET:3-5,87,87
CR/LFINF+CDL/H:2,97,97
CR/LFINF+CDM/H:2,97,97
CR/LFINF+CDN/HBET:3-5,87,87
CR/LFLS+CDN/HBET:3-5,87,87
MCF/LWAL+CDL/H:1,100,100
MCF/LWAL+CDL/H:2,97,97
MCF/LWAL+CDM/H:1,100,100
MCF/LWAL+CDM/H:2,97,97
MUR+CL/LWAL+CDN/H:1,100,100
MUR+CL/LWAL+CDN/H:2,97,97
MUR+ST/LWAL+CDN/H:1,100,100
MUR+ST/LWAL+CDN/H:2,97,97
W/LWAL+CDN/H:1,100,100
W/LWAL+CDN/H:2,97,97
CR/LDUAL+CDL/HBET:3-5,87,87
CR/LDUAL+CDM/HBET:3-5,87,87
CR/LFLS+CDL/HBET:3-5,87,87
CR/LFLS+CDM/HBET:3-5,87,87
CR+PC/LWAL+CDN/HBET:6-,76,76
CR/LDUAL+CDL/HBET:6-,76,76
CR/LDUAL+CDM/HBET:6-,76,76
CR/LDUAL+CDN/HBET:6-,76,76
CR/LFINF+CDL/H:1,100,100
CR/LFINF+CDM/H:1,100,100
CR/LFLS+CDN/HBET:6-,76,76
