TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDN/H:1,160,160
CR/LFINF+CDN/H:2,145,145
CR/LFINF+CDN/HBET:3-5,83,83
MUR/LWAL+CDN/H:1,160,160
MUR/LWAL+CDN/H:2,145,145
CR/LFINF+CDN/HBET:3-5/SOS,83,83
CR/LDUAL+CDN/H:2/SOS,145,145
CR/LDUAL+CDN/HBET:3-5/SOS,83,83
CR/LFINF+CDM/H:1,160,160
CR/LFINF+CDM/H:2,145,145
CR/LFINF+CDM/HBET:3-5,83,83
CR/LFINF+CDM/HBET:6-,76,76
CR/LFINF+CDN/H:2/SOS,145,145
CR/LFINF+CDN/HBET:6-/SOS,76,76
MUR+ADO/LWAL+CDN/H:1,160,160
