TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/HBET:4-10,62,62
CR/LWAL+CDL/HBET:4-10,62,62
MUR+CB/LWAL+CDN/HBET:1-2,78,78
MUR+CL/LWAL+CDN/HBET:1-4,78,78
MUR+ST/LWAL+CDN/HBET:1-4,78,78
W/LPB+CDL/HBET:1-3,78,92
