TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFM+CDN/HBET:3-5,90,90
CR/LWAL+CDN/HBET:3-5,90,90
MR/LWAL+CDL/HBET:1-2,90,120
S/LFM+CDL/H:1,90,120
W/LFM+CDL/H:1,120,170
