TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDH/H:1,101,101
CR/LFINF+CDH/H:2,101,101
MUR/LWAL+CDN/H:3/FC,101,101
MUR/LWAL+CDN/H:2/FC,101,101
CR/LFINF+CDL/H:2,101,101
MUR/LWAL+CDN/H:1/FC,101,101
MUR/LWAL+CDN/H:1/FW,101,101
CR/LFINF+CDL/H:1,101,101
CR/LFINF+CDN/H:3,101,101
CR/LFINF+CDN/H:2,101,101
CR/LFINF+CDN/H:1,101,101
MUR/LWAL+CDN/H:3,101,101
UNK/CDM/H:1,101,101
MUR/LWAL+CDN/H:3/FW,101,101
MUR/LWAL+CDN/H:2/FW,101,101
CR/LFINF+CDM/H:1,101,101
MUR/LWAL+CDN/H:1,101,101
MUR/LWAL+CDN/H:6/FC,101,101
MUR/LWAL+CDN/H:4/FW,101,101
MUR/LWAL+CDN/H:5/FC,101,101
MUR/LWAL+CDN/H:4/FC,101,101
UNK/CDN/H:1,101,101
CR/LFINF+CDH/H:4,101,101
CR/LFINF+CDH/H:3,101,101
UNK/CDL/H:1,101,101
UNK/CDH/H:1,101,101
CR/LFINF+CDM/H:3,101,101
CR/LFINF+CDM/H:2,101,101
MUR/LWAL+CDN/H:2,101,101
CR/LFINF+CDL/HBET:7-20,101,101
CR/LFINF+CDL/H:3,101,101
CR/LFINF+CDL/H:5,101,101
CR/LFINF+CDM/H:5,101,101
CR/LFINF+CDN/HBET:7-20,101,101
CR/LFINF+CDM/H:4,101,101
CR/LFINF+CDN/H:4,101,101
CR/LFINF+CDL/H:4,101,101
UNK/CDN/H:3,101,101
UNK/CDM/H:2,101,101
UNK/CDL/H:3,101,101
UNK/CDL/H:2,101,101
UNK/CDH/H:2,101,101
UNK/CDN/H:2,101,101
MUR/LWAL+CDN/H:5/FW,101,101
CR/LFINF+CDH/HBET:7-20,101,101
CR/LFINF+CDH/H:5,101,101
CR/LFINF+CDM/H:6,101,101
CR/LFINF+CDM/HBET:7-20,101,101
MUR/LWAL+CDN/HBET:7-20/FC,101,101
CR/LFINF+CDN/H:6,101,101
CR/LFINF+CDH/H:6,101,101
CR/LFINF+CDN/H:5,101,101
CR/LFINF+CDL/H:6,101,101
UNK/CDM/H:3,101,101
UNK/CDN/H:4,101,101
UNK/CDH/H:3,101,101
UNK/CDH/HBET:7-20,101,101
UNK/CDL/H:4,101,101
UNK/CDN/H:5,101,101
UNK/CDL/HBET:7-20,101,101
UNK/CDM/HBET:7-20,101,101
UNK/CDM/H:6,101,101
UNK/CDM/H:4,101,101
UNK/CDN/H:6,101,101
UNK/CDN/HBET:7-20,101,101
UNK/CDM/H:5,101,101
UNK/CDH/H:5,101,101
UNK/CDL/H:6,101,101
UNK/CDH/H:6,101,101
UNK/CDL/H:5,101,101
UNK/CDH/H:4,101,101
