TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDL/H:2,73,73
CR+PC/LWAL+CDL/H:2/YBET:1957-1964,73,73
CR+PC/LWAL+CDL/HBET:3-5,71,71
CR+PC/LWAL+CDL/HBET:3-5/YBET:1957-1964,71,71
CR/LDUAL+CDL/HBET:3-5,71,71
CR/LDUAL+CDM/HBET:3-5,71,71
CR/LFINF+CDL/H:2,73,73
CR/LFINF+CDL/H:2/YBET:1957-1964,73,73
CR/LFINF+CDL/HBET:3-5,71,71
CR/LFINF+CDL/HBET:3-5/YBET:1957-1964,71,71
CR/LFINF+CDM/H:2,73,73
CR/LFINF+CDM/HBET:3-5,71,71
MCF/LWAL+CDL/H:2,73,73
MCF/LWAL+CDL/H:2/YBET:1957-1964,73,73
MCF/LWAL+CDM/H:2,73,73
MIX/LH+CDL/H:1/YBET:1957-1964,78.6,78.6
MUR+ADO/LWAL+CDN/H:1,78.6,78.6
MUR+CL/LWAL+CDN/H:1/FC,78.6,78.6
MUR+CL/LWAL+CDN/H:1/FW,78.6,78.6
MUR+CL/LWAL+CDN/H:2/FC,73,73
MUR+CL/LWAL+CDN/H:2/FW,73,73
MUR+ST/LWAL+CDN/H:1,78.6,78.6
MUR+ST/LWAL+CDN/H:2,73,73
W/LWAL+CDL/H:1,78.6,78.6
W/LWAL+CDL/H:1/YBET:1957-1964,78.6,78.6
W/LWAL+CDL/H:2,73,73
W/LWAL+CDL/H:2/YBET:1957-1964,73,73
CR+PC/LWAL+CDL/HBET:6-,68,68
CR+PC/LWAL+CDL/HBET:6-/YBET:1957-1964,68,68
CR/LDUAL+CDL/HBET:6-,68,68
CR/LDUAL+CDM/HBET:6-,68,68
CR/LWAL+CDL/HBET:3-5,71,71
CR/LWAL+CDL/HBET:6-,68,68
CR/LWAL+CDL/HBET:6-/YBET:1957-1964,68,68
CR/LWAL+CDM/HBET:3-5,71,71
CR/LWAL+CDM/HBET:6-,68,68
MCF/LWAL+CDL/HBET:3-5,71,71
MCF/LWAL+CDL/HBET:3-5/YBET:1957-1964,71,71
MCF/LWAL+CDM/HBET:3-5,71,71
