TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/HBET:4-10,75,75
CR/LWAL+CDL/HBET:4-10,75,75
MUR+CL/LWAL+CDN/HBET:1-4,75,93
MUR+ST/LWAL+CDN/HBET:1-4,75,93
W/LPB+CDL/HBET:1-3,93,120
