TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDL/HBET:1-3,64,64
CR/LDUAL+CDH/HBET:1-3,64,64
CR/LDUAL+CDH/HBET:4-6,61.8,61.8
CR/LDUAL+CDH/HBET:7-,60,60
CR/LDUAL+CDL/HBET:1-3,64,64
CR/LDUAL+CDL/HBET:4-6,61.8,61.8
CR/LDUAL+CDL/HBET:7-,60,60
CR/LFINF(CBH)+CDL/HBET:1-3,64,64
CR/LFINF(CBH)+CDL/HBET:4-6,61.8,61.8
CR/LFINF(CBH)+CDL/HBET:4-6/SOS,61.8,61.8
CR/LFINF(CBH)+CDL/HBET:7-,60,60
CR/LFINF(CBH)+CDL/HBET:7-/SOS,60,60
CR/LFINF(CL)+CDL/HBET:1-3,64,64
CR/LFINF(CL)+CDL/HBET:4-6,61.8,61.8
CR/LFINF(CL)+CDL/HBET:7-,60,60
CR/LFINF+CDL/HBET:1-3,64,64
CR/LFINF+CDL/HBET:4-6,61.8,61.8
CR/LFINF+CDL/HBET:7-,60,60
CR/LFINF+CDN/HBET:1-3,64,64
CR/LWAL+CDH/HBET:1-3,64,64
CR/LWAL+CDH/HBET:4-6,61.8,61.8
CR/LWAL+CDH/HBET:7-,60,60
CR/LWAL+CDL/HBET:1-3,64,64
CR/LWAL+CDL/HBET:4-6,61.8,61.8
MUR+ADO/LWAL+CDN/HBET:1-3,64,64
MUR+CBH/LWAL+CDN/HBET:1-3,64,64
MUR+CL/LWAL+CDN/HBET:1-3,64,64
MUR+STRUB/LWAL+CDN/HBET:1-3,64,64
MUR+STRUB/LWAL+CDN/HBET:4-6,61.8,61.8
S/LFM+CDL/HBET:1-3,64,64
W/LFM+CDL/HBET:1-3,64,64
W/LFM+CDN/HBET:1-3,64,64
W/LWAL+CDL/HBET:1-3,64,64
W/LWAL+CDN/HBET:1-3,64,64
CR/LFINF(CL)+CDL/HBET:4-6/SOS,61.8,61.8
CR/LFINF(CL)+CDL/HBET:7-/SOS,60,60
CR/LFINF+CDL/HBET:4-6/SOS,61.8,61.8
CR/LFINF+CDL/HBET:7-/SOS,60,60
CR/LWAL+CDL/HBET:4-6/SOS,61.8,61.8
