TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDN/H:3,57,57
CR/LWAL+CDN/HBET:4-10,57,57
MUR+CB/LWAL+CDN/HBET:1-2,79,102
MUR+CB/LWAL+CDN/HBET:1-4,57,79
MUR+CL/LWAL+CDN/HBET:1-4,57,79
W/LPB+CDL/HBET:1-3,79,102
W/LWAL+CDL/HBET:1-3,57,79
