TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LDUAL+CDH/H:1,90,90
CR/LDUAL+CDH/H:2,85,85
CR/LDUAL+CDH/HBET:3-5,77,77
CR/LDUAL+CDL/H:1,90,90
CR/LDUAL+CDL/H:2,85,85
CR/LDUAL+CDL/HBET:3-5,77,77
CR/LDUAL+CDM/H:1,90,90
CR/LDUAL+CDM/H:2,85,85
CR/LDUAL+CDM/HBET:3-5,77,77
CR/LDUAL+CDN/H:1,90,90
CR/LDUAL+CDN/H:2,85,85
CR/LFINF+CDH/H:1,90,90
CR/LFINF+CDH/H:2,85,85
CR/LFINF+CDH/HBET:3-5,77,77
CR/LFINF+CDH/HBET:6-,76.1,76.1
CR/LFINF+CDL/H:1,90,90
CR/LFINF+CDL/H:2,85,85
CR/LFINF+CDL/HBET:3-5,77,77
CR/LFINF+CDL/HBET:6-,76.1,76.1
CR/LFINF+CDM/H:1,90,90
CR/LFINF+CDM/H:2,85,85
CR/LFINF+CDM/HBET:3-5,77,77
CR/LFINF+CDM/HBET:6-,76.1,76.1
CR/LFINF+CDN/H:1,90,90
CR/LFINF+CDN/H:2,85,85
CR/LFINF+CDN/HBET:3-5,77,77
MCF/LWAL+CDL/H:1,90,90
MCF/LWAL+CDL/H:2,85,85
MCF/LWAL+CDL/HBET:3-5,77,77
MUR+CB/LWAL+CDN/H:1,90,90
MUR+CB/LWAL+CDN/H:2,85,85
MUR+CL/LWAL+CDN/H:1,90,90
MUR+CL/LWAL+CDN/H:2,85,85
MUR+CL/LWAL+CDN/HBET:3-5,77,77
MUR+ST/LWAL+CDN/H:1,90,90
MUR+ST/LWAL+CDN/H:2,85,85
MUR+ST/LWAL+CDN/HBET:3-5,77,77
W/LWAL+CDH/H:1,90,90
W/LWAL+CDL/H:1,90,90
W/LWAL+CDM/H:1,90,90
W/LWAL+CDN/H:1,90,90
CR/LDUAL+CDH/H:2/SOS,85,85
CR/LDUAL+CDH/HBET:3-5/SOS,77,77
CR/LDUAL+CDH/HBET:6-,76.1,76.1
CR/LDUAL+CDH/HBET:6-/SOS,76.1,76.1
CR/LDUAL+CDL/H:2/SOS,85,85
CR/LDUAL+CDL/HBET:3-5/SOS,77,77
CR/LDUAL+CDL/HBET:6-,76.1,76.1
CR/LDUAL+CDL/HBET:6-/SOS,76.1,76.1
CR/LDUAL+CDM/H:2/SOS,85,85
CR/LDUAL+CDM/HBET:3-5/SOS,77,77
CR/LDUAL+CDM/HBET:6-,76.1,76.1
CR/LDUAL+CDM/HBET:6-/SOS,76.1,76.1
CR/LDUAL+CDN/HBET:3-5,77,77
CR/LDUAL+CDN/HBET:6-,76.1,76.1
CR/LFINF+CDH/H:2/SOS,85,85
CR/LFINF+CDH/HBET:3-5/SOS,77,77
CR/LFINF+CDH/HBET:6-/SOS,76.1,76.1
CR/LFINF+CDL/H:2/SOS,85,85
CR/LFINF+CDL/HBET:3-5/SOS,77,77
CR/LFINF+CDL/HBET:6-/SOS,76.1,76.1
CR/LFINF+CDM/H:2/SOS,85,85
CR/LFINF+CDM/HBET:3-5/SOS,77,77
CR/LFINF+CDM/HBET:6-/SOS,76.1,76.1
CR/LFINF+CDN/HBET:6-,76.1,76.1
