TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/H:3,59,61
CR/LWAL+CDL/HBET:4-10,59,59
MUR+CB/LWAL+CDN/HBET:1-2,61,79
MUR+CB/LWAL+CDN/HBET:1-4,59,61
MUR+CL/LWAL+CDN/HBET:1-4,59,61
W/LPB+CDL/HBET:1-3,79,79
W/LWAL+CDL/HBET:1-3,61,79
