TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/HBET:3-5,75,75
CR/LFINF+CDL/HBET:6-,70,70
CR/LFINF+CDN/H:1,80,80
CR/LFINF+CDN/H:2,76,76
CR/LWAL+CDM/H:1,80,80
CR/LWAL+CDM/H:2,76,76
CR/LWAL+CDM/HBET:3-5,75,75
CR/LWAL+CDN/H:1,80,80
CR/LWAL+CDN/H:2,76,76
MCF/LWAL+CDL/H:1,80,80
MCF/LWAL+CDL/H:2,76,76
MCF/LWAL+CDL/HBET:3-5,75,75
MIX/LH+CDL/H:2,76,76
MUR+CL/LWAL+CDN/H:1,80,80
MUR+CL/LWAL+CDN/H:2,76,76
MUR+CL/LWAL+CDN/HBET:3-5,75,75
MUR+ST/LWAL+CDN/H:1,80,80
MUR+ST/LWAL+CDN/H:2,76,76
MUR+ST/LWAL+CDN/HBET:3-5,75,75
W/LFM+CDL/H:1,80,80
W/LFM+CDL/H:2,76,76
W/LFM+CDN/H:1,80,80
W/LFM+CDN/H:2,76,76
CR+PC/LWAL+CDL/HBET:6-,70,70
CR/LDUAL+CDM/HBET:3-5,75,75
CR/LDUAL+CDM/HBET:6-,70,70
CR/LFINF+CDM/HBET:3-5,75,75
CR/LFINF+CDM/HBET:6-,70,70
CR/LFINF+CDN/HBET:3-5,75,75
CR/LWAL+CDM/HBET:6-,70,70
CR/LWAL+CDN/HBET:3-5,75,75
MCF/LWAL+CDL/HBET:6-,70,70
MIX/LH+CDL/HBET:3-5,75,75
