TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+CIP/LFINF+CDL/H:1,66,66
CR+CIP/LFINF+CDM/H:1,66,66
CR+CIP/LFINF+CDN/H:1,66,66
CR+PC/LDUAL+CDM/H:1/YBET:1977-1992,66,66
CR+PC/LWAL+CDL/H:1,66,66
CR+PC/LWAL+CDM/H:1/YBET:1977-1992,66,66
MCF/LWAL+CDH/H:1,66,66
MCF/LWAL+CDL/H:1,66,66
MCF/LWAL+CDM/H:1,66,66
MCF/LWAL+CDN/H:1,66,66
MUR+ADO/LWAL+CDN/H:1,66,66
MUR/LWAL+CDL/H:1,66,66
MUR/LWAL+CDN/H:1,66,66
W/LFM+CDL/H:1,66,66
W/LFM+CDM/H:1,66,66
W/LFM+CDN/H:1,66,66
CR+CIP/LFINF+CDH/H:1,66,66
W/LFM+CDH/H:1,66,66
CR+PC/LFM+CDL/H:1,66,66
CR+CIP/LFINF+CDM/H:1/YBET:1977-1992,66,66
CR+PC/LFM+CDM/H:1/YBET:1977-1992,66,66
CR+PC/LWAL+CDM/H:1,66,66
CR+CIP/LFINF+CDH/H:2,65,65
CR+CIP/LFINF+CDL/H:2,65,65
CR+CIP/LFINF+CDM/H:2,65,65
CR+CIP/LFINF+CDN/H:2,65,65
CR+PC/LDUAL+CDM/H:2/YBET:1977-1992,65,65
CR+PC/LWAL+CDL/H:2,65,65
CR+PC/LWAL+CDM/H:2/YBET:1977-1992,65,65
MCF/LWAL+CDH/H:2,65,65
MCF/LWAL+CDL/H:2,65,65
MCF/LWAL+CDM/H:2,65,65
MCF/LWAL+CDN/H:2,65,65
W/LFM+CDN/H:2,65,65
W/LFM+CDL/H:2,65,65
W/LFM+CDM/H:2,65,65
W/LFM+CDH/H:2,65,65
MUR/LWAL+CDL/H:2,65,65
CR+PC/LFM+CDL/H:2,65,65
CR+PC/LWAL+CDM/H:2,65,65
CR+CIP/LFINF+CDM/H:2/YBET:1977-1992,65,65
CR+PC/LFM+CDM/H:2/YBET:1977-1992,65,65
CR+CIP/LFINF+CDL/HBET:3-5,63,63
CR+PC/LWAL+CDL/HBET:3-5,63,63
MCF/LWAL+CDH/HBET:3-5,63,63
MCF/LWAL+CDL/HBET:3-5,63,63
MCF/LWAL+CDM/HBET:3-5,63,63
CR+CIP/LFINF+CDH/HBET:3-5,63,63
CR+PC/LDUAL+CDM/HBET:3-5/YBET:1977-1992,63,63
CR+PC/LWAL+CDM/HBET:3-5/YBET:1977-1992,63,63
CR+CIP/LFINF+CDN/HBET:3-5,63,63
CR+CIP/LFINF+CDM/HBET:3-5,63,63
CR+CIP/LFINF+CDM/HBET:3-5/YBET:1977-1992,63,63
CR+PC/LFM+CDL/HBET:3-5,63,63
CR+PC/LFM+CDM/HBET:3-5/YBET:1977-1992,63,63
MUR/LWAL+CDL/HBET:3-5,63,63
CR+PC/LWAL+CDM/HBET:3-5,63,63
MCF/LWAL+CDN/HBET:3-5,63,63
CR+CIP/LFINF+CDH/HBET:6-,62,62
CR+CIP/LFINF+CDL/HBET:6-,62,62
CR+CIP/LFINF+CDM/HBET:6-,62,62
CR+CIP/LFINF+CDN/HBET:6-,62,62
CR+PC/LDUAL+CDM/HBET:6-/YBET:1977-1992,62,62
CR+PC/LFM+CDL/HBET:6-,62,62
CR+PC/LFM+CDM/HBET:6-/YBET:1977-1992,62,62
CR+PC/LWAL+CDL/HBET:6-,62,62
CR+PC/LWAL+CDM/HBET:6-/YBET:1977-1992,62,62
MCF/LWAL+CDH/HBET:6-,62,62
MCF/LWAL+CDL/HBET:6-,62,62
MCF/LWAL+CDM/HBET:6-,62,62
MUR/LWAL+CDL/HBET:6-,62,62
MCF/LWAL+CDN/HBET:6-,62,62
CR+PC/LWAL+CDM/HBET:6-,62,62
