TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/HBET:4-10,68,68
CR/LWAL+CDL/HBET:4-10,68,68
MUR+CB/LWAL+CDN/HBET:1-2,78,92
MUR+CL/LWAL+CDN/HBET:1-3,78,92
MUR+CL/LWAL+CDN/HBET:1-4,68,78
MUR+ST/LWAL+CDN/HBET:1-4,68,78
W/LPB+CDL/HBET:1-3,78,92
CR/LFINF+CDN/HBET:4-10,68,68
CR/LWAL+CDN/HBET:4-10,68,68
