TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDN/HBET:3-5,70.54,70.54
CR/LFINF+CDN/H:2,80,80
CR/LFINF+CDN/HBET:3-5,70.54,70.54
CR/LWAL+CDN/HBET:3-5,70.54,70.54
MUR/LWAL+CDN/H:1,90,90
MUR/LWAL+CDN/H:2,80,80
MUR/LWAL+CDN/HBET:3-5,70.54,70.54
W/LWAL+CDN/H:1,90,90
W/LWAL+CDN/H:2,80,80
CR+PC/LWAL+CDN/HBET:6-,67,67
CR/LFINF+CDN/HBET:6-,67,67
CR/LWAL+CDN/HBET:6-,67,67
