TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/H:2,72,72
CR/LFINF+CDL/HBET:3-5,70,70
CR/LFINF+CDM/H:1,75,75
CR/LFINF+CDM/H:2,72,72
CR/LFINF+CDM/HBET:3-5,70,70
CR/LFINF+CDN/HBET:3-5,70,70
MCF/LWAL+CDM/H:1,75,75
MCF/LWAL+CDM/H:2,72,72
MCF/LWAL+CDM/HBET:3-5,70,70
MUR/LWAL+CDN/H:1,75,75
MUR/LWAL+CDN/H:2,72,72
MUR/LWAL+CDN/HBET:3-5,70,70
CR/LDUAL+CDM/HBET:6-,64.1,64.1
CR/LFINF+CDL/HBET:6-,64.1,64.1
CR/LFINF+CDM/HBET:6-,64.1,64.1
CR/LFINF+CDN/H:2,72,72
CR/LFINF+CDN/HBET:6-,64.1,64.1
