TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDL/HBET:3-5,200,200
CR+PC/LWAL+CDM/HBET:3-5,200,200
CR+PC/LWAL+CDN/HBET:3-5,200,200
CR/LFINF+CDH/H:1,250,250
CR/LFINF+CDH/H:2,240,240
CR/LFINF+CDH/HBET:3-5,200,200
CR/LFINF+CDL/H:1,250,250
CR/LFINF+CDL/H:2,240,240
CR/LFINF+CDL/HBET:3-5,200,200
CR/LFINF+CDL/HBET:6-,180,180
CR/LFINF+CDM/H:1,250,250
CR/LFINF+CDM/H:2,240,240
CR/LFINF+CDM/HBET:3-5,200,200
CR/LFINF+CDM/HBET:6-,180,180
CR/LFINF+CDN/HBET:3-5,200,200
CR/LFINF+CDN/HBET:6-,180,180
CR/LWAL+CDH/H:2,240,240
CR/LWAL+CDH/HBET:3-5,200,200
CR/LWAL+CDL/H:2,240,240
CR/LWAL+CDL/HBET:3-5,200,200
CR/LWAL+CDM/H:2,240,240
CR/LWAL+CDM/HBET:3-5,200,200
MIX(MUR+CR)/LWAL+CDH/HBET:3-5,200,200
MIX(MUR+CR)/LWAL+CDL/HBET:3-5,200,200
MIX(MUR+CR)/LWAL+CDM/HBET:3-5,200,200
MUR/LWAL+CDN/H:1,250,250
MUR/LWAL+CDN/H:2,240,240
MUR/LWAL+CDN/HBET:3-5,200,200
W/LWAL+CDH/H:2,240,240
W/LWAL+CDH/HBET:3-5,200,200
W/LWAL+CDL/H:1,250,250
W/LWAL+CDL/H:2,240,240
W/LWAL+CDL/HBET:3-5,200,200
W/LWAL+CDM/H:1,250,250
W/LWAL+CDM/H:2,240,240
W/LWAL+CDM/HBET:3-5,200,200
W/LWAL+CDN/HBET:3-5,200,200
W/LWAL+CDH/H:1,250,250
CR/LFINF+CDL/HBET:3-5/SOS,200,200
CR/LFINF+CDL/HBET:6-/SOS,180,180
CR/LFINF+CDM/HBET:3-5/SOS,200,200
CR/LFINF+CDM/HBET:6-/SOS,180,180
CR/LFINF+CDN/HBET:3-5/SOS,200,200
CR/LFINF+CDN/HBET:6-/SOS,180,180
CR/LWAL+CDH/H:1,250,250
CR/LWAL+CDH/HBET:6-,180,180
CR/LWAL+CDL/HBET:3-5/SOS,200,200
CR/LWAL+CDM/HBET:3-5/SOS,200,200
CR/LWAL+CDN/HBET:3-5/SOS,200,200
