TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LDUAL+CDM/H:5,65,65
CR/LDUAL+CDM/HBET:10-14,60,60
CR/LDUAL+CDM/HBET:15-,55,55
CR/LDUAL+CDM/HBET:6-9,65,65
CR/LFINF+CDL/H:3,70,70
CR/LFINF+CDL/H:4,70,70
CR/LFINF+CDL/H:5,65,65
CR/LFINF+CDL/HBET:10-14,60,60
CR/LFINF+CDL/HBET:15-,55,55
CR/LFINF+CDL/HBET:6-9,65,65
CR/LFINF+CDM/H:2,80,80
CR/LFINF+CDM/H:3,70,70
CR/LFINF+CDM/H:4,70,70
CR/LFINF+CDM/H:5,65,65
CR/LFINF+CDM/HBET:10-14,60,60
CR/LFINF+CDM/HBET:15-,55,55
CR/LFINF+CDM/HBET:6-9,65,65
CR/LFINF+CDN/H:5,65,65
CR/LFINF+CDN/HBET:10-14,60,60
CR/LFINF+CDN/HBET:15-,55,55
CR/LFINF+CDN/HBET:6-9,65,65
MCF/LWAL+CDL/H:1,80.7,80.7
MCF/LWAL+CDL/H:2,80,80
MCF/LWAL+CDL/H:3,70,70
MCF/LWAL+CDL/H:4,70,70
MCF/LWAL+CDL/H:5,65,65
MIX/LH+CDL/H:1,80.7,80.7
MIX/LH+CDL/H:2,80,80
MIX/LH+CDL/H:3,70,70
MIX/LH+CDL/H:4,70,70
MIX/LH+CDM/H:1,80.7,80.7
MIX/LH+CDM/H:2,80,80
MIX/LH+CDM/H:3,70,70
MIX/LH+CDM/H:4,70,70
MIX/LH+CDN/H:1,80.7,80.7
MIX/LH+CDN/H:2,80,80
MIX/LH+CDN/H:3,70,70
MIX/LH+CDN/H:4,70,70
MUR+CB/LWAL+CDN/H:1,80.7,80.7
MUR+CB/LWAL+CDN/H:2,80,80
MUR/LWAL+CDN/H:1,80.7,80.7
MUR/LWAL+CDN/H:2,80,80
MUR/LWAL+CDN/H:3,70,70
MUR/LWAL+CDN/H:4,70,70
MUR/LWAL+CDN/H:5,65,65
