TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDN/HBET:3-5,120,120
CR/LWAL+CDN/H:2,123.35,123.35
CR/LWAL+CDN/HBET:3-5,120,120
MUR/LWAL+CDN/H:1,160,160
MUR/LWAL+CDN/H:2,123.35,123.35
MUR/LWAL+CDN/HBET:3-5,120,120
W/LWAL+CDN/H:1,160,160
W/LWAL+CDN/H:2,123.35,123.35
CR+PC/LWAL+CDN/HBET:6-,100,100
CR/LWAL+CDN/HBET:6-,100,100
